Author Position,Author ID,Author Name,ORCID,Is Corresponding,Raw Author Name,Affiliations
first,https://openalex.org/A5063334231,Jinze Bai,,True,"Bai, Jinze",
middle,https://openalex.org/A5101014470,Shuai Bai,https://orcid.org/0000-0002-6896-8590,False,"Bai, Shuai",
middle,https://openalex.org/A5111905144,Yunfei Chu,,False,"Chu, Yunfei",
middle,https://openalex.org/A5101250820,Zeyu Cui,,False,"Cui, Zeyu",
middle,https://openalex.org/A5014400759,Kai Dang,,False,"Dang, Kai",
middle,https://openalex.org/A5077242351,Xiaodong Deng,https://orcid.org/0000-0002-6938-1214,False,"Deng, Xiaodong",
middle,https://openalex.org/A5115602252,Fan Yang,https://orcid.org/0000-0002-8111-4880,False,"Fan, Yang",
middle,https://openalex.org/A5013425805,Wenbin Ge,,False,"Ge, Wenbin",
middle,https://openalex.org/A5102516031,Han Yu,https://orcid.org/0009-0000-2828-4541,False,"Han, Yu",
middle,https://openalex.org/A5101488344,Fei Huang,https://orcid.org/0000-0002-3709-5053,False,"Huang, Fei",
middle,https://openalex.org/A5080628250,Binyuan Hui,https://orcid.org/0000-0002-2160-7595,False,"Hui, Binyuan",
middle,https://openalex.org/A5107942598,Luo Ji,,False,"Ji, Luo",
middle,https://openalex.org/A5100331933,Mei Li,https://orcid.org/0000-0003-2313-7969,False,"Li, Mei",
middle,https://openalex.org/A5100612233,Junyang Lin,https://orcid.org/0000-0001-9931-383X,False,"Lin, Junyang",
middle,https://openalex.org/A5003991609,Runji Lin,,False,"Lin, Runji",
middle,https://openalex.org/A5062188134,Dayiheng Liu,https://orcid.org/0000-0002-8755-8941,False,"Liu, Dayiheng",
middle,https://openalex.org/A5100682324,Gao Liu,https://orcid.org/0000-0001-6886-0507,False,"Liu, Gao",
middle,https://openalex.org/A5103860397,Chengqiang Lu,,False,"Lu, Chengqiang",
middle,https://openalex.org/A5110849478,Keming Lu,,False,"Lu, Keming",
middle,https://openalex.org/A5069139054,Jianxin Ma,https://orcid.org/0000-0002-1474-812X,False,"Ma, Jianxin",
middle,https://openalex.org/A5004626105,Rui Men,https://orcid.org/0000-0002-4429-3461,False,"Men, Rui",
middle,https://openalex.org/A5054086732,Xingzhang Ren,,False,"Ren, Xingzhang",
middle,https://openalex.org/A5049239373,Xuancheng Ren,https://orcid.org/0000-0002-6994-2114,False,"Ren, Xuancheng",
middle,https://openalex.org/A5065907658,Chuanqi Tan,https://orcid.org/0000-0002-6676-3057,False,"Tan, Chuanqi",
middle,https://openalex.org/A5008661936,Sinan Tan,https://orcid.org/0000-0003-2035-2479,False,"Tan, Sinan",
middle,https://openalex.org/A5082583725,Jianhong Tu,https://orcid.org/0009-0001-1554-1614,False,"Tu, Jianhong",
middle,https://openalex.org/A5100396049,Peng Wang,https://orcid.org/0000-0002-5931-8852,False,"Wang, Peng",
middle,https://openalex.org/A5100762074,Shijie Wang,https://orcid.org/0000-0001-6312-3524,False,"Wang, Shijie",
middle,https://openalex.org/A5100391896,Wei Wang,https://orcid.org/0000-0002-1717-5785,False,"Wang, Wei",
middle,https://openalex.org/A5072904443,Shengguang Wu,,False,"Wu, Shengguang",
middle,https://openalex.org/A5085563247,Benfeng Xu,https://orcid.org/0000-0003-0976-1634,False,"Xu, Benfeng",
middle,https://openalex.org/A5007056124,Jin Xu,https://orcid.org/0000-0002-6644-8217,False,"Xu, Jin",
middle,https://openalex.org/A5100459627,Yang An,https://orcid.org/0000-0002-6529-1609,False,"Yang, An",
middle,https://openalex.org/A5111385619,Yang Hao,https://orcid.org/0000-0002-9949-7226,False,"Yang, Hao",
middle,https://openalex.org/A5101503975,Jian Yang,https://orcid.org/0000-0002-1963-712X,False,"Yang, Jian",
middle,https://openalex.org/A5004788654,Shusheng Yang,,False,"Yang, Shusheng",
middle,https://openalex.org/A5103898808,Yang Yao,,False,"Yao, Yang",
middle,https://openalex.org/A5101188063,Bowen Yu,https://orcid.org/0009-0008-9642-7880,False,"Yu, Bowen",
middle,https://openalex.org/A5109367486,Hongyi Yuan,,False,"Yuan, Hongyi",
middle,https://openalex.org/A5020682113,Zheng Yuan,https://orcid.org/0000-0001-7179-2437,False,"Yuan, Zheng",
middle,https://openalex.org/A5100326965,Jianwei Zhang,https://orcid.org/0000-0002-3219-0801,False,"Zhang, Jianwei",
middle,https://openalex.org/A5054452505,Xingxuan Zhang,,False,"Zhang, Xingxuan",
middle,https://openalex.org/A5013763116,Yichang Zhang,https://orcid.org/0000-0001-5388-6376,False,"Zhang, Yichang",
middle,https://openalex.org/A5032572801,Zhenru Zhang,,False,"Zhang, Zhenru",
middle,https://openalex.org/A5102025315,Chang Zhou,https://orcid.org/0000-0001-9241-702X,False,"Zhou, Chang",
middle,https://openalex.org/A5057864403,Jingren Zhou,https://orcid.org/0000-0002-4220-2634,False,"Zhou, Jingren",
middle,https://openalex.org/A5042419848,Xiaohuan Zhou,https://orcid.org/0000-0002-6120-1397,False,"Zhou, Xiaohuan",
last,https://openalex.org/A5111138043,Tianhang Zhu,,False,"Zhu, Tianhang",
