Author,OA_ID,unique_affiliation_count,affiliation-2026,ID-2026,affiliation-2025,ID-2025,affiliation-2024,ID-2024,affiliation-2023,ID-2023,affiliation-2022,ID-2022,affiliation-2021,ID-2021,affiliation-2020,ID-2020,affiliation-2019,ID-2019,affiliation-2018,ID-2018,affiliation-2017,ID-2017,affiliation-2016,ID-2016,affiliation-2015,ID-2015,affiliation-2014,ID-2014,affiliation-2013,ID-2013,affiliation-2012,ID-2012,affiliation-2011,ID-2011,affiliation-2010,ID-2010,affiliation-2009,ID-2009,affiliation-2008,ID-2008,affiliation-2007,ID-2007,affiliation-2006,ID-2006,affiliation-2005,ID-2005,affiliation-2004,ID-2004,affiliation-2003,ID-2003,affiliation-2002,ID-2002,affiliation-2001,ID-2001,affiliation-2000,ID-2000,affiliation-1999,ID-1999,affiliation-1998,ID-1998,affiliation-1997,ID-1997,affiliation-1996,ID-1996,affiliation-1995,ID-1995,affiliation-1994,ID-1994,affiliation-1993,ID-1993,affiliation-1992,ID-1992,affiliation-1991,ID-1991,affiliation-1990,ID-1990,affiliation-1987,ID-1987,affiliation-1981,ID-1981,affiliation-1980,ID-1980
An Yang,A5110994152,4,,,Northeast Forestry University,https://openalex.org/I47689461,Northeast Forestry University,https://openalex.org/I47689461,Northeast Forestry University,https://openalex.org/I47689461,,,,,,,,,,,Toyo University,https://openalex.org/I158123994,,,,,Air Force Medical University,https://openalex.org/I9916479,,,,,,,,,,,,,Shanghai International Studies University,https://openalex.org/I11406153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anfeng Li,A5034609763,1,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. X. Yu,A5080178313,4,,,Nanjing University,https://openalex.org/I881766915,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,,,,,,,,,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,,,,,,,Institute of High Energy Physics,https://openalex.org/I4210137180,Beihang University,https://openalex.org/I82880672,Institute of High Energy Physics,https://openalex.org/I4210137180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Zheng,A5050479679,6,,,Tsinghua University,https://openalex.org/I99065089,University of South China,https://openalex.org/I91935597,University of South China,https://openalex.org/I91935597,University of South China,https://openalex.org/I91935597,University of South China,https://openalex.org/I91935597,University of South China,https://openalex.org/I91935597,University of South China,https://openalex.org/I91935597,University of South China,https://openalex.org/I91935597,University of South China,https://openalex.org/I91935597,University of South China,https://openalex.org/I91935597,University of South China,https://openalex.org/I91935597,University of South China,https://openalex.org/I91935597,University of South China,https://openalex.org/I91935597,University of South China,https://openalex.org/I91935597,Ruhr University Bochum,https://openalex.org/I904495901,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,Institute of High Energy Physics,https://openalex.org/I4210137180,Institute of High Energy Physics,https://openalex.org/I4210137180,,,,,Intel (United States),https://openalex.org/I1343180700,Intel (United States),https://openalex.org/I1343180700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baosong Yang,A5028040391,5,,,Alibaba Group (United States),https://openalex.org/I4210095624,Sacred Heart Hospital,https://openalex.org/I4210108516,Alibaba Group (China),https://openalex.org/I45928872,Alibaba Group (China),https://openalex.org/I45928872,City University of Macau,https://openalex.org/I6469544,Alibaba Group (China),https://openalex.org/I45928872,Tencent (China),https://openalex.org/I2250653659,Tencent (China),https://openalex.org/I2250653659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beichen Zhang,A5101849102,5,,,First Affiliated Hospital of Xi'an Jiaotong University,https://openalex.org/I4210121771,Sacred Heart Hospital,https://openalex.org/I4210108516,,,,,Academy of Military Medical Sciences,https://openalex.org/I2802541053,National University of Defense Technology,https://openalex.org/I170215575,,,National University of Defense Technology,https://openalex.org/I170215575,National University of Defense Technology,https://openalex.org/I170215575,Institute of Semiconductors,https://openalex.org/I4210149211,,,National University of Defense Technology,https://openalex.org/I170215575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benfeng Xu,A5085563247,3,,,University of Science and Technology of China,https://openalex.org/I126520041,University of Science and Technology of China,https://openalex.org/I126520041,Baidu (China),https://openalex.org/I98301712,China Tourism Academy,https://openalex.org/I2800393352,University of Science and Technology of China,https://openalex.org/I126520041,University of Science and Technology of China,https://openalex.org/I126520041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binyuan Hui,A5080628250,4,,,Alibaba Group (United States),https://openalex.org/I4210095624,Sacred Heart Hospital,https://openalex.org/I4210108516,Alibaba Group (China),https://openalex.org/I45928872,Alibaba Group (China),https://openalex.org/I45928872,Alibaba Group (United States),https://openalex.org/I4210095624,Tianjin University,https://openalex.org/I162868743,Tianjin University,https://openalex.org/I162868743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo Zheng,A5022217475,8,,,University of South China,https://openalex.org/I91935597,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Nanjing University,https://openalex.org/I881766915,Zhejiang University,https://openalex.org/I76130692,Zhejiang University,https://openalex.org/I76130692,Zhejiang University,https://openalex.org/I76130692,Air Force Engineering University,https://openalex.org/I4210104252,Zhejiang University,https://openalex.org/I76130692,Zhejiang University,https://openalex.org/I76130692,Zhejiang University,https://openalex.org/I76130692,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Zhejiang University,https://openalex.org/I76130692,Zhejiang University,https://openalex.org/I76130692,Zhejiang University,https://openalex.org/I76130692,Zhejiang University,https://openalex.org/I76130692,Institute of Theoretical Physics,https://openalex.org/I4210125404,Martin Luther University Halle-Wittenberg,https://openalex.org/I68956291,Folkwang University of the Arts,https://openalex.org/I2800742272,Folkwang University of the Arts,https://openalex.org/I2800742272,Folkwang University of the Arts,https://openalex.org/I2800742272,Folkwang University of the Arts,https://openalex.org/I2800742272,Folkwang University of the Arts,https://openalex.org/I2800742272,Folkwang University of the Arts,https://openalex.org/I2800742272,Folkwang University of the Arts,https://openalex.org/I2800742272,Folkwang University of the Arts,https://openalex.org/I2800742272,,,,,,,,
Bowen Yu,A5101188063,7,Wuhan University,https://openalex.org/I37461747,Nanjing University,https://openalex.org/I881766915,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,Tsinghua University,https://openalex.org/I99065089,Fudan University,https://openalex.org/I24943067,Jilin Jianzhu University,https://openalex.org/I4210086659,Nanchang University,https://openalex.org/I141649914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
