Author Position,Author ID,Author Name,ORCID,Is Corresponding,Raw Author Name,Affiliations
first,https://openalex.org/A5037987827,Samuel D. Marks,https://orcid.org/0000-0001-6677-3274,True,"Marks, Samuel",
middle,https://openalex.org/A5047456114,Johannes Treutlein,,False,"Treutlein, Johannes",
middle,https://openalex.org/A5120231233,Trenton Bricken,,False,"Bricken, Trenton",
middle,https://openalex.org/A5006832724,Jack Lindsey,https://orcid.org/0000-0003-0930-7327,False,"Lindsey, Jack",
middle,https://openalex.org/A5036919888,Joyce Marcus,,False,"Marcus, Jonathan",
middle,https://openalex.org/A5120338933,Siddharth Mishra-Sharma,,False,"Mishra-Sharma, Siddharth",
middle,https://openalex.org/A5109551394,Daniel M. Ziegler,,False,"Ziegler, Daniel",
middle,https://openalex.org/A5120309461,Emmanuel Ameisen,,False,"Ameisen, Emmanuel",
middle,https://openalex.org/A5029631340,Joshua Batson,https://orcid.org/0000-0002-9244-2142,False,"Batson, Joshua",
middle,https://openalex.org/A5115560878,Tim Belonax,,False,"Belonax, Tim",
middle,https://openalex.org/A5112713734,Samuel R. Bowman,,False,"Bowman, Samuel R.",
middle,https://openalex.org/A5087762412,Shan Carter,,False,"Carter, Shan",
middle,https://openalex.org/A5101815006,Brian Chen,https://orcid.org/0000-0003-0757-0359,False,"Chen, Brian",
middle,https://openalex.org/A5116129846,Hoagy Cunningham,,False,"Cunningham, Hoagy",
middle,https://openalex.org/A5079864698,Carson Denison,,False,"Denison, Carson",
middle,https://openalex.org/A5065330154,Frederick R. Dietz,,False,"Dietz, Florian",
middle,https://openalex.org/A5120338930,Satvik Golechha,,False,"Golechha, Satvik",
middle,https://openalex.org/A5084386381,Akbir Khan,,False,"Khan, Akbir",
middle,https://openalex.org/A5018518179,Jan H. Kirchner,https://orcid.org/0000-0002-9126-0558,False,"Kirchner, Jan",
middle,https://openalex.org/A5099881267,Jan Leike,,False,"Leike, Jan",
middle,https://openalex.org/A5060917296,Austin Meek,,False,"Meek, Austin",
middle,https://openalex.org/A5120338931,Kei Nishimura-Gasparian,,False,"Nishimura-Gasparian, Kei",
middle,https://openalex.org/A5113258457,Euan Ong,,False,"Ong, Euan",
middle,https://openalex.org/A5027253674,Christopher Olah,,False,"Olah, Christopher",
middle,https://openalex.org/A5030407613,Adam Pearce,https://orcid.org/0000-0002-2655-6870,False,"Pearce, Adam",
middle,https://openalex.org/A5028042353,Fabien Roger,,False,"Roger, Fabien",
middle,https://openalex.org/A5104331793,Yair Lakretz,,False,"Salle, Jeanne",
middle,https://openalex.org/A5043014124,Andrew W. Shih,https://orcid.org/0000-0001-7107-2595,False,"Shih, Andy",
middle,https://openalex.org/A5111092720,Meg Tong,,False,"Tong, Meg",
middle,https://openalex.org/A5087776171,D Thomas,https://orcid.org/0000-0002-0601-9373,False,"Thomas, Drake",
middle,https://openalex.org/A5120338932,Kelley Rivoire,,False,"Rivoire, Kelley",
middle,https://openalex.org/A5043387043,Adam S. Jermyn,https://orcid.org/0000-0001-5048-9973,False,"Jermyn, Adam",
middle,https://openalex.org/A5084608104,Monte MacDiarmid,,False,"MacDiarmid, Monte",
middle,https://openalex.org/A5049786610,Tom Henighan,,False,"Henighan, Tom",
last,https://openalex.org/A5025461840,Evan Hubinger,,False,"Hubinger, Evan",
