Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,affiliation_data,unique_affiliation_count,all_usa,some_usa,all_china,some_china,unique_country_count,all_countries,Most Recent Affiliation,Most Recent Affiliation Country,affiliation_display_name_2025,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2024,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2023,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2022,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2021,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2020,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2019,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2018,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2017,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2016,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2015,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2014,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2013,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2012,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2011,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2010,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2009,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2008,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2007,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2006,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2005,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2004,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2003,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2002,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2001,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2000,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_1999,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1997,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1995,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1994,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1993,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1992,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1991,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1990,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1989,affiliation_id_1989,affiliation_country_1989,affiliation_display_name_1988,affiliation_id_1988,affiliation_country_1988,affiliation_display_name_1987,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1986,affiliation_id_1986,affiliation_country_1986,affiliation_display_name_1985,affiliation_id_1985,affiliation_country_1985,affiliation_display_name_1984,affiliation_id_1984,affiliation_country_1984,affiliation_display_name_1983,affiliation_id_1983,affiliation_country_1983,affiliation_display_name_1982,affiliation_id_1982,affiliation_country_1982,affiliation_display_name_1981,affiliation_id_1981,affiliation_country_1981,affiliation_display_name_1978,affiliation_id_1978,affiliation_country_1978,affiliation_display_name_1977,affiliation_id_1977,affiliation_country_1977,affiliation_display_name_1975,affiliation_id_1975,affiliation_country_1975,affiliation_display_name_1974,affiliation_id_1974,affiliation_country_1974,affiliation_display_name_1973,affiliation_id_1973,affiliation_country_1973,affiliation_display_name_1972,affiliation_id_1972,affiliation_country_1972,affiliation_display_name_1971,affiliation_id_1971,affiliation_country_1971,affiliation_display_name_1970,affiliation_id_1970,affiliation_country_1970,affiliation_display_name_1969,affiliation_id_1969,affiliation_country_1969,affiliation_display_name_1968,affiliation_id_1968,affiliation_country_1968,affiliation_display_name_1967,affiliation_id_1967,affiliation_country_1967,affiliation_display_name_1966,affiliation_id_1966,affiliation_country_1966,affiliation_display_name_1965,affiliation_id_1965,affiliation_country_1965,affiliation_display_name_1964,affiliation_id_1964,affiliation_country_1964,affiliation_display_name_1904,affiliation_id_1904,affiliation_country_1904
A K Rathi,1,,https://openalex.org/A5113184302,A5113184302,,A K Rathi,"A. Rathi, A. K. Rathi, Advay Rathi, Ankur Rathi, Anushka Rathi",35,170,0.0,6,4,True,1,True,True,False,False,1,United States,Oak Ridge National Laboratory,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oak Ridge National Laboratory,https://openalex.org/I1289243028,United States,,,,,,,,,,,,,,,,,,,,,,Oak Ridge National Laboratory,https://openalex.org/I1289243028,United States,,,,,,,,,,,,,,,,,,,Oak Ridge National Laboratory,https://openalex.org/I1289243028,United States,Oak Ridge National Laboratory,https://openalex.org/I1289243028,United States,Oak Ridge National Laboratory,https://openalex.org/I1289243028,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Callahan,1,,https://openalex.org/A5031192921,A5031192921,,A. Callahan,"Andrew C. Callahan, Anna Callahan, Andrew Callahan, Andrew Charles Callahan, A. C. Callahan, A. Callahan",33,269,2.0,10,11,True,5,True,True,False,False,1,United States,Temple University,United States,,,,Temple University,https://openalex.org/I84392919,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTX (United States),https://openalex.org/I1306686416,United States,,,,,,,,,,Rochester Institute of Technology,https://openalex.org/I155173764,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTX (United States),https://openalex.org/I1306686416,United States,,,,RTX (United States),https://openalex.org/I1306686416,United States,,,,,,,,,,RTX (United States),https://openalex.org/I1306686416,United States,,,,,,,Johns Hopkins University,https://openalex.org/I145311948,United States,,,,Johns Hopkins University,https://openalex.org/I145311948,United States,Johns Hopkins University,https://openalex.org/I145311948,United States,Johns Hopkins University,https://openalex.org/I145311948,United States,University of Wisconsin–Madison,https://openalex.org/I135310074,United States,University of Wisconsin–Madison,https://openalex.org/I135310074,United States,University of Wisconsin–Madison,https://openalex.org/I135310074,United States,,,
Adam S. Jermyn,1,,https://openalex.org/A5043387043,A5043387043,https://orcid.org/0000-0001-5048-9973,Adam S. Jermyn,"Adam Jermyn, Adam S. Jermyn, A Jermyn, A. S. Jermyn, Adam Sean Jermyn",152,3439,3.8666666666666663,22,41,True,5,False,True,False,False,3,"Russia, United Kingdom, United States",Flatiron Institute,United States,,,,Flatiron Institute,https://openalex.org/I4387153999,United States,"University of California, Santa Barbara",https://openalex.org/I154570441,United States,University of Cambridge,https://openalex.org/I241749,United Kingdom,Flatiron Institute,https://openalex.org/I4387153999,United States,Institute of Astronomy,https://openalex.org/I4210121240,Russia,Valparaiso University,https://openalex.org/I149744451,United States,University of Cambridge,https://openalex.org/I241749,United Kingdom,University of Cambridge,https://openalex.org/I241749,United Kingdom,University of Cambridge,https://openalex.org/I241749,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akbir Khan,1,,https://openalex.org/A5084386381,A5084386381,,Akbir Khan,Akbir Khan,17,41,1.6,3,1,True,1,False,False,False,False,1,United Kingdom,University of Cambridge,United Kingdom,,,,,,,,,,,,,,,,,,,University of Cambridge,https://openalex.org/I241749,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Tamkin,5,,https://openalex.org/A5081558429,A5081558429,https://orcid.org/0009-0006-0007-3746,Alex Tamkin,Alex Tamkin,47,2158,2.65,12,15,True,2,True,True,False,False,1,United States,Stanford University,United States,Stanford University,https://openalex.org/I97018004,United States,,,,Stanford University,https://openalex.org/I97018004,United States,North Carolina State University,https://openalex.org/I137902535,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Mountfield,1,,https://openalex.org/A5115560627,A5115560627,,Alfred Mountfield,Alfred Mountfield,1,3,0.0,1,0,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda Askell,5,,https://openalex.org/A5030305998,A5030305998,,Amanda Askell,Amanda Askell,41,25460,85.36842105263158,23,29,True,2,True,True,False,False,1,United States,New York University,United States,,,,New York University,https://openalex.org/I57206974,United States,,,,University of Minnesota System,https://openalex.org/I2800403580,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amirhossein Tajdini,1,,https://openalex.org/A5034337006,A5034337006,https://orcid.org/0000-0001-5055-0930,Amirhossein Tajdini,Amirhossein Tajdini,23,2664,4.833333333333333,14,16,True,3,True,True,False,False,1,United States,"University of California, Santa Barbara",United States,,,,,,,"University of California, Santa Barbara",https://openalex.org/I154570441,United States,"University of California, Santa Barbara",https://openalex.org/I154570441,United States,Institute for Advanced Study,https://openalex.org/I40036882,United States,Cornell University,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I205783295,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Chen,1,,https://openalex.org/A5056436767,A5056436767,https://orcid.org/0000-0002-5946-6572,Anna Chen,"Chen Anna, A. Chen, Anna Chen, An‐Na Chen",201,4234,9.2,34,75,True,4,False,True,False,True,3,"Austria, China, United States",Broad Institute,United States,Broad Institute,https://openalex.org/I107606265,United States,Comprehensive Cancer Center Vienna,https://openalex.org/I4210092129,Austria,Ocean University of China,https://openalex.org/I59028903,China,Central China Normal University,https://openalex.org/I40963666,China,Central China Normal University,https://openalex.org/I40963666,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Goldie,1,,https://openalex.org/A5088885573,A5088885573,https://orcid.org/0000-0002-4887-6293,Anna Goldie,"Anna Darling Goldie, Anna Goldie",39,1981,14.11111111111111,17,19,True,3,False,True,False,False,2,"United Kingdom, United States",Stanford University,United States,,,,Stanford University,https://openalex.org/I97018004,United States,,,,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,,,,,,,,,,,,,,,,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,,,,,,,Transnational Press London,https://openalex.org/I4392021135,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
