id,institution_name,direct_author_count,total_author_count,direct_works_count,total_works_count,direct_citations,total_citations,num_children,num_ancestors,has_parent,is_parent
https://openalex.org/I57206974,New York University,8,9,255461,270079,11312113,12106808,6,0,False,True
https://openalex.org/I124357947,University of London,1,9,89735,920523,3491625,36658586,40,0,False,True
https://openalex.org/I97018004,Stanford University,8,8,478128,478128,28663140,28663140,12,0,False,True
https://openalex.org/I1291425158,Google (United States),8,8,45388,45388,3164107,3164107,6,1,True,True
https://openalex.org/I40120149,University of Oxford,6,6,414496,414496,19668926,19668926,17,0,False,True
https://openalex.org/I205783295,Cornell University,4,5,415481,443622,18954620,19529752,12,0,False,True
https://openalex.org/I185261750,University of Toronto,4,4,500528,500528,20568623,20568623,5,0,False,True
https://openalex.org/I145311948,Johns Hopkins University,4,4,438011,438011,22200886,22200886,12,0,False,True
https://openalex.org/I4210161460,OpenAI (United States),4,4,276,276,87397,87397,0,0,False,False
https://openalex.org/I63966007,Massachusetts Institute of Technology,4,4,320426,320426,21168478,21168478,14,0,False,True
https://openalex.org/I4210114444,Meta (United States),1,4,3333,7902,327254,856527,2,0,False,True
https://openalex.org/I1309849503,RAND Corporation,3,4,20226,20948,985586,1006493,1,0,False,True
https://openalex.org/I136199984,Harvard University,2,3,683950,838894,44806563,50888314,17,0,False,True
https://openalex.org/I107672454,Dartmouth College,1,3,75117,96724,3268266,4030561,4,0,False,True
https://openalex.org/I241749,University of Cambridge,3,3,381372,381372,18008438,18008438,19,0,False,True
https://openalex.org/I118347636,Australian National University,3,3,165278,165278,6130646,6130646,6,0,False,True
https://openalex.org/I2252078561,Meta (Israel),3,3,4569,4569,529273,529273,0,1,True,False
https://openalex.org/I4210127509,Vector Institute,3,3,2129,2129,72522,72522,0,0,False,False
https://openalex.org/I95457486,"University of California, Berkeley",3,3,396722,396722,22065548,22065548,9,1,True,True
https://openalex.org/I2800403580,University of Minnesota System,2,3,36830,357928,990299,15338041,16,0,False,True
https://openalex.org/I4210164802,Mila - Quebec Artificial Intelligence Institute,2,2,1365,1365,28763,28763,1,0,False,True
https://openalex.org/I85722119,UCB Pharma (Belgium),1,2,3222,4868,98475,167682,8,0,False,True
https://openalex.org/I1292875679,Commonwealth Scientific and Industrial Research Organisation,1,2,98235,104892,4183681,4483448,36,1,True,True
https://openalex.org/I91136226,University of Sheffield,2,2,163326,163326,5909290,5909290,3,0,False,True
https://openalex.org/I2801339556,Government of the Republic of Korea,1,2,6189,11165,237843,320717,19,0,False,True
https://openalex.org/I12315562,Texas Tech University,2,2,86520,86520,2147711,2147711,1,1,True,True
https://openalex.org/I154570441,"University of California, Santa Barbara",2,2,124245,124245,6480572,6480572,5,1,True,True
https://openalex.org/I74775410,Rice University,2,2,73133,73133,3368384,3368384,2,0,False,True
https://openalex.org/I4210115175,AnthroTronix (United States),2,2,93,93,2455,2455,0,0,False,False
https://openalex.org/I4392021135,Transnational Press London,2,2,25717,25717,202655,202655,0,0,False,False
https://openalex.org/I4210090411,DeepMind (United Kingdom),2,2,1927,1927,289508,289508,0,1,True,False
https://openalex.org/I4210146410,Science Oxford,2,2,20956,20956,430644,430644,0,0,False,False
https://openalex.org/I52357470,The Ohio State University,2,2,338763,338763,10858675,10858675,7,1,True,True
https://openalex.org/I45129253,University College London,2,2,485011,485011,19928401,19928401,15,1,True,True
https://openalex.org/I2802123492,Oxford Research Group,2,2,2642,2642,156407,156407,0,0,False,False
https://openalex.org/I161057412,University of New Hampshire,1,1,31939,31939,1324800,1324800,3,1,True,True
https://openalex.org/I38877650,Zhengzhou University,1,1,97888,97888,1678420,1678420,0,0,False,False
https://openalex.org/I4210092285,Mission Therapeutics (United Kingdom),1,1,45,45,2789,2789,0,0,False,False
https://openalex.org/I4210124610,Natera (United States),1,1,704,704,13965,13965,0,0,False,False
https://openalex.org/I1336910626,Children's Hospital of Los Angeles,1,1,21590,21590,723740,723740,0,0,False,False
https://openalex.org/I84392919,Temple University,1,1,91987,91987,2916115,2916115,1,0,False,True
https://openalex.org/I4210092129,Comprehensive Cancer Center Vienna,1,1,4202,4202,150498,150498,0,1,True,False
https://openalex.org/I191208505,Xiamen University,1,1,96929,96929,2113782,2113782,3,0,False,True
https://openalex.org/I74801974,The University of Tokyo,1,1,461003,461003,13017427,13017427,4,0,False,True
https://openalex.org/I111088046,Boston University,1,1,186797,186797,8837656,8837656,1,0,False,True
https://openalex.org/I4387153466,Weill Cornell Medicine,1,1,28141,28141,575132,575132,0,1,True,False
https://openalex.org/I4210162753,First Affiliated Hospital of Jinan University,1,1,10281,10281,140219,140219,0,0,False,False
https://openalex.org/I4210089305,"Dr. D. Y. Patil Medical College, Hospital and Research Centre",1,1,8260,8260,43323,43323,0,0,False,False
https://openalex.org/I1289422878,Dartmouth–Hitchcock Medical Center,1,1,19243,19243,632216,632216,1,2,True,True
https://openalex.org/I70931966,Université de Montréal,1,1,163114,163114,5552408,5552408,5,0,False,True
https://openalex.org/I1174212,University of Southern California,1,1,255005,255005,10540715,10540715,4,0,False,True
https://openalex.org/I1340179700,NewYork–Presbyterian Hospital,1,1,43395,43395,1842776,1842776,3,0,False,True
https://openalex.org/I201448701,University of Washington,1,1,476830,476830,22730490,22730490,11,0,False,True
https://openalex.org/I138006243,University of Arizona,1,1,235393,235393,8955260,8955260,3,1,True,True
https://openalex.org/I4210150290,Murdoch Children's Research Institute,1,1,21413,21413,884015,884015,1,0,False,True
https://openalex.org/I887064364,University of Amsterdam,1,1,202139,202139,8305378,8305378,5,0,False,True
https://openalex.org/I63190737,"University at Buffalo, State University of New York",1,1,128854,128854,4137224,4137224,1,1,True,True
https://openalex.org/I1311688040,Amazon (United States),1,1,9993,9993,128516,128516,0,0,False,False
https://openalex.org/I79576946,University of Pennsylvania,1,1,370250,370250,18838663,18838663,1,0,False,True
https://openalex.org/I2800154431,Keck Hospital of USC,1,1,5151,5151,84056,84056,1,0,False,True
https://openalex.org/I3197470489,Alpha Omega Alpha Medical Honor Society,1,1,220,220,2963,2963,0,0,False,False
https://openalex.org/I137902535,North Carolina State University,1,1,165703,165703,5061756,5061756,10,1,True,True
https://openalex.org/I40963666,Central China Normal University,1,1,36570,36570,671890,671890,0,0,False,False
https://openalex.org/I151013683,Binzhou University,1,1,11813,11813,149716,149716,0,0,False,False
https://openalex.org/I99065089,Tsinghua University,1,1,321490,321490,8511431,8511431,16,0,False,True
https://openalex.org/I1325517477,American Jewish Committee,1,1,567,567,4602,4602,0,0,False,False
https://openalex.org/I107639228,University of Notre Dame,1,1,86220,86220,2882066,2882066,2,0,False,True
https://openalex.org/I2800300635,Edith Nourse Rogers Memorial Veterans Hospital,1,1,2088,2088,112523,112523,0,1,True,False
https://openalex.org/I4210146035,Gemeinschaftskrankenhaus Herdecke,1,1,570,570,9432,9432,0,0,False,False
https://openalex.org/I38756568,Xinyang College of Agriculture and Forestry,1,1,3177,3177,21357,21357,0,0,False,False
https://openalex.org/I59028903,Ocean University of China,1,1,56187,56187,1011523,1011523,0,0,False,False
https://openalex.org/I106938459,University of New Brunswick,1,1,32709,32709,905594,905594,0,0,False,False
https://openalex.org/I4387153999,Flatiron Institute,1,1,3619,3619,127807,127807,0,1,True,False
https://openalex.org/I27804330,Brown University,1,1,128682,128682,5741732,5741732,1,0,False,True
https://openalex.org/I2802236040,University of Colorado System,1,1,30332,30332,640517,640517,3,0,False,True
https://openalex.org/I1304085615,Nvidia (United Kingdom),1,1,1778,1778,95154,95154,0,1,True,False
https://openalex.org/I21250087,Charles University,1,1,122111,122111,2899618,2899618,18,0,False,True
https://openalex.org/I5847235,University of Petroleum and Energy Studies,1,1,11010,11010,138424,138424,0,0,False,False
https://openalex.org/I35440088,ETH Zurich,1,1,197870,197870,8097922,8097922,105,1,True,True
https://openalex.org/I51441396,Bauhaus-Universität Weimar,1,1,6119,6119,185689,185689,0,0,False,False
https://openalex.org/I198415970,Université d'Avignon et des Pays de Vaucluse,1,1,7412,7412,147507,147507,12,0,False,True
https://openalex.org/I4210122726,Dementia UK,1,1,784,784,12721,12721,0,0,False,False
https://openalex.org/I40036882,Institute for Advanced Study,1,1,17324,17324,1254572,1254572,0,0,False,False
https://openalex.org/I134841294,Binzhou Medical University,1,1,10581,10581,123519,123519,0,0,False,False
https://openalex.org/I149213910,University of Antwerp,1,1,78405,78405,2661385,2661385,2,0,False,True
https://openalex.org/I4210141942,Peking University Third Hospital,1,1,19850,19850,266585,266585,0,0,False,False
https://openalex.org/I193531525,George Washington University,1,1,105842,105842,3095834,3095834,2,0,False,True
https://openalex.org/I16391192,Tel Aviv University,1,1,187826,187826,6313096,6313096,0,0,False,False
https://openalex.org/I4210131147,SRM University,1,1,12509,12509,164063,164063,0,1,True,False
https://openalex.org/I180923762,University of Cologne,1,1,112071,112071,3289228,3289228,4,0,False,True
https://openalex.org/I4210140341,Allen Institute,1,1,3608,3608,302926,302926,4,0,False,True
https://openalex.org/I4654613,University of Warsaw,1,1,90049,90049,1606011,1606011,0,0,False,False
https://openalex.org/I4210121240,Institute of Astronomy,1,1,8965,8965,365265,365265,0,1,True,False
