Author Position,Author ID,Author Name,ORCID,Is Corresponding,Raw Author Name,Affiliations
first,https://openalex.org/A5025461840,Evan Hubinger,,False,"Hubinger, Evan",
middle,https://openalex.org/A5079864698,Carson Denison,,False,"Denison, Carson",
middle,https://openalex.org/A5060578216,Jesse Mu,,False,"Mu, Jesse",
middle,https://openalex.org/A5103263684,Mike Lambert,https://orcid.org/0000-0002-9785-076X,False,"Lambert, Mike",
middle,https://openalex.org/A5111092720,Meg Tong,,False,"Tong, Meg",
middle,https://openalex.org/A5084608104,Monte MacDiarmid,,False,"MacDiarmid, Monte",
middle,https://openalex.org/A5022793124,Tamera Lanham,,False,"Lanham, Tamera",
middle,https://openalex.org/A5109551394,Daniel M. Ziegler,,False,"Ziegler, Daniel M.",
middle,https://openalex.org/A5108519631,Tim Maxwell,,False,"Maxwell, Tim",
middle,https://openalex.org/A5058959806,Newton Cheng,,False,"Cheng, Newton",
middle,https://openalex.org/A5043387043,Adam S. Jermyn,https://orcid.org/0000-0001-5048-9973,False,"Jermyn, Adam",
middle,https://openalex.org/A5030305998,Amanda Askell,,False,"Askell, Amanda",
middle,https://openalex.org/A5104228508,Ansh Radhakrishnan,,False,"Radhakrishnan, Ansh",
middle,https://openalex.org/A5113854698,Cem Anil,,False,"Anil, Cem",
middle,https://openalex.org/A5030409494,David Duvenaud,,False,"Duvenaud, David",
middle,https://openalex.org/A5006294201,Deep Ganguli,https://orcid.org/0009-0007-9435-3817,False,"Ganguli, Deep",
middle,https://openalex.org/A5050436152,Fazl Barez,https://orcid.org/0009-0008-1889-6577,False,"Barez, Fazl",
middle,https://openalex.org/A5012713248,Jack A. Clark,https://orcid.org/0000-0002-7424-1670,False,"Clark, Jack",
middle,https://openalex.org/A5028970835,Kamal Ndousse,,False,"Ndousse, Kamal",
middle,https://openalex.org/A5084231398,Kshitij Sachan,,False,"Sachan, Kshitij",
middle,https://openalex.org/A5085932648,Michael Sellitto,,False,"Sellitto, Michael",
middle,https://openalex.org/A5003223014,Mrinank Sharma,https://orcid.org/0000-0002-4304-7963,False,"Sharma, Mrinank",
middle,https://openalex.org/A5011723751,Nova DasSarma,,False,"DasSarma, Nova",
middle,https://openalex.org/A5067036768,Roger Grosse,,False,"Grosse, Roger",
middle,https://openalex.org/A5009112681,Shauna Kravec,,False,"Kravec, Shauna",
middle,https://openalex.org/A5091860006,Yuntao Bai,https://orcid.org/0000-0003-3998-7837,False,"Bai, Yuntao",
middle,https://openalex.org/A5093713873,Zachary Witten,,False,"Witten, Zachary",
middle,https://openalex.org/A5069116837,Marina Favaro,,False,"Favaro, Marina",
middle,https://openalex.org/A5030437398,Jan Brauner,https://orcid.org/0000-0002-1588-5724,False,"Brauner, Jan",
middle,https://openalex.org/A5093713874,Holden Karnofsky,,False,"Karnofsky, Holden",
middle,https://openalex.org/A5109502066,Paul Christiano,,False,"Christiano, Paul",
middle,https://openalex.org/A5112713734,Samuel R. Bowman,,False,"Bowman, Samuel R.",
middle,https://openalex.org/A5041121552,Logan Graham,,False,"Graham, Logan",
middle,https://openalex.org/A5053213601,Jared Kaplan,,False,"Kaplan, Jared",
middle,https://openalex.org/A5012960540,Sören Mindermann,https://orcid.org/0000-0002-0315-9821,False,"Mindermann, Sören",
middle,https://openalex.org/A5037548279,Ryan Greenblatt,,False,"Greenblatt, Ryan",
middle,https://openalex.org/A5050408969,Buck Shlegeris,,False,"Shlegeris, Buck",
middle,https://openalex.org/A5050348824,Nicholas Schiefer,https://orcid.org/0000-0002-3065-6399,False,"Schiefer, Nicholas",
last,https://openalex.org/A5091112967,Ethan Perez,,False,"Perez, Ethan",
