Author Position,Author ID,Author Name,ORCID,Is Corresponding,Raw Author Name,Affiliations
first,https://openalex.org/A5007053674,Kiran Vodrahalli,,True,"Vodrahalli, Kiran",
middle,https://openalex.org/A5038686010,Santiago Ontañón,https://orcid.org/0000-0002-9616-2981,False,"Ontanon, Santiago",
middle,https://openalex.org/A5026221871,Nilesh Tripuraneni,,False,"Tripuraneni, Nilesh",
middle,https://openalex.org/A5060717631,Kelvin Xu,,False,"Xu, Kelvin",
middle,https://openalex.org/A5068218873,Sanil Jain,,False,"Jain, Sanil",
middle,https://openalex.org/A5080937560,Rakesh Shivanna,,False,"Shivanna, Rakesh",
middle,https://openalex.org/A5111940210,Jeffrey Hui,,False,"Hui, Jeffrey",
middle,https://openalex.org/A5000758286,Nishanth Dikkala,,False,"Dikkala, Nishanth",
middle,https://openalex.org/A5061716911,Mehran Kazemi,,False,"Kazemi, Mehran",
middle,https://openalex.org/A5063661444,Bahare Fatemi,,False,"Fatemi, Bahare",
middle,https://openalex.org/A5104083306,Rohan Anil,,False,"Anil, Rohan",
middle,https://openalex.org/A5010086803,Ethan Dyer,https://orcid.org/0000-0001-5391-3100,False,"Dyer, Ethan",
middle,https://openalex.org/A5034084374,Siamak Shakeri,,False,"Shakeri, Siamak",
middle,https://openalex.org/A5114389191,Roopali Vij,,False,"Vij, Roopali",
middle,https://openalex.org/A5112461374,Harsh Mehta,https://orcid.org/0000-0002-3428-3008,False,"Mehta, Harsh",
middle,https://openalex.org/A5059753414,Vinay Ramasesh,https://orcid.org/0000-0003-0625-3327,False,"Ramasesh, Vinay",
middle,https://openalex.org/A5088551093,Quoc V. Le,https://orcid.org/0000-0002-1087-2844,False,"Le, Quoc",
middle,https://openalex.org/A5061612396,Ed Chi,,False,"Chi, Ed",
middle,https://openalex.org/A5069653714,Yifeng Lu,https://orcid.org/0000-0003-1973-818X,False,"Lu, Yifeng",
middle,https://openalex.org/A5035914396,Orhan Fırat,https://orcid.org/0000-0001-5775-2420,False,"Firat, Orhan",
middle,https://openalex.org/A5042659302,Angeliki Lazaridou,https://orcid.org/0000-0002-5857-474X,False,"Lazaridou, Angeliki",
middle,https://openalex.org/A5058299981,Jean-Baptiste Lespiau,,False,"Lespiau, Jean-Baptiste",
middle,https://openalex.org/A5002701525,Nithya Attaluri,https://orcid.org/0000-0001-9683-914X,False,"Attaluri, Nithya",
last,https://openalex.org/A5093547771,Kate Olszewska,,False,"Olszewska, Kate",
