Author,OA_ID,unique_affiliation_count,affiliation-2026,ID-2026,affiliation-2025,ID-2025,affiliation-2024,ID-2024,affiliation-2023,ID-2023,affiliation-2022,ID-2022,affiliation-2021,ID-2021,affiliation-2020,ID-2020,affiliation-2019,ID-2019,affiliation-2018,ID-2018,affiliation-2017,ID-2017,affiliation-2016,ID-2016,affiliation-2015,ID-2015,affiliation-2014,ID-2014,affiliation-2013,ID-2013,affiliation-2012,ID-2012,affiliation-2011,ID-2011,affiliation-2010,ID-2010,affiliation-2009,ID-2009,affiliation-2008,ID-2008,affiliation-2007,ID-2007,affiliation-2006,ID-2006,affiliation-2005,ID-2005,affiliation-2004,ID-2004,affiliation-2003,ID-2003,affiliation-2002,ID-2002,affiliation-2001,ID-2001,affiliation-2000,ID-2000,affiliation-1999,ID-1999,affiliation-1998,ID-1998,affiliation-1997,ID-1997,affiliation-1996,ID-1996,affiliation-1995,ID-1995,affiliation-1994,ID-1994,affiliation-1993,ID-1993,affiliation-1992,ID-1992,affiliation-1991,ID-1991,affiliation-1990,ID-1990,affiliation-1989,ID-1989,affiliation-1988,ID-1988,affiliation-1987,ID-1987,affiliation-1986,ID-1986,affiliation-1985,ID-1985,affiliation-1984,ID-1984,affiliation-1983,ID-1983,affiliation-1982,ID-1982,affiliation-1979,ID-1979,affiliation-1976,ID-1976,affiliation-1962,ID-1962,affiliation-1959,ID-1959,affiliation-1944,ID-1944,affiliation-1936,ID-1936,affiliation-1923,ID-1923
A. Feder Cooper,A5064217008,4,,,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,,,,,,,,,,,,,University of Oxford,https://openalex.org/I40120149,,,,,,,,,Center for the Study of Democracy,https://openalex.org/I1324611689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Co,A5120056007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aashi Jain,A5102625659,1,Shyam Shah Medical College,https://openalex.org/I2802366294,,,Shyam Shah Medical College,https://openalex.org/I2802366294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abheesht Sharma,A5112620294,2,"Birla Institute of Technology and Science, Pilani - Goa Campus",https://openalex.org/I4210148827,,,,,,,"Birla Institute of Technology and Science, Pilani",https://openalex.org/I74796645,"Birla Institute of Technology and Science, Pilani",https://openalex.org/I74796645,"Birla Institute of Technology and Science, Pilani",https://openalex.org/I74796645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail Jacobs,A5062776849,11,,,University of Michigan–Ann Arbor,https://openalex.org/I27837315,Wesleyan University,https://openalex.org/I100538780,Seeqc (United States),https://openalex.org/I4210143595,Island Hospital,https://openalex.org/I4210122485,University of Colorado System,https://openalex.org/I2802236040,United States Food and Drug Administration,https://openalex.org/I1320320070,United States Food and Drug Administration,https://openalex.org/I1320320070,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States Food and Drug Administration,https://openalex.org/I1320320070,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,,,Rutgers New Jersey Medical School,https://openalex.org/I4402554120,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,Jacobs (United States),https://openalex.org/I4210150894,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,Buffalo BioLabs,https://openalex.org/I4210159785,,,,,,,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,,,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,,,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,,,,,,,,,,,National Institute of Environmental Health Sciences,https://openalex.org/I4210095140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Charles Roberts,A5076243636,7,,,CREATe Centre,https://openalex.org/I4210146168,Deutsche Telekom (Singapore),https://openalex.org/I4210103465,Deutsche Telekom (Singapore),https://openalex.org/I4210103465,Western Sydney University,https://openalex.org/I63525965,ETH Zurich,https://openalex.org/I35440088,Nanyang Technological University,https://openalex.org/I172675005,Nanyang Technological University,https://openalex.org/I172675005,Nanyang Technological University,https://openalex.org/I172675005,Nanyang Technological University,https://openalex.org/I172675005,Nanyang Technological University,https://openalex.org/I172675005,Nanyang Technological University,https://openalex.org/I172675005,University of Oxford,https://openalex.org/I40120149,,,,,,,,,University of Sheffield,https://openalex.org/I91136226,University of Sheffield,https://openalex.org/I91136226,University of Sheffield,https://openalex.org/I91136226,University of Sheffield,https://openalex.org/I91136226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Oxford,https://openalex.org/I40120149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adham Elarabawy,A5120056006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Sasha Vezhnevets,A5030684417,3,,,Google (United Kingdom),https://openalex.org/I4210113297,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,,,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Chouldechova,A5057438082,3,,,Carnegie Mellon University,https://openalex.org/I74973139,Carnegie Mellon University,https://openalex.org/I74973139,Carnegie Mellon University,https://openalex.org/I74973139,Carnegie Mellon University,https://openalex.org/I74973139,Carnegie Mellon University,https://openalex.org/I74973139,Carnegie Mellon University,https://openalex.org/I74973139,Carnegie Mellon University,https://openalex.org/I74973139,,,Carnegie Mellon University,https://openalex.org/I74973139,Children's Hospital at Montefiore,https://openalex.org/I4210135976,Carnegie Mellon University,https://openalex.org/I74973139,,,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Lisak,A5120056003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
