Author,No. Papers,Notes,OA_Profile,OA_ID,Papers
A. Feder Cooper,1,,https://openalex.org/A5064217008,A5064217008,3
AJ Co,1,,https://openalex.org/A5120056007,A5120056007,6
Aashi Jain,2,,https://openalex.org/A5102625659,A5102625659,"5, 6"
Abheesht Sharma,1,,https://openalex.org/A5112620294,A5112620294,6
Abigail Jacobs,1,,https://openalex.org/A5062776849,A5062776849,3
Adam Charles Roberts,1,,https://openalex.org/A5076243636,A5076243636,6
Adham Elarabawy,1,,https://openalex.org/A5120056006,A5120056006,6
Alexander Sasha Vezhnevets,1,,https://openalex.org/A5030684417,A5030684417,4
Alexandra Chouldechova,1,,https://openalex.org/A5057438082,A5057438082,3
Alice Lisak,1,,https://openalex.org/A5120056003,A5120056003,6
Amy Cyphert,1,,https://openalex.org/A5042134422,A5042134422,3
Andreas Doumanoglou,2,,https://openalex.org/A5064058456,A5064058456,"5, 6"
Andreas Terzis,1,,https://openalex.org/A5103331911,A5103331911,3
Angeliki Lazaridou,1,,https://openalex.org/A5042659302,A5042659302,1
Antoine Dedieu,1,,https://openalex.org/A5091131733,A5091131733,2
Armand Joulin,1,,https://openalex.org/A5107859338,A5107859338,6
Babak Samari,1,,https://openalex.org/A5052565533,A5052565533,6
Bahare Fatemi,1,,https://openalex.org/A5063661444,A5063661444,1
Ben Hora,1,,https://openalex.org/A5120056008,A5120056008,6
Biao Zhang,1,,https://openalex.org/A5100363719,A5100363719,6
Blair Chen,1,,https://openalex.org/A5114141711,A5114141711,5
Brian Potetz,1,,https://openalex.org/A5120056009,A5120056009,6
C. K. Yip,1,,https://openalex.org/A5045065945,A5045065945,5
Chad Brick,1,,https://openalex.org/A5032173284,A5032173284,6
Christopher A. Choquette-Choo,1,,https://openalex.org/A5063017186,A5063017186,3
Christopher De,1,,https://openalex.org/A5041869459,A5041869459,3
Dahun Kim,1,,https://openalex.org/A5084688455,A5084688455,6
Daniel Cer,2,,https://openalex.org/A5073726152,A5073726152,"5, 6"
Daniel E. Ho,1,,https://openalex.org/A5102614290,A5102614290,3
Daniel Salz,2,,https://openalex.org/A5065353057,A5065353057,"5, 6"
David Bau,1,,https://openalex.org/A5033305045,A5033305045,3
Divyashree Sreepathihalli,1,,https://openalex.org/A5120056005,A5120056005,6
Ed Chi,1,,https://openalex.org/A5061612396,A5061612396,1
Edgar A. Duéñez‐Guzmán,1,,https://openalex.org/A5061221525,A5061221525,4
Eleni Triantafillou,1,,https://openalex.org/A5091334872,A5091334872,3
Enrique Alfonseca,1,,https://openalex.org/A5091708404,A5091708404,6
Ethan Dyer,1,,https://openalex.org/A5010086803,A5010086803,1
Feiyang Chen,2,,https://openalex.org/A5102837388,A5102837388,"5, 6"
Feng Han,2,,https://openalex.org/A5101224272,A5101224272,"5, 6"
Fernando Delgado,1,,https://openalex.org/A5040999406,A5040999406,3
Francesco Visin,1,,https://openalex.org/A5072811055,A5072811055,6
Frank Palma Gomez,2,,https://openalex.org/A5058042352,A5058042352,"5, 6"
Fédor Moiseev,2,,https://openalex.org/A5055241858,A5055241858,"5, 6"
G M Liu,1,,https://openalex.org/A5038633290,A5038633290,6
Georgios Piliouras,1,,https://openalex.org/A5079969658,A5079969658,4
Glenn Cameron,1,,https://openalex.org/A5114202942,A5114202942,6
Guangyao Zhou,1,,https://openalex.org/A5076644778,A5076644778,2
Gus Martins,1,,https://openalex.org/A5113319893,A5113319893,6
Gustavo Hernández Ábrego,2,,https://openalex.org/A5013110024,A5013110024,"5, 6"
Hanna Wallach,1,,https://openalex.org/A5046348432,A5046348432,3
Harsh Mehta,1,,https://openalex.org/A5112461374,A5112461374,1
Henrique Schechter Vera,2,,https://openalex.org/A5119748841,A5119748841,"5, 6"
Hesen Zhang,1,,https://openalex.org/A5024254692,A5024254692,6
Hui Hui,1,,https://openalex.org/A5112375674,A5112375674,6
I. A. Ballantyne,1,,https://openalex.org/A5091786513,A5091786513,6
Iftekhar Naim,2,,https://openalex.org/A5033760431,A5033760431,"5, 6"
Ilia Shumailov,1,,https://openalex.org/A5069844959,A5069844959,3
Iyad Rahwan,1,,https://openalex.org/A5009232244,A5009232244,4
J. Swaroop Guntupalli,1,,https://openalex.org/A5009263663,A5009263663,2
J. Zheng,1,,https://openalex.org/A5051489928,A5051489928,6
James Grimmelmann,1,,https://openalex.org/A5065406908,A5065406908,3
Jamie Hayes,1,,https://openalex.org/A5104083546,A5104083546,3
Jasmeet Singh,1,,https://openalex.org/A5110556013,A5110556013,6
Jay Han,1,,https://openalex.org/A5026362916,A5026362916,6
Jay J. Han,1,,https://openalex.org/A5020910026,A5020910026,5
Jean-Baptiste Lespiau,1,,https://openalex.org/A5058299981,A5058299981,1
Jeffrey Hui,1,,https://openalex.org/A5111940210,A5111940210,1
Jennifer Wortman Vaughan,1,,https://openalex.org/A5043117896,A5043117896,3
Jiageng Zhang,1,,https://openalex.org/A5032151259,A5032151259,6
Jin Zou,1,,https://openalex.org/A5003746258,A5003746258,6
Jinhyuk Lee,2,,https://openalex.org/A5002413587,A5002413587,"5, 6"
Joel Z. Leibo,1,,https://openalex.org/A5054808675,A5054808675,4
John Agapiou,1,,https://openalex.org/A5017056095,A5017056095,4
Joseph Ortiz,1,,https://openalex.org/A5083547055,A5083547055,2
Julia Haas,1,,https://openalex.org/A5053872110,A5053872110,4
Junjie Ji,1,,https://openalex.org/A5077849966,A5077849966,6
Kaifeng Chen,2,,https://openalex.org/A5114546921,A5114546921,"5, 6"
Karan Gill,2,,https://openalex.org/A5109602315,A5109602315,"5, 6"
Kat Black,1,,https://openalex.org/A5106300982,A5106300982,6
Kate Olszewska,1,,https://openalex.org/A5093547771,A5093547771,1
Katherine Lee,1,,https://openalex.org/A5101561897,A5101561897,3
Kathleen Kenealy,1,,https://openalex.org/A5009962014,A5009962014,6
Katja Filippova,1,,https://openalex.org/A5037657908,A5037657908,3
Ke Chen,2,,https://openalex.org/A5100649535,A5100649535,"5, 6"
Kelvin Xu,1,,https://openalex.org/A5060717631,A5060717631,1
Ken Liu,1,,https://openalex.org/A5101494882,A5101494882,3
Kevin Klyman,1,,https://openalex.org/A5093104547,A5093104547,3
Kevin P. Murphy,1,,https://openalex.org/A5032986126,A5032986126,2
Kiran Vodrahalli,1,,https://openalex.org/A5007053674,A5007053674,1
Koert Chen,2,,https://openalex.org/A5022123903,A5022123903,"5, 6"
Lucas Gonzalez,1,,https://openalex.org/A5113077275,A5113077275,6
Madhuri Shanbhogue,2,,https://openalex.org/A5021062067,A5021062067,"5, 6"
Manfred Diaz,1,,https://openalex.org/A5025430674,A5025430674,4
Mark A. Lemley,1,,https://openalex.org/A5088186426,A5088186426,3
Mark Sherwood,1,,https://openalex.org/A5120056004,A5120056004,6
Matthew Jagielski,1,,https://openalex.org/A5054655342,A5054655342,3
Mehran Kazemi,1,,https://openalex.org/A5061716911,A5061716911,1
Michael Boratko,2,,https://openalex.org/A5062977994,A5062977994,"5, 6"
