id,author_count,display_name,type,country,city,display_name_acronyms,display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,wikipedia,associated_institutions_children,children_ids,associated_institutions_parent,parent_ids
https://openalex.org/I1291425158,41,Google (United States),company,United States,Mountain View,,Google (United States); Google Research; Googleplex,75675,11431064,20.158299953181086,1163,73619,http://en.wikipedia.org/wiki/Google,Google (Switzerland); Google (United Kingdom); Google (Israel); Google (Ireland); Google (Canada); Google (Singapore); Google (Australia),https://openalex.org/I4210100430; https://openalex.org/I4210113297; https://openalex.org/I4210117425; https://openalex.org/I4210131802; https://openalex.org/I4210148186; https://openalex.org/I4405256196; https://openalex.org/I4405261138,Alphabet (United States),https://openalex.org/I4210128969
https://openalex.org/I4210090411,21,Google DeepMind (United Kingdom),company,United Kingdom,London,,DeepMind; Google DeepMind; Google DeepMind (United Kingdom),2967,4415290,180.27823795180723,666,3637,https://en.wikipedia.org/wiki/DeepMind,,,Alphabet (United States),https://openalex.org/I4210128969
https://openalex.org/I97018004,17,Stanford University,education,United States,Stanford,SU,Leland Stanford Junior University; Stanford University; Universidad Stanford,511099,82342857,5.369854746743247,2439,635254,http://en.wikipedia.org/wiki/Stanford_University,SLAC National Accelerator Laboratory; Kavli Institute for Particle Astrophysics and Cosmology; Chan Zuckerberg Biohub San Francisco; Children's Hospital Central California; Brown Institute for Media Innovation; Stanford Synchrotron Radiation Lightsource; Center for Effective Global Action; Stanford Medicine; Max Planck Center for Visual Computing and Communication; Eterna Massive Open Laboratory; Facility for Advanced Accelerator Experimental Tests-II; Stanford SystemX Alliance,https://openalex.org/I2801935854; https://openalex.org/I4210094059; https://openalex.org/I4210100286; https://openalex.org/I4210110647; https://openalex.org/I4210111952; https://openalex.org/I4210120900; https://openalex.org/I4210135243; https://openalex.org/I4210137306; https://openalex.org/I4210143036; https://openalex.org/I4210164524; https://openalex.org/I4390039342; https://openalex.org/I4392738099,,
https://openalex.org/I4210113297,15,Google (United Kingdom),company,United Kingdom,London,,Google (United Kingdom),942,1513447,446.58755980861247,271,1194,https://en.wikipedia.org/wiki/Google,,,Google (United States),https://openalex.org/I1291425158
https://openalex.org/I63966007,12,Massachusetts Institute of Technology,education,United States,Cambridge,MIT,Instituto Tecnológico de Massachusetts; Massachusetts Institute of Technology,337548,61425425,5.96017116524029,2229,457455,http://en.wikipedia.org/wiki/Massachusetts_Institute_of_Technology,"McGovern Institute for Brain Research; Ragon Institute of MGH, MIT and Harvard; Massachusetts Space Grant Consortium; Cambridge–MIT Institute; Institute for Soldier Nanotechnologies; MIT Lincoln Laboratory; MIT Sea Grant; Athinoula A. Martinos Center for Biomedical Imaging; Novartis-MIT Center for Continuous Manufacturing; Whitehead Institute for Biomedical Research; MIT-Harvard Center for Ultracold Atoms; The NSF AI Institute for Artificial Intelligence and Fundamental Interactions; Institute for Collaborative Biotechnologies; Koch Institute for Integrative Cancer Research At MIT; MIT Computer Science and Artificial Intelligence Laboratory",https://openalex.org/I144112489; https://openalex.org/I2802422659; https://openalex.org/I4210087444; https://openalex.org/I4210093068; https://openalex.org/I4210109539; https://openalex.org/I4210122954; https://openalex.org/I4210125891; https://openalex.org/I4210127055; https://openalex.org/I4210129287; https://openalex.org/I4210157710; https://openalex.org/I4210159271; https://openalex.org/I4210160315; https://openalex.org/I4388482662; https://openalex.org/I4390039253; https://openalex.org/I4405258931,,
https://openalex.org/I95457486,11,"University of California, Berkeley",education,United States,Berkeley,UCB,"Cal Berkeley; UC Berkeley; Universidad de California en Berkeley; University of California at Berkeley; University of California, Berkeley; Université de Californie à Berkeley",428650,53300724,4.195961383536496,1822,474842,"http://en.wikipedia.org/wiki/University_of_California,_Berkeley",QB3; Chan Zuckerberg Biohub San Francisco; Innovative Genomics Institute; Tsinghua–Berkeley Shenzhen Institute; Center for Effective Global Action; Plant Gene Expression Center; Gump South Pacific Research Station; Pacific Earthquake Engineering Research Center; Space Sciences Laboratory; Institute of International Studies; CloudBank,https://openalex.org/I103922791; https://openalex.org/I4210100286; https://openalex.org/I4210109258; https://openalex.org/I4210114105; https://openalex.org/I4210135243; https://openalex.org/I4210144282; https://openalex.org/I4210144402; https://openalex.org/I4392738292; https://openalex.org/I4405256501; https://openalex.org/I4405259112; https://openalex.org/I4405259881,University of California System,https://openalex.org/I2803209242
https://openalex.org/I205783295,10,Cornell University,education,United States,Ithaca,CU,Cornell University; Universidad Cornell,453901,51410360,4.184284947198854,1714,526779,http://en.wikipedia.org/wiki/Cornell_University,New York State College of Agriculture & Life Sciences; New York State School of Industrial and Labor Relations; New York Sea Grant; New York Space Grant Consortium; New York State University College of Human Ecology; New York State College of Veterinary Medicine; PARADIM; Cornell Lab of Ornithology; Weill Cornell Medicine; Cornell Atkinson Center for Sustainability; Cornell University Agricultural Experiment Station; arXiv; Cornell Tech,https://openalex.org/I4210092791; https://openalex.org/I4210098983; https://openalex.org/I4210134430; https://openalex.org/I4210141610; https://openalex.org/I4210144145; https://openalex.org/I4210151139; https://openalex.org/I4387152773; https://openalex.org/I4387153357; https://openalex.org/I4387153466; https://openalex.org/I4387155861; https://openalex.org/I4392738320; https://openalex.org/I4402554005; https://openalex.org/I4405261073,,
https://openalex.org/I57206974,9,New York University,education,United States,New York,NYU,New York University; Universidad de Nueva York; Université de New York,267058,25365356,3.1857937637469274,1343,258126,http://en.wikipedia.org/wiki/New_York_University,New York University Abu Dhabi; New York University Shanghai; New York University Press; Courant Institute of Mathematical Sciences; New York University Florence; New York University Paris,https://openalex.org/I120250893; https://openalex.org/I258800397; https://openalex.org/I2799442855; https://openalex.org/I36672615; https://openalex.org/I4210123063; https://openalex.org/I4210165353,,
https://openalex.org/I45129253,7,University College London,education,United Kingdom,London,UCL,"Coleg Prifysgol Llundain; London University; University College London; University College, London",559049,60369480,4.264790567897659,1955,633583,http://en.wikipedia.org/wiki/University_College_London,"Wellcome Centre for Human Neuroimaging; NIHR Moorfields Biomedical Research Centre; University College London Qatar; MRC Clinical Trials Unit at UCL; MRC Laboratory for Molecular Cell Biology; Wellcome / EPSRC Centre for Interventional and Surgical Sciences; MRC Prion Unit; UCL Biomedical Research Centre; MRC Unit for Lifelong Health and Ageing; Centre for the Observation and Modelling of Earthquakes, Volcanoes and Tectonics; Sierra Leone Urban Research Centre; Institute of Structural and Molecular Biology; UCL Hospitals Charitable Foundation; Sainsbury Wellcome Centre; UCL Queen Square Institute of Neurology",https://openalex.org/I165524941; https://openalex.org/I4210088407; https://openalex.org/I4210089544; https://openalex.org/I4210091428; https://openalex.org/I4210093127; https://openalex.org/I4210122016; https://openalex.org/I4210134576; https://openalex.org/I4210138523; https://openalex.org/I4210139815; https://openalex.org/I4210147017; https://openalex.org/I4210149513; https://openalex.org/I4210157240; https://openalex.org/I4392738225; https://openalex.org/I4396570676; https://openalex.org/I4405260083,University of London,https://openalex.org/I124357947
https://openalex.org/I4210113520,6,Brain (Germany),company,Germany,Zwingenberg,,Biotechnology Research and Information Network; Brain (Germany),4397,446097,2.844712990936556,246,4697,,,,,
