Author,No. Papers,Notes,OA_Profile,OA_ID,Papers
:,1,,https://openalex.org/A9999999999,A9999999999,1
Aixin Liu,5,,https://openalex.org/A5015078816,A5015078816,"2, 3, 4, 5, 6"
Andi Liu,1,,https://openalex.org/A5062061862,A5062061862,1
Aoxue Mei,1,,https://openalex.org/A5005251905,A5005251905,6
Bei Feng,4,,https://openalex.org/A5016665033,A5016665033,"2, 4, 5, 6"
Bin Wang,1,,,,2
Bing Xue,3,,https://openalex.org/A5101472713,A5101472713,"4, 5, 6"
BingXue Lin,1,,https://openalex.org/A5025436331,A5025436331,6
Bingxuan Wang,6,,https://openalex.org/A5114179761,A5114179761,"1, 2, 3, 4, 5, 6"
Bingzheng Xu,1,,https://openalex.org/A5109505733,A5109505733,6
Bo Liu,2,,https://openalex.org/A5100727812,A5100727812,"1, 2"
Bo Zhang,1,,https://openalex.org/A5100335386,A5100335386,1
Bowei Zhang,1,,https://openalex.org/A5120751166,A5120751166,6
Bowen Wu,3,,https://openalex.org/A5103178710,A5103178710,"4, 5, 6"
Chaofan Lin,1,,https://openalex.org/A5109678287,A5109678287,6
Chen Dong,1,,https://openalex.org/A5100767305,A5100767305,6
Chen Jin,1,,https://openalex.org/A5054729762,A5054729762,4
Chengda Lu,3,,https://openalex.org/A5090328003,A5090328003,"4, 5, 6"
Chenggang Zhao,6,,https://openalex.org/A5079470006,A5079470006,"1, 2, 3, 4, 5, 6"
Chengqi Deng,5,,https://openalex.org/A5084839131,A5084839131,"1, 3, 4, 5, 6"
Chengqi Dengr,1,,,,2
Chenhao Xu,1,,https://openalex.org/A5101012867,A5101012867,6
Chenyu Zhang,1,,https://openalex.org/A5100377485,A5100377485,4
Chong Ruan,6,,https://openalex.org/A5019374810,A5019374810,"1, 2, 3, 4, 5, 6"
Damai Dai,6,,https://openalex.org/A5020456783,A5020456783,"1, 2, 3, 4, 5, 6"
Daya Guo,6,,https://openalex.org/A5060364305,A5060364305,"1, 2, 3, 4, 5, 6"
DeepSeek-AI,5,,https://openalex.org/A5093670579,A5093670579,"1, 2, 3, 4, 6"
Dejian Yang,5,,https://openalex.org/A5101194950,A5101194950,"1, 2, 3, 4, 5"
Deli Chen,6,,https://openalex.org/A5028794611,A5028794611,"1, 2, 3, 4, 5, 6"
Dongjie Ji,4,,https://openalex.org/A5043755032,A5043755032,"2, 4, 5, 6"
Erhang Li,5,,https://openalex.org/A5113091614,A5113091614,"1, 2, 4, 5, 6"
Fangqi Zhou,1,,https://openalex.org/A5002273360,A5002273360,6
Fangyun Lin,5,,https://openalex.org/A5109672590,A5109672590,"1, 2, 4, 5, 6"
Fengze Dai,3,,https://openalex.org/A5029983760,A5029983760,"4, 5, 6"
Fuli Luo,5,,https://openalex.org/A5019525050,A5019525050,"1, 2, 3, 4, 5"
Guan-Ting Chen,3,,https://openalex.org/A5085396184,A5085396184,"4, 5, 6"
Guangbo Hao,5,,https://openalex.org/A5064813063,A5064813063,"1, 2, 4, 5, 6"
Guanting Chen,2,,https://openalex.org/A5101983121,A5101983121,"1, 2"
Guowei Li,5,,https://openalex.org/A5001383067,A5001383067,"1, 2, 4, 5, 6"
H. Liang,1,,https://openalex.org/A5065367124,A5065367124,6
H. Zhang,2,,https://openalex.org/A5108346243,A5108346243,"2, 4"
Han Bao,1,,https://openalex.org/A5021682810,A5021682810,4
Hanwei Xu,6,,https://openalex.org/A5100966558,A5100966558,"1, 2, 3, 4, 5, 6"
Hao Li,1,,https://openalex.org/A5042878459,A5042878459,6
Hao Yang,1,,,,2
Haocheng Wang,1,,https://openalex.org/A5034335736,A5034335736,4
Haoran Wei,1,,https://openalex.org/A5114246441,A5114246441,6
Haowei Zhang,5,,https://openalex.org/A5080515807,A5080515807,"1, 2, 4, 5, 6"
Haowen Luo,1,,https://openalex.org/A5049311422,A5049311422,6
