Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,unique_affiliation_count,all_china,some_china,some_usa,all_usa,all_countries,affiliation_data,unique_country_count,Most Recent Affiliation Year,Most Recent Affiliation,Most Recent Affiliation Country,affiliation_id_1983,affiliation_country_1983,affiliation_display_name_1983,affiliation_id_1984,affiliation_country_1984,affiliation_display_name_1984,affiliation_id_1985,affiliation_country_1985,affiliation_display_name_1985,affiliation_id_1986,affiliation_country_1986,affiliation_display_name_1986,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1987,affiliation_id_1988,affiliation_country_1988,affiliation_display_name_1988,affiliation_id_1989,affiliation_country_1989,affiliation_display_name_1989,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1990,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1991,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1992,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1993,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1994,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1995,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1996,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1997,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1998,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1999,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_2000,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2001,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2002,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2003,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2004,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2005,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2006,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2007,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2008,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2009,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2010,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2011,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2012,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2013,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2014,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2015,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2016,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2017,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2018,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2019,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2020,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2021,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2022,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2023,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2024,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2025,affiliation_id_2026,affiliation_country_2026,affiliation_display_name_2026
Aixin Liu,5,,https://openalex.org/A5015078816,A5015078816,https://orcid.org/0000-0001-7152-511X,Aixin Liu,"Ai-Xin Liu, Aixin Liu, Ai‐Xin Liu, Liu, Aixin",84,1033,27.25,15,20,10,False,True,True,False,"Canada, China, United States",True,3,2026,Shanghai Traditional Chinese Medicine Hospital,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I74485261,China,Shandong Agricultural University,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I29739308,China,Guangxi Normal University,https://openalex.org/I74485261,China,Shandong Agricultural University,https://openalex.org/I191208505,China,Xiamen University,,,,https://openalex.org/I74485261,China,Shandong Agricultural University,https://openalex.org/I150807315,China,Guangxi University,https://openalex.org/I99041443,United States,Mississippi State University,,,,https://openalex.org/I74485261,China,Shandong Agricultural University,https://openalex.org/I74485261,China,Shandong Agricultural University,https://openalex.org/I74485261,China,Shandong Agricultural University,https://openalex.org/I112260969,Canada,Ontario Institute for Cancer Research,https://openalex.org/I74485261,China,Shandong Agricultural University,https://openalex.org/I99041443,United States,Mississippi State University,https://openalex.org/I74485261,China,Shandong Agricultural University,https://openalex.org/I74485261,China,Shandong Agricultural University,https://openalex.org/I28006308,China,Shandong Normal University,https://openalex.org/I74485261,China,Shandong Agricultural University,https://openalex.org/I99041443,United States,Mississippi State University,https://openalex.org/I253932293,China,Anhui University of Traditional Chinese Medicine,https://openalex.org/I4210167213,China,Lu'an First People's Hospital,https://openalex.org/I4210135988,China,Shanghai Traditional Chinese Medicine Hospital
Andi Liu,1,,https://openalex.org/A5062061862,A5062061862,https://orcid.org/0009-0009-0989-2897,Andi Liu,"A X Liu, A. X. Liu, Andi Liu, Liu, A. X., Liu, Andi",24,361,10.5625,9,9,3,False,True,True,False,"China, United States",True,2,2025,South China University of Technology,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I87216513,United States,Michigan State University,,,,https://openalex.org/I87216513,United States,Michigan State University,https://openalex.org/I87216513,United States,Michigan State University,,,,https://openalex.org/I87216513,United States,Michigan State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I82880672,China,Beihang University,https://openalex.org/I82880672,China,Beihang University,https://openalex.org/I90610280,China,South China University of Technology,,,
Aoxue Mei,1,,https://openalex.org/A5005251905,A5005251905,https://orcid.org/0009-0003-3914-9304,Aoxue Mei,"A L Mei, Aoxue Mei, Mei, Aoxue",11,10,0.8,2,0,2,True,True,False,False,China,True,1,2026,Huanghuai University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I87780372,China,Chongqing Medical University,,,,,,,,,,,,,,,,https://openalex.org/I4210131125,China,Huanghuai University,https://openalex.org/I4210131125,China,Huanghuai University
Bei Feng,4,,https://openalex.org/A5016665033,A5016665033,,Bei Feng,"B. L. Feng, Bei Feng, Feng, Bei",7,639,159.5,2,2,2,True,True,False,False,China,True,1,2025,Union Hospital,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I89652312,China,Northwest A&F University,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210163933,China,Union Hospital,,,
Bing Xue,3,,https://openalex.org/A5101472713,A5101472713,https://orcid.org/0000-0002-3796-7691,Bing Xue,"B. Xue, B. Y. XUE, Bing XUE, Bing Xue, Xue, Bing",66,2061,46.8,22,42,8,False,True,True,False,"China, United States",True,2,2025,Scientific Methods (United States),United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I194450716,China,Jilin University,https://openalex.org/I194450716,China,Jilin University,https://openalex.org/I4210136497,China,Jilin Medical University,https://openalex.org/I194450716,China,Jilin University,https://openalex.org/I4210136497,China,Jilin Medical University,,,,https://openalex.org/I4800084,China,Southwest Jiaotong University,https://openalex.org/I194450716,China,Jilin University,https://openalex.org/I130238516,United States,University of Minnesota,https://openalex.org/I4210136497,China,Jilin Medical University,,,,https://openalex.org/I96908189,China,Xinjiang University,https://openalex.org/I31847773,China,Zhejiang Ocean University,https://openalex.org/I51622183,China,Shaanxi University of Science and Technology,https://openalex.org/I31847773,China,Zhejiang Ocean University,https://openalex.org/I4210136497,China,Jilin Medical University,https://openalex.org/I194450716,China,Jilin University,,,,https://openalex.org/I4210145164,United States,Scientific Methods (United States),,,
BingXue Lin,1,,https://openalex.org/A5025436331,A5025436331,https://orcid.org/0000-0002-6904-9684,BingXue Lin,"B.L. Lin, Bing-Xue Lin, BingXue Lin, Bingxue Lin, Bing‐Xue Lin",15,110,3.0,5,3,4,False,False,True,True,United States,True,1,2025,Anna Needs Neuroblastoma Answers,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210086933,United States,NYU Langone Health,https://openalex.org/I57206974,United States,New York University,,,,https://openalex.org/I4210086933,United States,NYU Langone Health,https://openalex.org/I57206974,United States,New York University,https://openalex.org/I57206974,United States,New York University,https://openalex.org/I4210107408,United States,New York Proton Center,,,,https://openalex.org/I4210121272,United States,Anna Needs Neuroblastoma Answers,,,
Bingxuan Wang,6,,https://openalex.org/A5114179761,A5114179761,,Bingxuan Wang,"Bingxuan Wang, Wang, Bingxuan",13,297,23.333333333333332,8,7,2,False,True,False,False,"China, Nepal",True,2,2024,Peking University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I2801534221,Nepal,Agriculture and Forestry University,,,,https://openalex.org/I20231570,China,Peking University,,,,,,,,,,https://openalex.org/I20231570,China,Peking University,,,,,,
Bingzheng Xu,1,,https://openalex.org/A5109505733,A5109505733,,Bingzheng Xu,"Bingzheng Xu, Xu Bing-zheng, Xu Bingzheng, Xu, Bingzheng",6,24,3.5,3,0,3,True,True,False,False,China,True,1,2024,Wenzhou Medical University,China,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I90610280,China,South China University of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I90610280,China,South China University of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210156545,China,Dongyang People's Hospital,,,,,,,https://openalex.org/I4210156545,China,Dongyang People's Hospital,,,,,,,https://openalex.org/I27781120,China,Wenzhou Medical University,,,,,,
Bo Liu,2,,https://openalex.org/A5100727812,A5100727812,https://orcid.org/0000-0001-5426-515X,Bo Liu,"Bo Liu, Liu Bo, Liu, Bo",94,910,9.03225806451613,14,22,15,False,True,True,False,"Australia, China, United States",True,3,2025,Dalian Jiaotong University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I154099455,China,Shandong University,,,,https://openalex.org/I189196454,United States,The University of Texas at Arlington,https://openalex.org/I90610280,China,South China University of Technology,,,,https://openalex.org/I90610280,China,South China University of Technology,,,,https://openalex.org/I87445476,China,Xi'an Jiaotong University,https://openalex.org/I114017466,Australia,University of Technology Sydney,https://openalex.org/I4210110558,China,Xi'an Technological University,,,,https://openalex.org/I55538621,China,China Jiliang University,https://openalex.org/I4210110558,China,Xi'an Technological University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I4210104252,China,Air Force Engineering University,https://openalex.org/I4210167045,China,Shanxi Transportation Research Institute,https://openalex.org/I82497590,United States,Auburn University,,,,https://openalex.org/I4210110558,China,Xi'an Technological University,https://openalex.org/I4210094879,China,Shandong Institute of Automation,https://openalex.org/I86519309,United States,The University of Texas at Austin,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I82880672,China,Beihang University,https://openalex.org/I7350606,China,Dalian Jiaotong University,,,
Bo Zhang,1,,https://openalex.org/A5100335386,A5100335386,https://orcid.org/0000-0003-3215-8745,Bo Zhang,"Bo Zhang, ZHANG BO, Zhang Bo, Zhang, B., Zhang, Bo",87,914,20.0,13,19,15,False,True,True,False,"China, Sweden, United States",True,3,2025,Shanghai Electric (China),China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I126520041,China,University of Science and Technology of China,https://openalex.org/I126520041,China,University of Science and Technology of China,https://openalex.org/I86987016,Sweden,KTH Royal Institute of Technology,https://openalex.org/I86987016,Sweden,KTH Royal Institute of Technology,,,,https://openalex.org/I1174212,United States,University of Southern California,https://openalex.org/I47720641,China,Huazhong University of Science and Technology,https://openalex.org/I4210116219,United States,Engineering Systems (United States),https://openalex.org/I4210116219,United States,Engineering Systems (United States),https://openalex.org/I115592961,China,Jiangsu University,https://openalex.org/I4210116219,United States,Engineering Systems (United States),https://openalex.org/I16285277,United States,William & Mary,,,,,,,https://openalex.org/I158842170,China,Chongqing University,,,,,,,https://openalex.org/I4210097707,China,People’s Hospital of Rizhao,https://openalex.org/I4210118629,China,NARI Group (China),https://openalex.org/I4387154354,China,Innovation Academy for Microsatellites of Chinese Academy of Sciences,https://openalex.org/I4387154354,China,Innovation Academy for Microsatellites of Chinese Academy of Sciences,https://openalex.org/I170215575,China,National University of Defense Technology,https://openalex.org/I45928872,China,Alibaba Group (China),https://openalex.org/I76130692,China,Zhejiang University,https://openalex.org/I4210126065,China,Shanghai Electric (China),,,
