id,author_count,display_name,type,country,city,display_name_acronyms,display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,wikipedia,associated_institutions_children,children_ids,associated_institutions_parent,parent_ids
https://openalex.org/I99065089,48,Tsinghua University,education,China,Beijing,THU,Tsinghua University; 清华大学,361526,31330204,5.615570369180521,1137,447424,http://en.wikipedia.org/wiki/Tsinghua_University,State Key Laboratory on Integrated Optoelectronics; Tsinghua–Berkeley Shenzhen Institute; Collaborative Innovation Center of Quantum Matter; The Synergetic Innovation Center for Advanced Materials; Center for Life Sciences; State Key Laboratory of Precision Testing Technology and Instruments; State Key Laboratory of Water and Sediment Science and Water Conservancy and Hydropower Engineering; State Key Laboratory of Low-Dimensional Quantum Physics; State Key Laboratory of Microwave and Digital Communication Technology; State Key Laboratory of New Ceramics and Fine Processing; State Key Laboratory of Membrane Biology; State Key Laboratory of Automobile Safety and Energy Conservation; State Key Laboratory of Tribology; State Key Laboratory of Power System and Generation Equipment; Beijing Institute of Mathematical Sciences and Applications; International Centre for Engineering Education; Tsinghua Shenzhen International Graduate School,https://openalex.org/I4210091786; https://openalex.org/I4210114105; https://openalex.org/I4210127494; https://openalex.org/I4210159340; https://openalex.org/I4210160507; https://openalex.org/I4391767736; https://openalex.org/I4391767762; https://openalex.org/I4391767819; https://openalex.org/I4391767871; https://openalex.org/I4391767896; https://openalex.org/I4391768054; https://openalex.org/I4391768119; https://openalex.org/I4391768272; https://openalex.org/I4392738191; https://openalex.org/I4403928416; https://openalex.org/I4405255477; https://openalex.org/I4405263052,,
https://openalex.org/I4210165038,31,University of Chinese Academy of Sciences,education,China,Beijing,UCAS,University of Chinese Academy of Sciences; 中国科学院大学,366679,27910041,4.965227776477553,876,499503,http://en.wikipedia.org/wiki/University_of_the_Chinese_Academy_of_Sciences,International Centre for Theoretical Physics Asia-Pacific; Ningbo No. 2 Hospital; Kavli Institute for Theoretical Sciences,https://openalex.org/I4210101410; https://openalex.org/I4210101660; https://openalex.org/I4210105842,Chinese Academy of Sciences,https://openalex.org/I19820366
https://openalex.org/I20231570,28,Peking University,education,China,Beijing,PKU,Imperial University of Peking; Peking University; 北京大学,377307,30044191,4.25730653667824,1082,465904,http://en.wikipedia.org/wiki/Peking_University,Beijing Institute of Big Data Research; HKUST Shenzhen Research Institute; Collaborative Innovation Center of Quantum Matter; Center for Life Sciences; State Key Laboratory of Nuclear Physics and Technology; State Key Laboratory of Turbulence and Complex Systems; State Key Laboratory of Artificial Microstructure and Mesoscopic Physics; State Key Laboratory of Protein and Plant Gene Research; State Key Laboratory of Digital Publishing Technology; State Key Laboratory of Membrane Biology; State Key Laboratory of Rare Earth Materials Chemistry and Application; State Key Laboratory of Visual and Auditory Information Processing; State Key Laboratory of Natural and Biomimetic Drugs; State Key Laboratory of Advanced Optical Communication Systems and Networks; The Affiliated High School of Peking University,https://openalex.org/I4210096250; https://openalex.org/I4210096887; https://openalex.org/I4210127494; https://openalex.org/I4210160507; https://openalex.org/I4391767693; https://openalex.org/I4391767778; https://openalex.org/I4391767804; https://openalex.org/I4391767842; https://openalex.org/I4391767988; https://openalex.org/I4391768054; https://openalex.org/I4391768055; https://openalex.org/I4391768100; https://openalex.org/I4391768132; https://openalex.org/I4392021209; https://openalex.org/I4405263327,,
https://openalex.org/I76130692,28,Zhejiang University,education,China,Hangzhou,ZJU,Chekiang University; Zheda; Zhejiang University; 浙江大学,355286,27514280,4.752465775742865,900,492824,http://en.wikipedia.org/wiki/Zhejiang_University,Huzhou Central Hospital; Collaborative Innovation Center of Advanced Microstructures; Zhejiang University-University of Edinburgh Institute; Zhejiang Taizhou Hospital; The Synergetic Innovation Center for Advanced Materials; State Key Laboratory of Modern Optical Instruments; State Key Laboratory of Clean Energy Utilization; State Key Laboratory Fluid Power and Mechatronic Systems; State Key Laboratory of Silicon Materials; State Key Laboratory of Rice Biology; State Key Laboratory of Industrial Control Technology; State Key Laboratory of Computer Aided Design and Graphics; State Key Laboratory of Diagnosis and Treatment of Infectious Diseases; State Key Laboratory of Plant Physiology and Biochemistry; Zhejiang University Robotics Institute,https://openalex.org/I4210105567; https://openalex.org/I4210140493; https://openalex.org/I4210158570; https://openalex.org/I4210158774; https://openalex.org/I4210159340; https://openalex.org/I4391767668; https://openalex.org/I4391767671; https://openalex.org/I4391767679; https://openalex.org/I4391767789; https://openalex.org/I4391767812; https://openalex.org/I4391767838; https://openalex.org/I4391767862; https://openalex.org/I4391768041; https://openalex.org/I4391768222; https://openalex.org/I4405263196,,
https://openalex.org/I1315649409,26,Institute on Taxation and Economic Policy,nonprofit,United States,Washington D.C.,ITEP,Institute on Taxation and Economic Policy,4004,127206,83.89189189189189,254,1236,https://en.wikipedia.org/wiki/Institute_on_Taxation_and_Economic_Policy,,,,
https://openalex.org/I881766915,23,Nanjing University,education,China,Nanjing,NJU; NU,Nanjing University; Nanking University; 南京大学,179854,15925996,5.077996676496297,803,268405,http://en.wikipedia.org/wiki/Nanjing_University,State Key Laboratory of Pollution Control and Resource Reuse; Collaborative Innovation Center of Advanced Microstructures; Johns Hopkins University – Nanjing University Center for Chinese and American Studies; State Key Laboratory of Metallogenic Mechanism of Endogenous Metal Deposits; National Laboratory of Solid State Microstructures; State Key Laboratory of Pharmaceutical Biotechnology; State Key Laboratory of New Technology of Computer Software; State Key Laboratory of Analytical Chemistry for Life Science; State Key Laboratory of Modern Coordination Chemistry,https://openalex.org/I4210090489; https://openalex.org/I4210140493; https://openalex.org/I4210162165; https://openalex.org/I4391767641; https://openalex.org/I4391768004; https://openalex.org/I4391768045; https://openalex.org/I4391768078; https://openalex.org/I4391768173; https://openalex.org/I4391768193,,
https://openalex.org/I76569877,20,Southeast University,education,China,Nanjing,SEU,Dōngnán Dàxué; Southeast University; 东南大学,152158,8698100,4.5972523290653875,578,173053,http://en.wikipedia.org/wiki/Southeast_University,State Key Laboratory of Digital Medical Engineering; State Key Laboratory of Mobile Communications; State Key Laboratory of Millimeter Waves,https://openalex.org/I4387154005; https://openalex.org/I4391768199; https://openalex.org/I4391768253,,
https://openalex.org/I82880672,18,Beihang University,education,China,Beijing,BUAA,Beihang University; Beijing University of Aeronautics and Astronautics; 北京航空航天大学,144968,7238297,4.419387141998798,534,143980,http://en.wikipedia.org/wiki/Beihang_University,State Key Laboratory of Software Development Environment; State Key Laboratory of Virtual Reality Technology and Systems,https://openalex.org/I4391767781; https://openalex.org/I4392738276,,
https://openalex.org/I47720641,17,Huazhong University of Science and Technology,education,China,Wuhan,HUST,Huazhong University of Science and Technology; Huázhōng Kējì Dàxué; 华中科技大学,255420,22255216,4.548765137152751,873,390798,http://en.wikipedia.org/wiki/Huazhong_University_of_Science_and_Technology,State Key Laboratory of Materials Processing and Die & Mould Technology; State Key Laboratory of Digital Manufacturing Equipment and Technology; State Key Laboratory of Coal Combustion; State Key Laboratory of Plasting Molding Technology; State Key Laboratory of Advanced Electromagnetic Engineering and Technology; State Key Laboratory of Laser Technology; Optics Valley Laboratory,https://openalex.org/I4391767882; https://openalex.org/I4391767905; https://openalex.org/I4391767933; https://openalex.org/I4391767965; https://openalex.org/I4391767976; https://openalex.org/I4391768264; https://openalex.org/I4405259042,,
https://openalex.org/I90610280,14,South China University of Technology,education,China,Guangzhou,SCUT,Huánán Lǐgōng Dàxué; South China University of Technology; 华南理工大学,147294,10604871,5.171207839114826,560,190317,http://en.wikipedia.org/wiki/South_China_University_of_Technology,South China Institute of Collaborative Innovation; State Key Laboratory of Pulp and Paper Engineering; State Key Laboratory of Luminescent Materials and Devices; State Key Laboratory of Subtropical Building Science,https://openalex.org/I4210157323; https://openalex.org/I4391767828; https://openalex.org/I4391767939; https://openalex.org/I4391768177,,
