id,institution_name,country,direct_author_count,total_author_count,direct_works_count,total_works_count,direct_citations,total_citations,num_children,num_ancestors,has_parent,is_parent
https://openalex.org/I19820366,Chinese Academy of Sciences,China,6,117,971474,2194537,107714664,226362650,180,0,False,True
https://openalex.org/I99065089,Tsinghua University,China,48,51,361526,389037,31330204,35586646,17,0,False,True
https://openalex.org/I20231570,Peking University,China,28,32,377307,406760,30044191,33746165,15,0,False,True
https://openalex.org/I4210165038,University of Chinese Academy of Sciences,China,31,31,366679,366679,27910041,27910041,3,1,True,True
https://openalex.org/I76130692,Zhejiang University,China,28,30,355286,365254,27514280,28995304,15,0,False,True
https://openalex.org/I1315649409,Institute on Taxation and Economic Policy,United States,26,26,4004,4004,127206,127206,0,0,False,False
https://openalex.org/I881766915,Nanjing University,China,23,24,179854,199530,15925996,18863904,9,0,False,True
https://openalex.org/I76569877,Southeast University,China,20,22,152158,161621,8698100,9695536,3,0,False,True
https://openalex.org/I82880672,Beihang University,China,18,18,144968,144968,7238297,7238297,2,0,False,True
https://openalex.org/I4210151987,Ministry of Agriculture and Rural Affairs,China,2,18,44564,208040,3559016,17038837,79,1,True,True
https://openalex.org/I47720641,Huazhong University of Science and Technology,China,17,17,255420,255420,22255216,22255216,7,0,False,True
https://openalex.org/I90610280,South China University of Technology,China,14,15,147294,149467,10604871,10788590,4,0,False,True
https://openalex.org/I87445476,Xi'an Jiaotong University,China,14,14,194974,194974,12150647,12150647,5,0,False,True
https://openalex.org/I92039509,Guangzhou Medical University,China,13,13,65565,65565,5230048,5230048,0,0,False,False
https://openalex.org/I9916479,Air Force Medical University,China,12,12,52105,52105,4500078,4500078,1,0,False,True
https://openalex.org/I76214153,Lanzhou University,China,12,12,102449,102449,7076196,7076196,2,0,False,True
https://openalex.org/I183067930,Shanghai Jiao Tong University,China,12,12,352220,352220,26277305,26277305,7,0,False,True
https://openalex.org/I87780372,Chongqing Medical University,China,12,12,70631,70631,4155883,4155883,0,0,False,False
https://openalex.org/I9224756,Northeastern University,China,11,11,91083,91083,4565385,4565385,2,0,False,True
https://openalex.org/I91656880,China Medical University,China,11,11,60545,60545,3913669,3913669,0,0,False,False
https://openalex.org/I9842412,Nanjing University of Aeronautics and Astronautics,China,11,11,91469,91469,3819470,3819470,1,0,False,True
https://openalex.org/I126520041,University of Science and Technology of China,China,10,11,197857,214800,21484744,24890001,7,1,True,True
https://openalex.org/I83519826,Nanjing Medical University,China,11,11,102920,102920,7696915,7696915,1,0,False,True
https://openalex.org/I889458895,University of Hong Kong,Hong Kong,10,10,218423,218423,20793039,20793039,2,0,False,True
https://openalex.org/I37461747,Wuhan University,China,9,10,217075,218122,16114632,16320353,4,0,False,True
https://openalex.org/I98227222,China National Petroleum Corporation (China),China,9,10,22866,45188,403759,1196910,5,0,False,True
https://openalex.org/I204983213,Harbin Institute of Technology,China,9,9,214065,214065,13244036,13244036,3,0,False,True
https://openalex.org/I89652312,Northwest A&F University,China,9,9,61325,61325,5967695,5967695,0,0,False,False
https://openalex.org/I80143920,Shandong University of Science and Technology,China,8,8,49119,49119,1947131,1947131,0,0,False,False
https://openalex.org/I4210164339,Oldham Council,United Kingdom,8,8,147001,147001,164197,164197,0,0,False,False
https://openalex.org/I91935597,University of South China,China,7,7,30168,30168,1221437,1221437,0,0,False,False
https://openalex.org/I97018004,Stanford University,United States,7,7,510388,510388,82239996,82239996,12,0,False,True
https://openalex.org/I200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,China,5,7,186566,190289,17062924,17514726,4,0,False,True
https://openalex.org/I24185976,Sichuan University,China,4,7,252143,276455,18267342,21080296,5,0,False,True
https://openalex.org/I1290206253,Microsoft (United States),United States,1,7,33301,66123,4370739,9531851,25,0,False,True
https://openalex.org/I92403157,University of Science and Technology Beijing,China,7,7,96320,96320,5861665,5861665,2,0,False,True
https://openalex.org/I194450716,Jilin University,China,5,7,176449,186325,13663140,15132943,6,0,False,True
https://openalex.org/I116953780,Tongji University,China,6,7,182521,202197,9825697,12763605,5,0,False,True
https://openalex.org/I52158045,China Agricultural University,China,7,7,93627,93627,8332826,8332826,3,0,False,True
https://openalex.org/I75390827,Beijing University of Chemical Technology,China,7,7,53590,53590,5657772,5657772,1,0,False,True
https://openalex.org/I17145004,Northwestern Polytechnical University,China,6,6,132143,132143,6887340,6887340,1,0,False,True
https://openalex.org/I4800084,Southwest Jiaotong University,China,6,6,79241,79241,3529424,3529424,2,0,False,True
https://openalex.org/I4210137180,Institute of High Energy Physics,China,6,6,27124,27124,9623832,9623832,5,1,True,True
https://openalex.org/I5740404,Tianjin Medical University,China,6,6,48857,48857,2199478,2199478,0,0,False,False
https://openalex.org/I157773358,Sun Yat-sen University,China,6,6,288598,288598,24573458,24573458,6,0,False,True
https://openalex.org/I78978612,Yangzhou University,China,6,6,68169,68169,3612862,3612862,0,0,False,False
https://openalex.org/I4210138501,Chinese Academy of Agricultural Sciences,China,4,6,88703,98271,8107152,9043265,39,2,True,True
https://openalex.org/I43313876,Dalian Maritime University,China,6,6,31809,31809,1087406,1087406,0,0,False,False
https://openalex.org/I84653119,Academia Sinica,Taiwan,5,5,35637,35637,1863446,1863446,32,0,False,True
https://openalex.org/I170215575,National University of Defense Technology,China,5,5,84259,84259,2960252,2960252,3,0,False,True
https://openalex.org/I91125648,Wuhan Institute of Technology,China,5,5,22193,22193,899121,899121,0,0,False,False
https://openalex.org/I9086337,Taiyuan University of Technology,China,5,5,44688,44688,2211058,2211058,0,0,False,False
https://openalex.org/I154099455,Shandong University,China,3,5,191517,200576,13651417,14836643,2,0,False,True
https://openalex.org/I78577930,Columbia University,United States,5,5,376769,376769,44845369,44845369,3,0,False,True
https://openalex.org/I74973139,Carnegie Mellon University,United States,5,5,153813,153813,15914262,15914262,7,0,False,True
https://openalex.org/I919571938,The University of Texas Health Science Center at Houston,United States,5,5,138722,138722,7248467,7248467,0,1,True,False
https://openalex.org/I153473198,North China Electric Power University,China,5,5,84842,84842,3107001,3107001,2,0,False,True
https://openalex.org/I84218800,"University of California, Davis",United States,5,5,290204,290204,27896269,27896269,2,1,True,True
https://openalex.org/I191208505,Xiamen University,China,5,5,113517,113517,8895441,8895441,3,0,False,True
https://openalex.org/I59028903,Ocean University of China,China,5,5,69571,69571,3994626,3994626,0,0,False,False
https://openalex.org/I46529539,Chinese Academy of Fishery Sciences,China,5,5,20465,20465,1106004,1106004,5,2,True,True
https://openalex.org/I158842170,Chongqing University,China,5,5,134120,134120,7630128,7630128,3,0,False,True
https://openalex.org/I1327163397,State University of New York,United States,1,4,83555,344900,7603188,31002477,68,0,False,True
https://openalex.org/I204823248,Huazhong Agricultural University,China,3,4,58923,59318,6132500,6188231,2,0,False,True
https://openalex.org/I37796252,Beijing University of Technology,China,3,4,76495,81413,3511142,3674991,1,0,False,True
https://openalex.org/I50760025,Hangzhou Dianzi University,China,4,4,35381,35381,1138198,1138198,0,0,False,False
https://openalex.org/I139759216,Beijing University of Posts and Telecommunications,China,2,4,76796,79693,2668240,2741804,2,0,False,True
https://openalex.org/I4210159876,Institute of Physics,China,2,4,35343,39969,4784408,5505014,3,1,True,True
https://openalex.org/I96908189,Xinjiang University,China,4,4,34039,34039,1122518,1122518,0,0,False,False
https://openalex.org/I2801769982,First Affiliated Hospital of Wenzhou Medical University,China,4,4,18428,18428,1078520,1078520,0,0,False,False
https://openalex.org/I80947539,Fuzhou University,China,4,4,60942,60942,4430473,4430473,0,0,False,False
https://openalex.org/I25757504,China University of Mining and Technology,China,4,4,87338,87338,4196523,4196523,2,0,False,True
https://openalex.org/I44675526,Shanghai Ocean University,China,4,4,29452,29452,1052284,1052284,0,0,False,False
https://openalex.org/I1327237609,Ministry of Education of the People's Republic of China,China,1,4,64114,105751,5128445,7283561,8,1,True,True
https://openalex.org/I4210116869,Affiliated Hospital of Qingdao University,China,4,4,23670,23670,1028684,1028684,0,0,False,False
https://openalex.org/I82497590,Auburn University,United States,4,4,78743,78743,3738251,3738251,0,1,True,False
https://openalex.org/I75867142,Xiamen University of Technology,China,4,4,18804,18804,632523,632523,0,0,False,False
https://openalex.org/I21193070,Beijing Jiaotong University,China,4,4,77670,77670,2626197,2626197,1,0,False,True
https://openalex.org/I74525822,Hubei University of Technology,China,4,4,20149,20149,679030,679030,0,0,False,False
https://openalex.org/I53411278,Chengdu University of Traditional Chinese Medicine,China,4,4,20413,20413,1010381,1010381,0,0,False,False
