Author Position,Author ID,Author Name,ORCID,Is Corresponding,Raw Author Name,Affiliations
first,https://openalex.org/A5093670579,DeepSeek-AI,,False,DeepSeek-AI,
middle,https://openalex.org/A9999999999,NULL AUTHOR_ID,,False,:,
middle,https://openalex.org/A5101289775,Xiao Guo Bi,,False,"Bi, Xiao",
middle,https://openalex.org/A5028794611,Deli Chen,https://orcid.org/0000-0001-6767-1376,False,"Chen, Deli",
middle,https://openalex.org/A5101983121,Guanting Chen,https://orcid.org/0000-0003-1354-5192,False,"Chen, Guanting",
middle,https://openalex.org/A5046105992,Shanhuang Chen,,False,"Chen, Shanhuang",
middle,https://openalex.org/A5020456783,Damai Dai,,False,"Dai, Damai",
middle,https://openalex.org/A5084839131,Chengqi Deng,,False,"Deng, Chengqi",
middle,https://openalex.org/A5113640093,Honghui Ding,,False,"Ding, Honghui",
middle,https://openalex.org/A5102020713,Kai Dong,https://orcid.org/0000-0002-3156-9035,False,"Dong, Kai",
middle,https://openalex.org/A5100915390,Qiushi Du,,False,"Du, Qiushi",
middle,https://openalex.org/A5103128811,Zhe Fu,https://orcid.org/0000-0003-4214-9957,False,"Fu, Zhe",
middle,https://openalex.org/A5102602497,Huazuo Gao,,False,"Gao, Huazuo",
middle,https://openalex.org/A5002755981,Kaige Gao,https://orcid.org/0000-0002-7634-3400,False,"Gao, Kaige",
middle,https://openalex.org/A5076999126,Wenjun Gao,https://orcid.org/0000-0003-3723-9763,False,"Gao, Wenjun",
middle,https://openalex.org/A5029083198,Ruiqi Ge,https://orcid.org/0000-0002-8529-3070,False,"Ge, Ruiqi",
middle,https://openalex.org/A5017301651,Kang Guan,https://orcid.org/0000-0001-5619-6290,False,"Guan, Kang",
middle,https://openalex.org/A5060364305,Daya Guo,,False,"Guo, Daya",
middle,https://openalex.org/A5111161539,Jianzhong Guo,,False,"Guo, Jianzhong",
middle,https://openalex.org/A5064813063,Guangbo Hao,https://orcid.org/0000-0002-5930-5453,False,"Hao, Guangbo",
middle,https://openalex.org/A5039093405,Zhewen Hao,https://orcid.org/0000-0002-1223-4977,False,"Hao, Zhewen",
middle,https://openalex.org/A5100389169,Ying He,https://orcid.org/0000-0002-6749-4485,False,"He, Ying",
middle,https://openalex.org/A5101521918,Wenjie Hu,https://orcid.org/0000-0002-8772-2705,False,"Hu, Wenjie",
middle,https://openalex.org/A5053679681,Panpan Huang,,False,"Huang, Panpan",
middle,https://openalex.org/A5113091614,E. Li,,False,"Li, Erhang",
middle,https://openalex.org/A5001383067,Guowei Li,https://orcid.org/0009-0009-7875-5853,False,"Li, Guowei",
middle,https://openalex.org/A5014851555,Jiashi Li,,False,"Li, Jiashi",
middle,https://openalex.org/A5110237033,Yao Li,,False,"Li, Yao",
middle,https://openalex.org/A5079729956,Y. K. Li,https://orcid.org/0000-0002-0721-6846,False,"Li, Y. K.",
middle,https://openalex.org/A5009435651,Wenfeng Liang,https://orcid.org/0000-0002-6605-2511,False,"Liang, Wenfeng",
middle,https://openalex.org/A5109672590,Fangyun Lin,,False,"Lin, Fangyun",
middle,https://openalex.org/A5062061862,A. X. Liu,https://orcid.org/0009-0009-0989-2897,False,"Liu, A. X.",
middle,https://openalex.org/A5100727812,Bo Liu,https://orcid.org/0000-0001-5426-515X,False,"Liu, Bo",
middle,https://openalex.org/A5100320278,Wen Liu,https://orcid.org/0000-0002-3867-1825,False,"Liu, Wen",
middle,https://openalex.org/A5100374771,Xiaodong Liu,https://orcid.org/0000-0001-8652-9818,False,"Liu, Xiaodong",
middle,https://openalex.org/A5115601909,Xin Liu,https://orcid.org/0009-0004-9165-7418,False,"Liu, Xin",
middle,https://openalex.org/A5101704539,Yiyuan Liu,https://orcid.org/0000-0002-7022-6422,False,"Liu, Yiyuan",
middle,https://openalex.org/A5110986785,Haoyu Lu,,False,"Lu, Haoyu",
middle,https://openalex.org/A5101289776,Shanghao Lu,,False,"Lu, Shanghao",
middle,https://openalex.org/A5019525050,Fuli Luo,https://orcid.org/0000-0002-5403-6434,False,"Luo, Fuli",
middle,https://openalex.org/A5057030499,Shirong Ma,https://orcid.org/0000-0002-0035-9078,False,"Ma, Shirong",
middle,https://openalex.org/A5113091615,Xiaotao Nie,,False,"Nie, Xiaotao",
middle,https://openalex.org/A5101862808,Pei Tian,https://orcid.org/0000-0002-8200-7905,False,"Pei, Tian",
middle,https://openalex.org/A5101289777,Yishi Piao,,False,"Piao, Yishi",
middle,https://openalex.org/A5052869661,Junjie Qiu,https://orcid.org/0000-0001-7060-9960,False,"Qiu, Junjie",
middle,https://openalex.org/A5067552573,Hui Qu,https://orcid.org/0000-0002-4260-3809,False,"Qu, Hui",
middle,https://openalex.org/A5055015446,Tongzheng Ren,,False,"Ren, Tongzheng",
middle,https://openalex.org/A5112250476,Zehui Ren,,False,"Ren, Zehui",
middle,https://openalex.org/A5019374810,Chong Ruan,,False,"Ruan, Chong",
middle,https://openalex.org/A5020140830,Zhangli Sha,,False,"Sha, Zhangli",
middle,https://openalex.org/A5103100933,Zhihong Shao,https://orcid.org/0000-0001-7290-5958,False,"Shao, Zhihong",
middle,https://openalex.org/A5008686458,Junxiao Song,https://orcid.org/0000-0002-3236-1535,False,"Song, Junxiao",
middle,https://openalex.org/A5111734260,X.-J Su,,False,"Su, Xuecheng",
middle,https://openalex.org/A5040066835,Jingxiang Sun,,False,"Sun, Jingxiang",
middle,https://openalex.org/A5102212666,Yaofeng Sun,,False,"Sun, Yaofeng",
middle,https://openalex.org/A5101876129,Minghui Tang,https://orcid.org/0000-0003-2421-8314,False,"Tang, Minghui",
middle,https://openalex.org/A5114179761,Bingxuan Wang,,False,"Wang, Bingxuan",
middle,https://openalex.org/A5058808692,Peiyi Wang,https://orcid.org/0000-0002-9904-0664,False,"Wang, Peiyi",
middle,https://openalex.org/A5100437635,Shiyu Wang,https://orcid.org/0000-0003-1904-6781,False,"Wang, Shiyu",
middle,https://openalex.org/A5100672230,Yaohui Wang,https://orcid.org/0000-0003-0165-6573,False,"Wang, Yaohui",
middle,https://openalex.org/A5110372162,Yongji Wang,https://orcid.org/0000-0001-7472-7489,False,"Wang, Yongji",
middle,https://openalex.org/A5101994749,Tong Wu,https://orcid.org/0000-0001-8599-6078,False,"Wu, Tong",
middle,https://openalex.org/A5030863998,Yicheng Wu,https://orcid.org/0000-0002-7669-9167,False,"Wu, Y.",
middle,https://openalex.org/A5101584148,Xin Xie,https://orcid.org/0000-0002-7132-5609,False,"Xie, Xin",
middle,https://openalex.org/A5007043113,Zhenda Xie,https://orcid.org/0000-0003-2060-3063,False,"Xie, Zhenda",
middle,https://openalex.org/A5101644040,Ziwei Xie,https://orcid.org/0000-0002-1436-795X,False,"Xie, Ziwei",
middle,https://openalex.org/A5028899653,Yiliang Xiong,,False,"Xiong, Yiliang",
middle,https://openalex.org/A5100966558,Hanwei Xu,,False,"Xu, Hanwei",
