Author,OA_ID,unique_affiliation_count,affiliation-2025,ID-2025,affiliation-2024,ID-2024,affiliation-2023,ID-2023,affiliation-2022,ID-2022,affiliation-2021,ID-2021,affiliation-2020,ID-2020,affiliation-2019,ID-2019,affiliation-2018,ID-2018,affiliation-2017,ID-2017,affiliation-2016,ID-2016,affiliation-2015,ID-2015,affiliation-2014,ID-2014,affiliation-2013,ID-2013,affiliation-2012,ID-2012,affiliation-2011,ID-2011,affiliation-2010,ID-2010,affiliation-2009,ID-2009,affiliation-2008,ID-2008,affiliation-2007,ID-2007,affiliation-2006,ID-2006,affiliation-2005,ID-2005,affiliation-2004,ID-2004,affiliation-2003,ID-2003,affiliation-2002,ID-2002,affiliation-2001,ID-2001,affiliation-2000,ID-2000,affiliation-1999,ID-1999,affiliation-1998,ID-1998,affiliation-1997,ID-1997,affiliation-1996,ID-1996,affiliation-1995,ID-1995,affiliation-1994,ID-1994,affiliation-1992,ID-1992,affiliation-1990,ID-1990,affiliation-1987,ID-1987
Alexander Sasha Vezhnevets,A5030684417,3,Google (United Kingdom),https://openalex.org/I4210113297,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,,,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Araujo,A5101666068,5,DeepMind (United Kingdom),https://openalex.org/I4210090411,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,,,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,,,Pohang University of Science and Technology,https://openalex.org/I123900574,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,,,Stanford University,https://openalex.org/I97018004,Hospital de Clínicas da Unicamp,https://openalex.org/I4210148978,,,Hospital de Clínicas da Unicamp,https://openalex.org/I4210148978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arjun Karpur,A5086235030,2,,,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,,,Google (United States),https://openalex.org/I1291425158,,,,,The University of Texas at Austin,https://openalex.org/I86519309,The University of Texas at Austin,https://openalex.org/I86519309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Szlam,A5053145694,7,,,,,,,ETH Zurich,https://openalex.org/I35440088,City College of New York,https://openalex.org/I125687163,City College of New York,https://openalex.org/I125687163,Harvard University Press,https://openalex.org/I2801851002,Meta (Israel),https://openalex.org/I2252078561,Menlo School,https://openalex.org/I4210099336,City College of New York,https://openalex.org/I125687163,Meta (Israel),https://openalex.org/I2252078561,DeepMind (United Kingdom),https://openalex.org/I4210090411,City University of New York,https://openalex.org/I174216632,City University of New York,https://openalex.org/I174216632,City College of New York,https://openalex.org/I125687163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Been Kim,A5054693573,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bingyi Cao,A5108773038,2,,,Google (United States),https://openalex.org/I1291425158,Freie Universität Berlin,https://openalex.org/I75951250,,,Freie Universität Berlin,https://openalex.org/I75951250,Freie Universität Berlin,https://openalex.org/I75951250,,,,,,,Freie Universität Berlin,https://openalex.org/I75951250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Biddulph,A5116014385,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dale Schuurmans,A5115944506,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Gnanapragasam,A5029175132,1,,,,,,,Google (United States),https://openalex.org/I1291425158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Salz,A5065353057,1,,,Google (United States),https://openalex.org/I1291425158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dara Bahri,A5036477705,3,,,,,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Centre Universitaire de Mila,https://openalex.org/I4210155582,Google (United States),https://openalex.org/I1291425158,,,Google (United States),https://openalex.org/I1291425158,,,,,,,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Marwood,A5073005062,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Elson,A5116014384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Lindner,A5059597480,2,,,,,ETH Zurich,https://openalex.org/I35440088,,,ETH Zurich,https://openalex.org/I35440088,,,University of Cologne,https://openalex.org/I180923762,University of Cologne,https://openalex.org/I180923762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgar A. Duéñez‐Guzmán,A5061221525,6,Google (United Kingdom),https://openalex.org/I4210113297,,,Google (United Kingdom),https://openalex.org/I4210113297,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,,,,,KU Leuven,https://openalex.org/I99464096,KU Leuven,https://openalex.org/I99464096,KU Leuven,https://openalex.org/I99464096,Harvard University,https://openalex.org/I136199984,Harvard University Press,https://openalex.org/I2801851002,Harvard University,https://openalex.org/I136199984,University of Tennessee at Knoxville,https://openalex.org/I75027704,University of Tennessee at Knoxville,https://openalex.org/I75027704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgios Piliouras,A5079969658,9,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United Kingdom),https://openalex.org/I4210113297,National University of Singapore,https://openalex.org/I165932596,Singapore University of Technology and Design,https://openalex.org/I152815399,Indiana University – Purdue University Indianapolis,https://openalex.org/I55769427,Singapore University of Technology and Design,https://openalex.org/I152815399,Singapore University of Technology and Design,https://openalex.org/I152815399,Singapore University of Technology and Design,https://openalex.org/I152815399,"University of California, Berkeley",https://openalex.org/I95457486,California Institute of Technology,https://openalex.org/I122411786,Georgia Institute of Technology,https://openalex.org/I130701444,Georgia Institute of Technology,https://openalex.org/I130701444,Georgia Institute of Technology,https://openalex.org/I130701444,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxing Han,A5063732687,3,,,,,Tsinghua University,https://openalex.org/I99065089,Columbia University,https://openalex.org/I78577930,Columbia University,https://openalex.org/I78577930,,,North China University of Technology,https://openalex.org/I1456306,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard Zhou,A5056352820,3,,,Google (United States),https://openalex.org/I1291425158,,,,,Google (United States),https://openalex.org/I1291425158,,,,,,,,,University of British Columbia,https://openalex.org/I141945490,Google (United States),https://openalex.org/I1291425158,,,,,,,,,Georgia Institute of Technology,https://openalex.org/I130701444,Georgia Institute of Technology,https://openalex.org/I130701444,Georgia Institute of Technology,https://openalex.org/I130701444,Georgia Institute of Technology,https://openalex.org/I130701444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Fischer,A5051461147,4,,,,,,,,,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,,,,,,,"University of California, Berkeley",https://openalex.org/I95457486,,,,,,,,,,,Harvard University Press,https://openalex.org/I2801851002,,,,,,,,,,,New Jersey Institute of Technology,https://openalex.org/I118118575,,,,,,,,,,,New Jersey Institute of Technology,https://openalex.org/I118118575,,,,,,
Ian Goodfellow,A5004271128,4,,,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,,,,,Apple (Germany),https://openalex.org/I4210141230,NTT (Japan),https://openalex.org/I2251713219,Microsoft (Canada),https://openalex.org/I4210153468,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim Alabdulmohsin,A5029133361,5,,,Google (United States),https://openalex.org/I1291425158,Brain (Germany),https://openalex.org/I4210113520,,,Google (United States),https://openalex.org/I1291425158,Google (Switzerland),https://openalex.org/I4210100430,Saudi Aramco (Saudi Arabia),https://openalex.org/I4210143841,King Abdullah University of Science and Technology,https://openalex.org/I71920554,King Abdullah University of Science and Technology,https://openalex.org/I71920554,King Abdullah University of Science and Technology,https://openalex.org/I71920554,King Abdullah University of Science and Technology,https://openalex.org/I71920554,King Abdullah University of Science and Technology,https://openalex.org/I71920554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iyad Rahwan,A5009232244,6,Max Planck Institute for Human Development,https://openalex.org/I4210120221,Max Planck Society,https://openalex.org/I149899117,Max Planck Society,https://openalex.org/I149899117,University of Exeter,https://openalex.org/I23923803,Human Media,https://openalex.org/I4210142372,Southern Methodist University,https://openalex.org/I178169726,Massachusetts Institute of Technology,https://openalex.org/I63966007,Human Media,https://openalex.org/I4210142372,Massachusetts Institute of Technology,https://openalex.org/I63966007,Human Media,https://openalex.org/I4210142372,Massachusetts Institute of Technology,https://openalex.org/I63966007,,,,,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Dlabal,A5032570936,1,,,Google (United States),https://openalex.org/I1291425158,,,,,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jed R. Brubaker,A5084740625,7,University of Colorado Boulder,https://openalex.org/I188538660,University of Colorado System,https://openalex.org/I2802236040,University of Colorado Boulder,https://openalex.org/I188538660,University of Colorado Boulder,https://openalex.org/I188538660,"University of California, Irvine",https://openalex.org/I204250578,University of Colorado System,https://openalex.org/I2802236040,University of Colorado System,https://openalex.org/I2802236040,University of Colorado System,https://openalex.org/I2802236040,University of Colorado Boulder,https://openalex.org/I188538660,Meta (United States),https://openalex.org/I4210114444,"University of California, Irvine",https://openalex.org/I204250578,"University of California, Irvine",https://openalex.org/I204250578,Drug Enforcement Administration,https://openalex.org/I1323015784,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,"University of California, Irvine",https://openalex.org/I204250578,,,,,,,University of Utah,https://openalex.org/I223532165,,,,,University of Utah,https://openalex.org/I223532165,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiaxing Wu,A5101996381,5,,,Chongqing University of Posts and Telecommunications,https://openalex.org/I10535382,,,Southwest University,https://openalex.org/I142108993,Donghua University,https://openalex.org/I181326427,Donghua University,https://openalex.org/I181326427,Chongqing University of Posts and Telecommunications,https://openalex.org/I10535382,Chongqing University of Posts and Telecommunications,https://openalex.org/I10535382,,,,,,,,,Nanjing University of Posts and Telecommunications,https://openalex.org/I41198531,,,,,,,,,,,Wuhan University,https://openalex.org/I37461747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Z. Leibo,A5054808675,6,Google (United States),https://openalex.org/I1291425158,King's College London,https://openalex.org/I183935753,Google (United States),https://openalex.org/I1291425158,Google (United Kingdom),https://openalex.org/I4210113297,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,Google (United States),https://openalex.org/I1291425158,McGovern Institute for Brain Research,https://openalex.org/I144112489,McGovern Institute for Brain Research,https://openalex.org/I144112489,McGovern Institute for Brain Research,https://openalex.org/I144112489,Institute of Cognitive and Brain Sciences,https://openalex.org/I4210104429,McGovern Institute for Brain Research,https://openalex.org/I144112489,Massachusetts Institute of Technology,https://openalex.org/I63966007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Agapiou,A5017056095,7,,,General Motors (United States),https://openalex.org/I118136607,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,Google (United States),https://openalex.org/I1291425158,General Motors (United States),https://openalex.org/I118136607,Ford Motor Company (United States),https://openalex.org/I1292974536,,,,,General Motors (United States),https://openalex.org/I118136607,General Motors (United States),https://openalex.org/I118136607,,,General Motors (United States),https://openalex.org/I118136607,Rockefeller University,https://openalex.org/I83399316,University College London,https://openalex.org/I45129253,,,,,General Motors (Poland),https://openalex.org/I4210135317,,,,,,,,,General Motors (Poland),https://openalex.org/I4210135317,,,,,,,,,,,,,,,,,,
Joseph J. Pfeiffer,A5110629518,6,Zittau/Görlitz University of Applied Sciences,https://openalex.org/I4210148079,,,,,,,Bellevue Hospital Center,https://openalex.org/I4210108985,,,,,Bellevue Hospital Center,https://openalex.org/I4210108985,Microsoft (United States),https://openalex.org/I1290206253,,,Purdue University West Lafayette,https://openalex.org/I219193219,Purdue University West Lafayette,https://openalex.org/I219193219,,,Purdue University West Lafayette,https://openalex.org/I219193219,Purdue University West Lafayette,https://openalex.org/I219193219,Purdue University West Lafayette,https://openalex.org/I219193219,Purdue University West Lafayette,https://openalex.org/I219193219,,,New Mexico State University,https://openalex.org/I10052268,,,,,New Mexico State University,https://openalex.org/I10052268,,,Motorola (United States),https://openalex.org/I1333370159,,,,,New Mexico State University,https://openalex.org/I10052268,,,,,,,,,,,,,New Mexico State University,https://openalex.org/I10052268,New Mexico State University,https://openalex.org/I10052268
Julia Haas,A5053872110,1,,,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun Xie,A5101852403,8,Beijing Normal University,https://openalex.org/I25254941,Beijing Normal University,https://openalex.org/I25254941,Naval University of Engineering,https://openalex.org/I2800710378,Naval University of Engineering,https://openalex.org/I2800710378,,,,,,,Wuhan University of Technology,https://openalex.org/I196699116,Qingdao University of Science and Technology,https://openalex.org/I143413998,,,Ministry of Transport,https://openalex.org/I4210127216,,,United States Naval Academy,https://openalex.org/I189158971,Wuhan National Laboratory for Optoelectronics,https://openalex.org/I4210138186,,,,,,,,,Huazhong University of Science and Technology,https://openalex.org/I47720641,,,Huazhong University of Science and Technology,https://openalex.org/I47720641,Huazhong University of Science and Technology,https://openalex.org/I47720641,,,,,,,,,,,,,,,,,,,,,,,,,,
K.-Y. Chen,A5022123903,2,,,,,,,,,,,,,,,,,,,,,Chung Yuan Christian University,https://openalex.org/I151221077,,,,,,,National Cheng Kung University,https://openalex.org/I91807558,,,,,,,,,,,,,,,National Cheng Kung University,https://openalex.org/I91807558,,,,,,,,,,,,,,,,,,,,,,,,
Kaifeng Chen,A5114546921,3,Chinese Academy of Sciences,https://openalex.org/I19820366,Zhejiang Hisun Pharmaceutical (China),https://openalex.org/I4210127820,South China Agricultural University,https://openalex.org/I101479585,South China Agricultural University,https://openalex.org/I101479585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kartikeya Badola,A5043460350,1,,,,,,,Indian Institute of Technology Delhi,https://openalex.org/I68891433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keran Rong,A5026743424,1,,,Google (United States),https://openalex.org/I1291425158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevis-Kokitsi Maninis,A5038897190,4,DeepMind (United Kingdom),https://openalex.org/I4210090411,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Board of the Swiss Federal Institutes of Technology,https://openalex.org/I2799323385,,,,,Board of the Swiss Federal Institutes of Technology,https://openalex.org/I2799323385,ETH Zurich,https://openalex.org/I35440088,ETH Zurich,https://openalex.org/I35440088,ETH Zurich,https://openalex.org/I35440088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuang-Huei Lee,A5030702181,1,,,,,Google (United States),https://openalex.org/I1291425158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
