Author ID,Author Name,Work ID,Title,DOI,Year,Publication Date,Type,Language,Citations,Topics,Co-Authors
https://openalex.org/A5030684417,Alexander Sasha Vezhnevets,https://openalex.org/W2982316857,Grandmaster level in StarCraft II using multi-agent reinforcement learning,https://doi.org/10.1038/s41586-019-1724-z,2019,2019-10-30,article,en,2954,"Artificial Intelligence in Games, Digital Games and Media, Gambling Behavior and Treatments","Oriol Vinyals, I. Babuschkin, Wojciech Marian Czarnecki, Michaël Mathieu, Andrew Dudzik, Jun‐Young Chung, David Choi, Richard D. Powell, Timo Ewalds, Petko Georgiev, Junhyuk Oh, Dan Horgan, Matthias Kroiß, Ivo Danihelka, Aja Huang, Laurent Sifre, Trevor Cai, John Agapiou, Max Jaderberg, Rémi Leblond, Tobias Pohlen, Valentin Dalibard, David Budden, Yury Sulsky, James Molloy, Tom Le Paine, Çağlar Gülçehre, Ziyu Wang, Tobias Pfaff, Yuhuai Wu, Roman Ring, Dani Yogatama, Dario Wünsch, Katrina McKinney, Oliver Smith, Tom Schaul, Timothy Lillicrap, Koray Kavukcuoglu, Demis Hassabis, Chris Apps, David Silver"
https://openalex.org/A5030684417,Alexander Sasha Vezhnevets,https://openalex.org/W2749807327,StarCraft II: A New Challenge for Reinforcement Learning,https://doi.org/10.48550/arxiv.1708.04782,2017,2017-01-01,preprint,en,693,"Digital Games and Media, Reinforcement Learning in Robotics, Artificial Intelligence in Games","Oriol Vinyals, Timo Ewalds, Sergey Bartunov, Petko Georgiev, Michelle Yeo, Alireza Makhzani, Heinrich Küttler, John Agapiou, Julian Schrittwieser, John Quan, Stephen G. Gaffney, Stig Petersen, Karen Simonyan, Tom Schaul, Hado van Hasselt, David Silver, Timothy Lillicrap, Kevin Calderone, Paul Keet, Anthony Brunasso, David Lawrence, Anders Ekermo, Jacob Repp, Rodney Tsing"
https://openalex.org/A5030684417,Alexander Sasha Vezhnevets,https://openalex.org/W2949267040,FeUdal Networks for Hierarchical Reinforcement Learning,https://doi.org/10.48550/arxiv.1703.01161,2017,2017-01-01,preprint,en,412,"Reinforcement Learning in Robotics, Adaptive Dynamic Programming Control, Evolutionary Algorithms and Applications","Simon Osindero, Tom Schaul, Nicolas Heess, Max Jaderberg, David Silver, Koray Kavukcuoglu"
https://openalex.org/A5030684417,Alexander Sasha Vezhnevets,https://openalex.org/W2594829461,FeUdal Networks for Hierarchical Reinforcement Learning,,2017,2017-03-03,article,en,153,Reinforcement Learning in Robotics,"Simon Osindero, Tom Schaul, Nicolas Heess, Max Jaderberg, David Silver, Koray Kavukcuoglu"
https://openalex.org/A5030684417,Alexander Sasha Vezhnevets,https://openalex.org/W3170791277,A learning agent that acquires social norms from public sanctions in decentralized multi-agent settings,https://doi.org/10.1177/26339137231162025,2023,2023-04-01,article,en,13,"Evolutionary Game Theory and Cooperation, Opinion Dynamics and Social Influence, Experimental Behavioral Economics Studies","Eugene Vinitsky, Raphaël Koster, John Agapiou, Edgar A. Duéñez‐Guzmán, Joel Z. Leibo"
https://openalex.org/A5030684417,Alexander Sasha Vezhnevets,https://openalex.org/W2963830168,Strategic Attentive Writer for Learning Macro-Actions,,2016,2016-01-01,article,en,30,"Reinforcement Learning in Robotics, Artificial Intelligence in Games, Topic Modeling","Volodymyr Mnih, Simon Osindero, Alex Graves, Oriol Vinyals, John Agapiou, Koray Kavukcuoglu"
https://openalex.org/A5030684417,Alexander Sasha Vezhnevets,https://openalex.org/W4411336089,Perceptual interventions ameliorate statistical discrimination in learning agents,https://doi.org/10.1073/pnas.2319933121,2025,2025-06-16,article,en,0,"Evolutionary Psychology and Human Behavior, Evolutionary Game Theory and Cooperation, Animal Behavior and Reproduction","Edgar A. Duéñez‐Guzmán, Ramona Comanescu, Yiran Mao, Kevin R. McKee, Ben Coppin, Suzanne Sadedin, Silvia Chiappa, Michiel A. Bakker, Yoram Bachrach, William Isaac, Karl Tuyls, Joel Z. Leibo"
https://openalex.org/A5030684417,Alexander Sasha Vezhnevets,https://openalex.org/W3172330035,Scalable Evaluation of Multi-Agent Reinforcement Learning with Melting Pot,https://doi.org/10.48550/arxiv.2107.06857,2021,2021-01-01,preprint,en,11,Reinforcement Learning in Robotics,"Joel Z. Leibo, Edgar A. Duéñez‐Guzmán, John Agapiou, Peter Sunehag, Raphaël Koster, Jayd Matyas, Charles Beattie, Igor Mordatch, Thore Graepel"
https://openalex.org/A5030684417,Alexander Sasha Vezhnevets,https://openalex.org/W2948099544,Options as responses: Grounding behavioural hierarchies in multi-agent RL,https://doi.org/10.48550/arxiv.1906.01470,2019,2019-01-01,preprint,en,12,"Reinforcement Learning in Robotics, Experimental Behavioral Economics Studies, Artificial Intelligence in Games","Yuhuai Wu, Rémi Leblond, Joel Z. Leibo"
https://openalex.org/A5030684417,Alexander Sasha Vezhnevets,https://openalex.org/W3034833014,OPtions as REsponses: Grounding behavioural hierarchies in multi-agent reinforcement learning,,2020,2020-07-12,article,en,8,"Reinforcement Learning in Robotics, Evolutionary Algorithms and Applications, Experimental Behavioral Economics Studies","Yuhuai Wu, Maria K. Eckstein, Rémi Leblond, Joel Z. Leibo"
https://openalex.org/A5030684417,Alexander Sasha Vezhnevets,https://openalex.org/W4389471395,"Generative agent-based modeling with actions grounded in physical, social, or digital space using Concordia",https://doi.org/10.48550/arxiv.2312.03664,2023,2023-01-01,preprint,en,3,"FinTech, Crowdfunding, Digital Finance","John Agapiou, Avia Aharon, Ron Ziv, Jayd Matyas, Edgar A. Duéñez‐Guzmán, William A. Cunningham, Simon Osindero, Danny Karmon, Joel Z. Leibo"
https://openalex.org/A5030684417,Alexander Sasha Vezhnevets,https://openalex.org/W4310280911,Melting Pot 2.0,https://doi.org/10.48550/arxiv.2211.13746,2022,2022-01-01,preprint,en,3,"Complex Systems and Time Series Analysis, Evolutionary Game Theory and Cooperation","John Agapiou, Edgar A. Duéñez‐Guzmán, Jayd Matyas, Yiran Mao, Peter Sunehag, Raphaël Koster, Udari Madhushani, Kavya Kopparapu, Ramona Comanescu, DJ Strouse, Michael B. Johanson, Sukhdeep Singh, Julia Haas, Igor Mordatch, Dean Mobbs, Joel Z. Leibo"
https://openalex.org/A5030684417,Alexander Sasha Vezhnevets,https://openalex.org/W4287117786,A learning agent that acquires social norms from public sanctions in decentralized multi-agent settings,https://doi.org/10.48550/arxiv.2106.09012,2021,2021-01-01,preprint,en,3,"Evolutionary Game Theory and Cooperation, Opinion Dynamics and Social Influence, Crime, Illicit Activities, and Governance","Eugene Vinitsky, Raphaël Koster, John Agapiou, Edgar A. Duéñez‐Guzmán, Joel Z. Leibo"
https://openalex.org/A5030684417,Alexander Sasha Vezhnevets,https://openalex.org/W4308771482,What is the simplest model that can account for high-fidelity imitation?,https://doi.org/10.1017/s0140525x22001364,2022,2022-01-01,article,en,2,"Action Observation and Synchronization, Reinforcement Learning in Robotics, Neural dynamics and brain function","Joel Z. Leibo, Raphaël Koster, Edgar A. Duéñez‐Guzmán, John Agapiou, Peter Sunehag"
https://openalex.org/A5030684417,Alexander Sasha Vezhnevets,https://openalex.org/W4405901318,"A theory of appropriateness with applications to generative artificial
  intelligence",https://doi.org/10.48550/arxiv.2412.19010,2024,2024-12-25,preprint,en,0,Complex Systems and Decision Making,"Joel Z. Leibo, Manfred Diaz, John Agapiou, William A. Cunningham, Peter Sunehag, Julia Haas, Raphaël Koster, Edgar A. Duéñez‐Guzmán, William Isaac, Georgios Piliouras, Stanley Bileschi, Iyad Rahwan, Simon Osindero"
https://openalex.org/A5030684417,Alexander Sasha Vezhnevets,https://openalex.org/W4221150604,Hidden Agenda: a Social Deduction Game with Diverse Learned Equilibria,https://doi.org/10.48550/arxiv.2201.01816,2022,2022-01-01,preprint,en,1,"Reinforcement Learning in Robotics, Multi-Agent Systems and Negotiation, Auction Theory and Applications","Kavya Kopparapu, Edgar A. Duéñez‐Guzmán, Jayd Matyas, John Agapiou, Kevin R. McKee, Richard Everett, Janusz Marecki, Joel Z. Leibo, Thore Graepel"
