Author,No. Papers,Notes,OA_Profile,OA_ID,Papers
Alexander Sasha Vezhnevets,1,,https://openalex.org/A5030684417,A5030684417,6
André Araujo,1,,https://openalex.org/A5101666068,A5101666068,2
Arjun Karpur,1,,https://openalex.org/A5086235030,A5086235030,2
Arthur Szlam,1,,https://openalex.org/A5053145694,A5053145694,5
Been Kim,1,,https://openalex.org/A5054693573,A5054693573,4
Bingyi Cao,1,,https://openalex.org/A5108773038,A5108773038,2
Caleb Biddulph,1,,https://openalex.org/A5116014385,A5116014385,8
Dale Schuurmans,1,,https://openalex.org/A5115944506,A5115944506,7
Dan Gnanapragasam,1,,https://openalex.org/A5029175132,A5029175132,2
Daniel Salz,2,,https://openalex.org/A5065353057,A5065353057,"2, 10"
Dara Bahri,1,,https://openalex.org/A5036477705,A5036477705,9
Dave Marwood,1,,https://openalex.org/A5073005062,A5073005062,7
David Elson,1,,https://openalex.org/A5116014384,A5116014384,8
David Lindner,1,,https://openalex.org/A5059597480,A5059597480,8
Edgar A. Duéñez‐Guzmán,1,,https://openalex.org/A5061221525,A5061221525,6
Georgios Piliouras,1,,https://openalex.org/A5079969658,A5079969658,6
Guangxing Han,1,,https://openalex.org/A5063732687,A5063732687,2
Howard Zhou,1,,https://openalex.org/A5056352820,A5056352820,2
Ian Fischer,1,,https://openalex.org/A5051461147,A5051461147,7
Ian Goodfellow,1,,https://openalex.org/A5004271128,A5004271128,8
Ibrahim Alabdulmohsin,1,,https://openalex.org/A5029133361,A5029133361,10
Iyad Rahwan,1,,https://openalex.org/A5009232244,A5009232244,6
Jan Dlabal,1,,https://openalex.org/A5032570936,A5032570936,2
Jed R. Brubaker,1,,https://openalex.org/A5084740625,A5084740625,1
Jiaxing Wu,1,,https://openalex.org/A5101996381,A5101996381,5
Joel Z. Leibo,1,,https://openalex.org/A5054808675,A5054808675,6
John Agapiou,1,,https://openalex.org/A5017056095,A5017056095,6
Joseph J. Pfeiffer,1,,https://openalex.org/A5110629518,A5110629518,5
Julia Haas,1,,https://openalex.org/A5053872110,A5053872110,6
Jun Xie,1,,https://openalex.org/A5101852403,A5101852403,5
K.-Y. Chen,1,,https://openalex.org/A5022123903,A5022123903,2
Kaifeng Chen,1,,https://openalex.org/A5114546921,A5114546921,2
Kartikeya Badola,1,,https://openalex.org/A5043460350,A5043460350,4
Keran Rong,1,,https://openalex.org/A5026743424,A5026743424,10
Kevis-Kokitsi Maninis,1,,https://openalex.org/A5038897190,A5038897190,2
Kuang-Huei Lee,1,,https://openalex.org/A5030702181,A5030702181,7
Laurent Orseau,1,,https://openalex.org/A5110938957,A5110938957,3
Levi H. S. Lelis,1,,https://openalex.org/A5012035228,A5012035228,3
Luyang Liu,1,,https://openalex.org/A5025018072,A5025018072,5
Manfred Diaz,1,,https://openalex.org/A5025430674,A5025430674,6
Marcus Hütter,1,,https://openalex.org/A5073944062,A5073944062,3
Meera Hahn,1,,https://openalex.org/A5055189318,A5055189318,4
Meredith Ringel Morris,1,,https://openalex.org/A5062285844,A5062285844,1
Mojtaba Seyedhosseini,1,,https://openalex.org/A5053494387,A5053494387,2
Nithish Kannen,1,,https://openalex.org/A5038409403,A5038409403,4
Peter Sunehag,1,,https://openalex.org/A5046100176,A5046100176,6
Raphaël Koster,1,,https://openalex.org/A5082942104,A5082942104,6
Rich Galt,1,,https://openalex.org/A5115087384,A5115087384,4
Rohin Shah,1,,https://openalex.org/A5012971694,A5012971694,8
Sebastian Farquhar,1,,https://openalex.org/A5051690066,A5051690066,8
Shumeet Baluja,1,,https://openalex.org/A5085643229,A5085643229,7
Simon Osindero,1,,https://openalex.org/A5052435039,A5052435039,6
Soham Ghosh,1,,https://openalex.org/A5017450507,A5017450507,2
Stanley Bileschi,1,,https://openalex.org/A5089687759,A5089687759,6
Vikrant Varma,1,,https://openalex.org/A5052084048,A5052084048,8
Wen-Jun Zeng,1,,https://openalex.org/A5101739843,A5101739843,4
William A. Cunningham,1,,https://openalex.org/A5033381741,A5033381741,6
William Isaac,1,,https://openalex.org/A5048272174,A5048272174,6
Xiao Song,1,,https://openalex.org/A5101799802,A5101799802,9
Xiao Wang,1,,https://openalex.org/A5112719601,A5112719601,10
Xiaohua Zhai,1,,https://openalex.org/A5071668416,A5071668416,10
Xinyun Chen,1,,https://openalex.org/A5101977007,A5101977007,7
Ye Xia,1,,https://openalex.org/A5036985837,A5036985837,2
Yingju Wu,1,,https://openalex.org/A5051852804,A5051852804,7
Zhe Li,1,,https://openalex.org/A5100356635,A5100356635,10
Zi Wang,1,,https://openalex.org/A5101505122,A5101505122,4
