id,author_count,display_name,type,country,city,display_name_acronyms,display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,wikipedia,associated_institutions_children,children_ids,associated_institutions_parent,parent_ids
https://openalex.org/I1291425158,27,Google (United States),funder,United States,Mountain View,,Googleplex,45388,3164107,7.1493087557603685,570,23943,https://en.wikipedia.org/wiki/Google,Google (Canada); Google (Ireland); Google (Israel); Google (Singapore); Google (Switzerland); Google (United Kingdom),https://openalex.org/I4210148186; https://openalex.org/I4210131802; https://openalex.org/I4210117425; https://openalex.org/I4408895790; https://openalex.org/I4210100430; https://openalex.org/I4210113297,Alphabet (United States),https://openalex.org/I4210128969
https://openalex.org/I4210090411,15,DeepMind (United Kingdom),funder,United Kingdom,London,,,1927,289508,17.726315789473684,198,933,https://en.wikipedia.org/wiki/Google%20DeepMind,,,Alphabet (United States),https://openalex.org/I4210128969
https://openalex.org/I4210113297,9,Google (United Kingdom),company,United Kingdom,London,,,734,75431,26.644628099173552,97,355,https://en.wikipedia.org/wiki/Google,,,Google (United States),https://openalex.org/I1291425158
https://openalex.org/I37461747,4,Wuhan University,funder,China,Wuhan,WHU,武汉大学,187919,3666015,5.026580724370779,455,66555,https://en.wikipedia.org/wiki/Wuhan%20University,Duke Kunshan University; State Key Laboratory of Software Engineering; State Key Laboratory of Virology; State Key Laboratory of Water Resources and Hydropower Engineering Science,https://openalex.org/I4210159968; https://openalex.org/I4391768271; https://openalex.org/I4391768268; https://openalex.org/I4391768013,,
https://openalex.org/I35440088,4,ETH Zurich,funder,Switzerland,Zurich,ETH Zurich,ETH Zürich; Swiss Federal Institute of Technology in Zurich; École Polytechnique Fédérale de Zurich; ETH di Zurigo; Politecnico Federale di Zurigo; Eidgenössische Technische Hochschule Zürich,197870,8097922,4.939911773523491,751,100361,https://en.wikipedia.org/wiki/ETH%20Zurich,"AgroVet-Strickhof; Automatic Control Laboratory; Binnig and Rohrer Nanotechnology Center; CSCS - Swiss National Supercomputing Centre; Center for Climate Systems Modeling; Centre for Origin and Prevalence of Life; Collegium Helveticum; Communication Technology Laboratory; Computer Engineering and Networks Laboratory; Computer Vision Laboratory; Congressi Stefano Franscini; ETH Institute for Theoretical Studies; ETH Phenomics Center; ETH Zürich Campus Heilbronn gGmbH; Electromagnetic Fields Laboratory; FIRST Center for Micro- and Nanoscience; Flow Cytometry Core Facility; Functional Genomics Center Zurich; Geological Institute; Good Manufacturing Practice Facility; Institute for Atmospheric and Climate Science; Institute for Biomechanics; Institute for Biomedical Engineering; Institute for Building Materials; Institute for Chemical and Bioengineering; Institute for Computing Platforms; Institute for Dynamic Systems and Control; Institute for Electronics; Institute for Environmental Decisions; Institute for Geotechnical Engineering; Institute for High Performance Computing Systems; Institute for Intelligent Interactive Systems; Institute for Machine Learning; Institute for Mathematical Research; Institute for Molecular Systems Biology; Institute for Neuroscience; Institute for Operations Research; Institute for Particle Physics and Astrophysics; Institute for Preservation and Construction History; Institute for Programming Languages and Systems; Institute for Quantum Electronics; Institute for Spatial and Landscape Development; Institute for Technology in Architecture; Institute for Theoretical Physics; Institute for Transport Planning and Systems; Institute for Urban and Landscape Studies; Institute for Visual Computing; Institute for the History and Theory of Architecture; Institute of Agricultural Sciences; Institute of Behavioral Sciences; Institute of Biochemistry; Institute of Biogeochemistry and Pollutant Dynamics; Institute of Cartography and Geoinformation; Institute of Construction and Infrastructure Management; Institute of Design and Architecture; Institute of Design, Materials and Fabrication; Institute of Energy and Process Engineering; Institute of Environmental Engineering; Institute of Fluid Dynamics; Institute of Food, Nutrition, and Health; Institute of Geochemistry and Petrology; Institute of Geodesy and Photogrammetry; Institute of Geophysics; Institute of History; Institute of Human Movement Sciences and Sport; Institute of Information Security; Institute of Integrative Biology; Institute of Machine Tools and Manufacturing; Institute of Mechanical Systems; Institute of Metals Research; Institute of Microbiology; Institute of Molecular Biology and Biophysics; Institute of Molecular Health Sciences; Institute of Molecular Physical Science; Institute of Molecular Plant Biology; Institute of Neuroinformatics; Institute of Pharmaceutical Sciences; Institute of Polymers; Institute of Robotics and Intelligent Systems; Institute of Science, Technology and Policy; Institute of Structural Engineering; Institute of Terrestrial Ecosystems; Institute of Theoretical Computer Science; Institute of Translational Medicine; Institute of Virtual Manufacturing; Integrated Systems Laboratory; Laboratory for Solid State Physics; Laboratory of Hydraulics, Hydrology and Glaciology; Laboratory of Inorganic Chemistry; Laboratory of Organic Chemistry; Laboratory of Physical Chemistry; Language Center of UZH and ETH Zürich; NCCR SwissMAP; NEXUS Personalized Health Technologies; Power Systems and High Voltage Laboratory; School for Continuing Education; Scientific Center for Optical and Electron Microscopy; Seminar for Applied Mathematics; Seminar for Statistics; Signal and Information Processing Laboratory; Singapore-ETH Centre; Swiss Data Science Center; Swiss Seismological Service; Wyss Zurich Translational Center; digital Trial Innovation Platform",https://openalex.org/I4409125546; https://openalex.org/I4409125690; https://openalex.org/I4409125578; https://openalex.org/I4391767926; https://openalex.org/I4409125508; https://openalex.org/I4409125744; https://openalex.org/I4210133264; https://openalex.org/I4409125588; https://openalex.org/I4409125708; https://openalex.org/I4409125621; https://openalex.org/I4409125485; https://openalex.org/I4409125535; https://openalex.org/I4409125495; https://openalex.org/I4409125506; https://openalex.org/I4409125736; https://openalex.org/I4409125571; https://openalex.org/I4409125746; https://openalex.org/I4409125567; https://openalex.org/I4409125689; https://openalex.org/I4409125525; https://openalex.org/I4409125748; https://openalex.org/I4409125560; https://openalex.org/I4210090941; https://openalex.org/I4409125625; https://openalex.org/I4409125494; https://openalex.org/I4409125676; https://openalex.org/I4409125648; https://openalex.org/I4409125497; https://openalex.org/I4409125529; https://openalex.org/I4409125619; https://openalex.org/I4409125614; https://openalex.org/I4409125564; https://openalex.org/I4409125752; https://openalex.org/I4409125471; https://openalex.org/I4409125522; https://openalex.org/I4409125510; https://openalex.org/I4409125551; https://openalex.org/I4409125579; https://openalex.org/I4409125735; https://openalex.org/I4409125668; https://openalex.org/I4409125618; https://openalex.org/I4409125538; https://openalex.org/I4409125587; https://openalex.org/I4409125509; https://openalex.org/I4409125657; https://openalex.org/I4409125646; https://openalex.org/I4409125634; https://openalex.org/I4409125559; https://openalex.org/I4409125575; https://openalex.org/I4409125531; https://openalex.org/I4409125480; https://openalex.org/I4409125554; https://openalex.org/I4409125667; https://openalex.org/I4409125491; https://openalex.org/I4409125595; https://openalex.org/I4409125550; https://openalex.org/I4409125612; https://openalex.org/I4409125540; https://openalex.org/I4409125565; https://openalex.org/I4409125519; https://openalex.org/I4409125520; https://openalex.org/I4409125637; https://openalex.org/I4409125615; https://openalex.org/I4409125715; https://openalex.org/I4409125674; https://openalex.org/I4409125714; https://openalex.org/I4409125516; https://openalex.org/I4409125663; https://openalex.org/I4409125684; https://openalex.org/I4409125589; https://openalex.org/I4409125476; https://openalex.org/I4409125474; https://openalex.org/I4409125486; https://openalex.org/I4409125500; https://openalex.org/I4409125501; https://openalex.org/I4409125610; https://openalex.org/I4409125536; https://openalex.org/I4409125580; https://openalex.org/I4409125484; https://openalex.org/I4409125533; https://openalex.org/I4409125544; https://openalex.org/I4409125561; https://openalex.org/I4409125716; https://openalex.org/I4409125632; https://openalex.org/I4409125656; https://openalex.org/I4409125709; https://openalex.org/I4409125502; https://openalex.org/I4409125586; https://openalex.org/I4409125507; https://openalex.org/I4409125696; https://openalex.org/I4409125566; https://openalex.org/I4409125687; https://openalex.org/I4392738284; https://openalex.org/I4409125722; https://openalex.org/I4409125543; https://openalex.org/I4409125664; https://openalex.org/I4409125750; https://openalex.org/I4409125597; https://openalex.org/I4409125577; https://openalex.org/I4409125650; https://openalex.org/I4409125539; https://openalex.org/I4210122261; https://openalex.org/I4409125662; https://openalex.org/I4409125645; https://openalex.org/I4409125541,Board of the Swiss Federal Institutes of Technology,https://openalex.org/I2799323385
https://openalex.org/I63966007,3,Massachusetts Institute of Technology,funder,United States,Cambridge,MIT,Instituto Tecnológico de Massachusetts,320426,21168478,6.395020584199177,1405,171305,https://en.wikipedia.org/wiki/Massachusetts%20Institute%20of%20Technology,"Athinoula A. Martinos Center for Biomedical Imaging; Cambridge–MIT Institute; Institute for Collaborative Biotechnologies; Institute for Soldier Nanotechnologies; Koch Institute for Integrative Cancer Research At MIT; MIT Lincoln Laboratory; MIT Sea Grant; MIT-Harvard Center for Ultracold Atoms; Massachusetts Space Grant Consortium; McGovern Institute for Brain Research; Novartis-MIT Center for Continuous Manufacturing; Ragon Institute of MGH, MIT and Harvard; The NSF AI Institute for Artificial Intelligence and Fundamental Interactions; Whitehead Institute for Biomedical Research",https://openalex.org/I4210127055; https://openalex.org/I4210093068; https://openalex.org/I4388482662; https://openalex.org/I4210109539; https://openalex.org/I4390039253; https://openalex.org/I4210122954; https://openalex.org/I4210125891; https://openalex.org/I4210159271; https://openalex.org/I4210087444; https://openalex.org/I144112489; https://openalex.org/I4210129287; https://openalex.org/I2802422659; https://openalex.org/I4210160315; https://openalex.org/I4210157710,,
https://openalex.org/I118347636,3,Australian National University,funder,Australia,Canberra,ANU,,165278,6130646,4.286139389193422,684,78590,https://en.wikipedia.org/wiki/Australian%20National%20University,ARC Centre of Excellence for Transformative Meta-Optical Systems; ARC Centre of Excellence in Plant Energy Biology; Australian Centre for Excellence in Antarctic Science; Australian Data Archive; Centre for Advanced Microscopy; Mount Stromlo Observatory,https://openalex.org/I4210149973; https://openalex.org/I4210102918; https://openalex.org/I4394709237; https://openalex.org/I4387152781; https://openalex.org/I4396570642; https://openalex.org/I3129270235,,
https://openalex.org/I2801851002,3,Harvard University Press,other,United States,Cambridge,HUP,,154944,6081751,1.0088995550222488,896,42436,https://en.wikipedia.org/wiki/Harvard%20University%20Press,,,Harvard University,https://openalex.org/I136199984
https://openalex.org/I95457486,3,"University of California, Berkeley",funder,United States,Berkeley,UCB,UC Berkeley; University of California at Berkeley; Université de Californie à Berkeley; Cal Berkeley; Universidad de California en Berkeley,396722,22065548,3.7720246617771673,1328,202707,https://en.wikipedia.org/wiki/University%20of%20California%2C%20Berkeley,Center for Effective Global Action; Chan Zuckerberg Biohub San Francisco; Gump South Pacific Research Station; Innovative Genomics Institute; Pacific Earthquake Engineering Research Center; Plant Gene Expression Center; QB3; Space Sciences Laboratory; Tsinghua–Berkeley Shenzhen Institute,https://openalex.org/I4210135243; https://openalex.org/I4210100286; https://openalex.org/I4210144402; https://openalex.org/I4210109258; https://openalex.org/I4392738292; https://openalex.org/I4210144282; https://openalex.org/I103922791; https://openalex.org/I4407990211; https://openalex.org/I4210114105,University of California System,https://openalex.org/I2803209242
https://openalex.org/I130701444,3,Georgia Institute of Technology,funder,United States,Atlanta,GT,Instituto de Tecnología de Georgia; Georgia Tech,179017,6643864,4.092986850344396,754,82437,https://en.wikipedia.org/wiki/Georgia%20Tech,Center for Translational Research in Neuroimaging and Data Science; Georgia Space Grant Consortium; Georgia Tech Research Institute; Georgia Tech-CNRS Laboratory; The Wallace H. Coulter Department of Biomedical Engineering,https://openalex.org/I4210133909; https://openalex.org/I4210101104; https://openalex.org/I4388482740; https://openalex.org/I4210089931; https://openalex.org/I2802612298,University System of Georgia,https://openalex.org/I1289702989
