Author Position,Author ID,Author Name,ORCID,Is Corresponding,Raw Author Name,Affiliations
first,https://openalex.org/A5054808675,Joel Z. Leibo,https://orcid.org/0000-0002-3153-916X,False,"Leibo, Joel Z.",
middle,https://openalex.org/A5030684417,Alexander Sasha Vezhnevets,,False,"Vezhnevets, Alexander Sasha",
middle,https://openalex.org/A5025430674,Manfred Diaz,,False,"Diaz, Manfred",
middle,https://openalex.org/A5017056095,John Agapiou,https://orcid.org/0000-0003-2642-2845,False,"Agapiou, John P.",
middle,https://openalex.org/A5033381741,William A. Cunningham,https://orcid.org/0000-0002-7063-5859,False,"Cunningham, William A.",
middle,https://openalex.org/A5046100176,Peter Sunehag,,False,"Sunehag, Peter",
middle,https://openalex.org/A5053872110,Julia Haas,https://orcid.org/0000-0002-6040-0669,False,"Haas, Julia",
middle,https://openalex.org/A5082942104,Raphaël Koster,https://orcid.org/0000-0001-5264-3137,False,"Koster, Raphael",
middle,https://openalex.org/A5061221525,Edgar A. Duéñez‐Guzmán,https://orcid.org/0000-0002-6212-9104,False,"Duéñez-Guzmán, Edgar A.",
middle,https://openalex.org/A5048272174,William Isaac,https://orcid.org/0000-0002-1297-5409,False,"Isaac, William S.",
middle,https://openalex.org/A5079969658,Georgios Piliouras,https://orcid.org/0000-0002-6236-3566,False,"Piliouras, Georgios",
middle,https://openalex.org/A5089687759,Stanley Bileschi,,False,"Bileschi, Stanley M.",
middle,https://openalex.org/A5009232244,Iyad Rahwan,https://orcid.org/0000-0002-1796-4303,False,"Rahwan, Iyad",
last,https://openalex.org/A5052435039,Simon Osindero,,False,"Osindero, Simon",
