Author,OA_ID,unique_affiliation_count,all_china,some_china,some_usa,all_countries,affiliation_display_name_2025,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2024,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2023,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2022,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2021,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2020,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2019,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2018,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2017,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2016,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2015,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2014,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2013,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2012,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2011,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2010,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2009,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2008,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2007,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2006,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2005,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2004,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2003,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2002,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2001,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2000,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_1996,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1991,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1990,affiliation_id_1990,affiliation_country_1990
Angang Du,A5088792207,2,True,True,False,China,,,,,,,,,,Ocean University of China,https://openalex.org/I59028903,China,,,,Megvii (China),https://openalex.org/I4401726805,China,,,,Ocean University of China,https://openalex.org/I59028903,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenzhuang Du,A5044355459,1,True,True,False,China,,,,,,,,,,Tsinghua University,https://openalex.org/I99065089,China,,,,Tsinghua University,https://openalex.org/I99065089,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dehao Zhang,A5046162247,1,True,True,False,China,University of Electronic Science and Technology of China,https://openalex.org/I150229711,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enming Yuan,A5073001520,1,True,True,False,China,,,,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzhe Lu,A5049660040,1,True,True,False,China,,,,,,,,,,,,,,,,Guangzhou Center for Disease Control and Prevention,https://openalex.org/I4210087969,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guangzhou Center for Disease Control and Prevention,https://openalex.org/I4210087969,China,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flood Sung,A5065232789,1,False,False,False,United Kingdom,,,,,,,,,,,,,,,,,,,,,,Queen Mary University of London,https://openalex.org/I166337079,United Kingdom,Queen Mary University of London,https://openalex.org/I166337079,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guokun Lai,A5015579277,2,False,True,True,China; United States,,,,,,,,,,,,,,,,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,,,,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hao Ding,A5005056208,8,False,True,True,China; Norway; United States,,,,Nanjing University,https://openalex.org/I881766915,China,,,,Zhejiang University of Technology,https://openalex.org/I55712492,China,,,,Columbus Oncology and Hematology Associates,https://openalex.org/I4210094388,United States,,,,Zhejiang University of Technology,https://openalex.org/I55712492,China,,,,University of Science and Technology Beijing,https://openalex.org/I92403157,China,University of Science and Technology Beijing,https://openalex.org/I92403157,China,Case Western Reserve University,https://openalex.org/I58956616,United States,Jiangxi University of Technology,https://openalex.org/I3131412887,China,University of Science and Technology Beijing,https://openalex.org/I92403157,China,,,,,,,,,,,,,Norwegian University of Science and Technology,https://openalex.org/I204778367,Norway,Norwegian University of Science and Technology,https://openalex.org/I204778367,Norway,Norwegian University of Science and Technology,https://openalex.org/I204778367,Norway,Norwegian University of Science and Technology,https://openalex.org/I204778367,Norway,,,,,,,,,,,,,Shanghai Institute of Optics and Fine Mechanics,https://openalex.org/I4210135349,China,,,,,,
Hao Hu,A5084214981,5,True,True,False,China,Nanjing University of Science and Technology,https://openalex.org/I36399199,China,Nanjing University of Chinese Medicine,https://openalex.org/I131434179,China,Shanghai Ocean University,https://openalex.org/I44675526,China,Nanjing University of Chinese Medicine,https://openalex.org/I131434179,China,Shanghai Ocean University,https://openalex.org/I44675526,China,Shanghai Ocean University,https://openalex.org/I44675526,China,Shanghai Jiao Tong University,https://openalex.org/I183067930,China,Shanghai Jiao Tong University,https://openalex.org/I183067930,China,Shanghai Ocean University,https://openalex.org/I44675526,China,Shanghai Ocean University,https://openalex.org/I44675526,China,Shanghai Ocean University,https://openalex.org/I44675526,China,Shanghai Ocean University,https://openalex.org/I44675526,China,Shanghai Ocean University,https://openalex.org/I44675526,China,Yangtze University,https://openalex.org/I177739611,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hao Zhang,A5100732538,6,True,True,False,China,Henan University,https://openalex.org/I173899330,China,China Iron and Steel Research Institute Group,https://openalex.org/I3019120426,China,Beijing Institute of Technology,https://openalex.org/I125839683,China,Institute of Disaster Prevention,https://openalex.org/I4210098369,China,Henan Agricultural University,https://openalex.org/I4750791,China,China University of Geosciences,https://openalex.org/I3124059619,China,Henan Agricultural University,https://openalex.org/I4750791,China,Henan Agricultural University,https://openalex.org/I4750791,China,Henan Agricultural University,https://openalex.org/I4750791,China,Henan Agricultural University,https://openalex.org/I4750791,China,,,,,,,Henan Agricultural University,https://openalex.org/I4750791,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
