Author,OA_ID,unique_affiliation_count,affiliation-2025,ID-2025,affiliation-2024,ID-2024,affiliation-2023,ID-2023,affiliation-2022,ID-2022,affiliation-2021,ID-2021,affiliation-2020,ID-2020,affiliation-2019,ID-2019,affiliation-2018,ID-2018,affiliation-2017,ID-2017,affiliation-2016,ID-2016,affiliation-2015,ID-2015,affiliation-2014,ID-2014,affiliation-2013,ID-2013,affiliation-2012,ID-2012,affiliation-2011,ID-2011,affiliation-2010,ID-2010,affiliation-2009,ID-2009,affiliation-2008,ID-2008,affiliation-2007,ID-2007,affiliation-2006,ID-2006,affiliation-2005,ID-2005,affiliation-2004,ID-2004,affiliation-2003,ID-2003,affiliation-2002,ID-2002,affiliation-2001,ID-2001,affiliation-2000,ID-2000,affiliation-1996,ID-1996,affiliation-1991,ID-1991,affiliation-1990,ID-1990
Angang Du,A5088792207,2,,,,,,,Ocean University of China,https://openalex.org/I59028903,,,Megvii (China),https://openalex.org/I4401726805,,,Ocean University of China,https://openalex.org/I59028903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenzhuang Du,A5044355459,1,,,,,,,Tsinghua University,https://openalex.org/I99065089,,,Tsinghua University,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dehao Zhang,A5046162247,1,University of Electronic Science and Technology of China,https://openalex.org/I150229711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enming Yuan,A5073001520,1,,,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzhe Lu,A5049660040,1,,,,,,,,,,,Guangzhou Center for Disease Control and Prevention,https://openalex.org/I4210087969,,,,,,,,,,,,,,,,,,,,,,,,,,,Guangzhou Center for Disease Control and Prevention,https://openalex.org/I4210087969,,,,,,,,,,,,,,,,,,
Flood Sung,A5065232789,1,,,,,,,,,,,,,,,Queen Mary University of London,https://openalex.org/I166337079,Queen Mary University of London,https://openalex.org/I166337079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guokun Lai,A5015579277,2,,,,,,,,,,,Carnegie Mellon University,https://openalex.org/I74973139,Carnegie Mellon University,https://openalex.org/I74973139,Carnegie Mellon University,https://openalex.org/I74973139,Carnegie Mellon University,https://openalex.org/I74973139,,,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hao Ding,A5005056208,8,,,Nanjing University,https://openalex.org/I881766915,,,Zhejiang University of Technology,https://openalex.org/I55712492,,,Columbus Oncology and Hematology Associates,https://openalex.org/I4210094388,,,Zhejiang University of Technology,https://openalex.org/I55712492,,,University of Science and Technology Beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,https://openalex.org/I92403157,Case Western Reserve University,https://openalex.org/I58956616,Jiangxi University of Technology,https://openalex.org/I3131412887,University of Science and Technology Beijing,https://openalex.org/I92403157,,,,,,,,,Norwegian University of Science and Technology,https://openalex.org/I204778367,Norwegian University of Science and Technology,https://openalex.org/I204778367,Norwegian University of Science and Technology,https://openalex.org/I204778367,Norwegian University of Science and Technology,https://openalex.org/I204778367,,,,,,,,,Shanghai Institute of Optics and Fine Mechanics,https://openalex.org/I4210135349,,,,
Hao Hu,A5084214981,5,Nanjing University of Science and Technology,https://openalex.org/I36399199,Nanjing University of Chinese Medicine,https://openalex.org/I131434179,Shanghai Ocean University,https://openalex.org/I44675526,Nanjing University of Chinese Medicine,https://openalex.org/I131434179,Shanghai Ocean University,https://openalex.org/I44675526,Shanghai Ocean University,https://openalex.org/I44675526,Shanghai Jiao Tong University,https://openalex.org/I183067930,Shanghai Jiao Tong University,https://openalex.org/I183067930,Shanghai Ocean University,https://openalex.org/I44675526,Shanghai Ocean University,https://openalex.org/I44675526,Shanghai Ocean University,https://openalex.org/I44675526,Shanghai Ocean University,https://openalex.org/I44675526,Shanghai Ocean University,https://openalex.org/I44675526,Yangtze University,https://openalex.org/I177739611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hao Zhang,A5100732538,6,Henan University,https://openalex.org/I173899330,China Iron and Steel Research Institute Group,https://openalex.org/I3019120426,Beijing Institute of Technology,https://openalex.org/I125839683,Institute of Disaster Prevention,https://openalex.org/I4210098369,Henan Agricultural University,https://openalex.org/I4750791,China University of Geosciences,https://openalex.org/I3124059619,Henan Agricultural University,https://openalex.org/I4750791,Henan Agricultural University,https://openalex.org/I4750791,Henan Agricultural University,https://openalex.org/I4750791,Henan Agricultural University,https://openalex.org/I4750791,,,,,Henan Agricultural University,https://openalex.org/I4750791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
