Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,ID-1990,ID-1991,ID-1996,ID-2000,ID-2001,ID-2002,ID-2003,ID-2004,ID-2005,ID-2006,ID-2007,ID-2008,ID-2009,ID-2010,ID-2011,ID-2012,ID-2013,ID-2014,ID-2015,ID-2016,ID-2017,ID-2018,ID-2019,ID-2020,ID-2021,ID-2022,ID-2023,ID-2024,ID-2025,affiliation-1990,affiliation-1991,affiliation-1996,affiliation-2000,affiliation-2001,affiliation-2002,affiliation-2003,affiliation-2004,affiliation-2005,affiliation-2006,affiliation-2007,affiliation-2008,affiliation-2009,affiliation-2010,affiliation-2011,affiliation-2012,affiliation-2013,affiliation-2014,affiliation-2015,affiliation-2016,affiliation-2017,affiliation-2018,affiliation-2019,affiliation-2020,affiliation-2021,affiliation-2022,affiliation-2023,affiliation-2024,affiliation-2025
Angang Du,1,,https://openalex.org/A5088792207,A5088792207,,Angang Du,Angang Du,8,217,2.0,4,2,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I59028903,,https://openalex.org/I4401726805,,https://openalex.org/I59028903,,,,,,,,,,,,,,,,,,,,,,,,,Ocean University of China,,Megvii (China),,Ocean University of China,,,
Chenzhuang Du,1,,https://openalex.org/A5044355459,A5044355459,,Chenzhuang Du,Chenzhuang Du,10,166,1.0,3,2,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I99065089,,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsinghua University,,Tsinghua University,,,
Dehao Zhang,1,,https://openalex.org/A5046162247,A5046162247,,Dehao Zhang,Dehao Zhang,5,7,0.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I150229711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Electronic Science and Technology of China
Enming Yuan,1,,https://openalex.org/A5073001520,A5073001520,https://orcid.org/0000-0003-0755-9109,Enming Yuan,Enming Yuan,12,511,8.25,6,6,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I99065089,https://openalex.org/I99065089,https://openalex.org/I99065089,https://openalex.org/I99065089,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,,,,,,,,,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,
Enzhe Lu,1,,https://openalex.org/A5049660040,A5049660040,,Enzhe Lu,"En‐Jie Lu, Enzhe Lu, E J Lu",4,156,0.0,3,1,,,,,,,,,,https://openalex.org/I4210087969,,,,,,,,,,,,,,https://openalex.org/I4210087969,,,,,,,,,,,,,,,Guangzhou Center for Disease Control and Prevention,,,,,,,,,,,,,,Guangzhou Center for Disease Control and Prevention,,,,,
Flood Sung,1,,https://openalex.org/A5065232789,A5065232789,,Flood Sung,Flood Sung,13,4668,0.0,9,9,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I166337079,https://openalex.org/I166337079,,,,,,,,,,,,,,,,,,,,,,,,,,,,Queen Mary University of London,Queen Mary University of London,,,,,,,
Guokun Lai,1,,https://openalex.org/A5015579277,A5015579277,,Guokun Lai,Guokun Lai,26,3843,0.0,11,11,,,,,,,,,,,,,,,,,,https://openalex.org/I99065089,https://openalex.org/I99065089,,https://openalex.org/I74973139,https://openalex.org/I74973139,https://openalex.org/I74973139,https://openalex.org/I74973139,,,,,,,,,,,,,,,,,,,,,,,Tsinghua University,Tsinghua University,,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,
Hao Ding,1,,https://openalex.org/A5005056208,A5005056208,https://orcid.org/0000-0001-8281-6983,Hao Ding,"Ding Hao, Hao Ding",33,218,29.0,8,8,,,https://openalex.org/I4210135349,,,,,https://openalex.org/I204778367,https://openalex.org/I204778367,https://openalex.org/I204778367,https://openalex.org/I204778367,,,,,https://openalex.org/I92403157,https://openalex.org/I3131412887,https://openalex.org/I58956616,https://openalex.org/I92403157,https://openalex.org/I92403157,,https://openalex.org/I55712492,,https://openalex.org/I4210094388,,https://openalex.org/I55712492,,https://openalex.org/I881766915,,,,Shanghai Institute of Optics and Fine Mechanics,,,,,Norwegian University of Science and Technology,Norwegian University of Science and Technology,Norwegian University of Science and Technology,Norwegian University of Science and Technology,,,,,University of Science and Technology Beijing,Jiangxi University of Technology,Case Western Reserve University,University of Science and Technology Beijing,University of Science and Technology Beijing,,Zhejiang University of Technology,,Columbus Oncology and Hematology Associates,,Zhejiang University of Technology,,Nanjing University,
Hao Hu,1,,https://openalex.org/A5084214981,A5084214981,https://orcid.org/0000-0002-1103-0243,Hao Hu,"H. Hu, Hu Hao, Hanghua Hu, Hao Hu, H.N. Hu",336,9116,6.45,44,127,,,,,,,,,,,,,,,,https://openalex.org/I177739611,https://openalex.org/I44675526,https://openalex.org/I44675526,https://openalex.org/I44675526,https://openalex.org/I44675526,https://openalex.org/I44675526,https://openalex.org/I183067930,https://openalex.org/I183067930,https://openalex.org/I44675526,https://openalex.org/I44675526,https://openalex.org/I131434179,https://openalex.org/I44675526,https://openalex.org/I131434179,https://openalex.org/I36399199,,,,,,,,,,,,,,,,Yangtze University,Shanghai Ocean University,Shanghai Ocean University,Shanghai Ocean University,Shanghai Ocean University,Shanghai Ocean University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Ocean University,Shanghai Ocean University,Nanjing University of Chinese Medicine,Shanghai Ocean University,Nanjing University of Chinese Medicine,Nanjing University of Science and Technology
Hao Zhang,1,,https://openalex.org/A5100732538,A5100732538,https://orcid.org/0000-0002-7600-3967,Hao Zhang,"Hao Zhang, H. Zhang, Zhang Hao",110,974,1.6666666666666667,19,30,,,,,,,,,,,,,,,,,https://openalex.org/I4750791,,,https://openalex.org/I4750791,https://openalex.org/I4750791,https://openalex.org/I4750791,https://openalex.org/I4750791,https://openalex.org/I3124059619,https://openalex.org/I4750791,https://openalex.org/I4210098369,https://openalex.org/I125839683,https://openalex.org/I3019120426,https://openalex.org/I173899330,,,,,,,,,,,,,,,,,Henan Agricultural University,,,Henan Agricultural University,Henan Agricultural University,Henan Agricultural University,Henan Agricultural University,China University of Geosciences,Henan Agricultural University,Institute of Disaster Prevention,Beijing Institute of Technology,China Iron and Steel Research Institute Group,Henan University
