Author Position,Author ID,Author Name,ORCID,Is Corresponding,Raw Author Name,Affiliations
first,https://openalex.org/A5120354115,PAN Team,,True,PAN Team,
middle,https://openalex.org/A5100562747,Jiannan Xiang,,False,"Xiang, Jiannan",
middle,https://openalex.org/A5100621679,Yi Gu,https://orcid.org/0000-0002-1220-7362,False,"Gu, Yi",
middle,https://openalex.org/A5103092779,Zihan Liu,https://orcid.org/0009-0001-3523-4443,False,"Liu, Zihan",
middle,https://openalex.org/A5101380885,Zeyu Feng,,False,"Feng, Zeyu",
middle,https://openalex.org/A5102148920,Qiyue Gao,https://orcid.org/0009-0000-3808-3495,False,"Gao, Qiyue",
middle,https://openalex.org/A5101788799,Yanfei Hu,https://orcid.org/0000-0002-9244-2206,False,"Hu, Yiyan",
middle,https://openalex.org/A5101298780,Benhao Huang,,False,"Huang, Benhao",
middle,https://openalex.org/A5100737333,Guangyi Liu,https://orcid.org/0000-0002-7005-5053,False,"Liu, Guangyi",
middle,https://openalex.org/A5052615725,Yong-Sheng Yang,https://orcid.org/0009-0006-9627-0911,False,"Yang, Yichi",
middle,https://openalex.org/A5009156729,Kun Zhou,https://orcid.org/0000-0003-0672-0837,False,"Zhou, Kun",
middle,https://openalex.org/A5120650788,Davit Abrahamyan,,False,"Abrahamyan, Davit",
middle,https://openalex.org/A5087840805,Arif Ahmad,,False,"Ahmad, Arif",
middle,https://openalex.org/A5120650789,Ganesh Bannur,,False,"Bannur, Ganesh",
middle,https://openalex.org/A5113207328,J. Chen,,False,"Chen, Junrong",
middle,https://openalex.org/A5076197201,Kimi Chen,,False,"Chen, Kimi",
middle,https://openalex.org/A5043502860,Mi Deng,https://orcid.org/0000-0003-4291-0144,False,"Deng, Mingkai",
middle,https://openalex.org/A5087522518,Ruobing Han,https://orcid.org/0000-0003-0643-374X,False,"Han, Ruobing",
middle,https://openalex.org/A5109743429,X. Angelo Huang,,False,"Huang, Xinqi",
middle,https://openalex.org/A5083539676,Hoon-Churl Kang,,False,"Kang, Haoqiang",
middle,https://openalex.org/A5073085049,Zheqi Li,https://orcid.org/0000-0003-1213-640X,False,"Liu, Zheqi",
middle,https://openalex.org/A5108560591,E.C. Ma,https://orcid.org/0009-0003-7674-7717,False,"Ma, Enze",
middle,https://openalex.org/A5101932492,Hanyun Ren,https://orcid.org/0000-0003-4179-2203,False,"Ren, Hector",
middle,https://openalex.org/A5120450202,Yashowardhan Shinde,,False,"Shinde, Yashowardhan",
middle,https://openalex.org/A5120650790,Rohan Shingre,,False,"Shingre, Rohan",
middle,https://openalex.org/A5120402853,Ramsundar Tanikella,,False,"Tanikella, Ramsundar",
middle,https://openalex.org/A5038315013,Kezhu Tao,,False,"Tao, Kaiming",
middle,https://openalex.org/A5020861489,Dongxu Yang,https://orcid.org/0000-0002-3729-9216,False,"Yang, Dequan",
middle,https://openalex.org/A5028680526,Xiaofeng Yu,https://orcid.org/0000-0001-6742-3591,False,"Yu, Xinle",
middle,https://openalex.org/A5078779392,Cong Zeng,https://orcid.org/0000-0003-1003-9382,False,"Zeng, Cong",
middle,https://openalex.org/A5111623070,Binglin Zhou,,False,"Zhou, Binglin",
middle,https://openalex.org/A5031718334,Z. B. Liu,,False,"Liu, Zhengzhong",
middle,https://openalex.org/A5085608858,Zhiting Hu,https://orcid.org/0000-0002-6239-5031,False,"Hu, Zhiting",
last,https://openalex.org/A5009547049,Eric P. Xing,https://orcid.org/0009-0005-9158-4201,False,"Xing, Eric P.",
