Author,OA_ID,unique_affiliation_count,affiliation-2026,ID-2026,affiliation-2025,ID-2025,affiliation-2024,ID-2024,affiliation-2023,ID-2023,affiliation-2022,ID-2022,affiliation-2021,ID-2021,affiliation-2020,ID-2020,affiliation-2019,ID-2019,affiliation-2018,ID-2018,affiliation-2017,ID-2017,affiliation-2016,ID-2016,affiliation-2015,ID-2015,affiliation-2014,ID-2014,affiliation-2013,ID-2013,affiliation-2012,ID-2012,affiliation-2011,ID-2011,affiliation-2010,ID-2010,affiliation-2009,ID-2009,affiliation-2008,ID-2008,affiliation-2007,ID-2007,affiliation-2006,ID-2006,affiliation-2005,ID-2005,affiliation-2004,ID-2004,affiliation-2003,ID-2003,affiliation-2002,ID-2002,affiliation-2001,ID-2001,affiliation-2000,ID-2000,affiliation-1999,ID-1999,affiliation-1998,ID-1998,affiliation-1997,ID-1997,affiliation-1996,ID-1996,affiliation-1995,ID-1995,affiliation-1994,ID-1994,affiliation-1993,ID-1993,affiliation-1992,ID-1992,affiliation-1991,ID-1991,affiliation-1990,ID-1990,affiliation-1989,ID-1989,affiliation-1988,ID-1988,affiliation-1987,ID-1987,affiliation-1986,ID-1986,affiliation-1985,ID-1985,affiliation-1984,ID-1984,affiliation-1982,ID-1982,affiliation-1978,ID-1978,affiliation-1975,ID-1975,affiliation-1971,ID-1971,affiliation-1970,ID-1970
Aidi Li,A5108867005,1,,,,,,,Beijing University of Civil Engineering and Architecture,https://openalex.org/I62853816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angang Du,A5088792207,1,,,,,,,,,Ocean University of China,https://openalex.org/I59028903,,,Ocean University of China,https://openalex.org/I59028903,,,Ocean University of China,https://openalex.org/I59028903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ao Wang,A5086294753,5,Huazhong University of Science and Technology,https://openalex.org/I47720641,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,China University of Geosciences,https://openalex.org/I3124059619,Second Institute of Oceanography,https://openalex.org/I4210109544,,,China University of Geosciences,https://openalex.org/I3124059619,,,,,China University of Geosciences,https://openalex.org/I3124059619,China University of Geosciences,https://openalex.org/I3124059619,,,,,,,Jilin University,https://openalex.org/I194450716,China University of Geosciences,https://openalex.org/I3124059619,China University of Geosciences,https://openalex.org/I3124059619,China University of Geosciences,https://openalex.org/I3124059619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arif Ahmad,A5087840805,1,,,,,,,Temple University,https://openalex.org/I84392919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benfeng Yin,A5066603705,6,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4210103115,Xinjiang University,https://openalex.org/I96908189,State Key Laboratory of Desert and Oasis Ecology,https://openalex.org/I4391767780,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4210103115,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4210103115,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4210103115,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4210103115,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4210103115,,,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4210103115,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4210103115,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4210103115,,,Institute of High Energy Physics,https://openalex.org/I4210137180,,,,,,,,,,,,,,,,,,,,,Chinese Academy of Sciences,https://openalex.org/I19820366,,,,,,,,,National Laboratory for Superconductivity,https://openalex.org/I4210164793,National Laboratory for Superconductivity,https://openalex.org/I4210164793,,,National Laboratory for Superconductivity,https://openalex.org/I4210164793,National Laboratory for Superconductivity,https://openalex.org/I4210164793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benhao Huang,A5101298780,1,,,Carnegie Mellon University,https://openalex.org/I74973139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biao Qu,A5036516823,13,,,Second Hospital of Anhui Medical University,https://openalex.org/I4210149412,Shandong Women’s University,https://openalex.org/I4210151294,Xiamen University of Technology,https://openalex.org/I75867142,Qufu Normal University,https://openalex.org/I202126657,Xiamen University,https://openalex.org/I191208505,Qufu Normal University,https://openalex.org/I202126657,Qufu Normal University,https://openalex.org/I202126657,Qufu Normal University,https://openalex.org/I202126657,Qufu Normal University,https://openalex.org/I202126657,Shantou University,https://openalex.org/I32574673,Xiamen University of Technology,https://openalex.org/I75867142,Wuhan University,https://openalex.org/I37461747,Qufu Normal University,https://openalex.org/I202126657,Huaqiao University,https://openalex.org/I119045251,,,Qufu Normal University,https://openalex.org/I202126657,Taishan University,https://openalex.org/I4210118050,Beijing Jiaotong University,https://openalex.org/I21193070,Beijing Jiaotong University,https://openalex.org/I21193070,Qufu Normal University,https://openalex.org/I202126657,Beijing Jiaotong University,https://openalex.org/I21193070,,,Qufu Normal University,https://openalex.org/I202126657,Renmin University of China,https://openalex.org/I78988378,,,,,,,,,Edinburgh Napier University,https://openalex.org/I251738,,,,,,,Pennsylvania State University,https://openalex.org/I130769515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binglin Zhou,A5111623070,6,,,Second Affiliated Hospital of Zhejiang University,https://openalex.org/I4210158318,Southeast University,https://openalex.org/I76569877,Wuyi University,https://openalex.org/I98834328,Wuyi University,https://openalex.org/I98834328,Jiangnan University,https://openalex.org/I111599522,Jiangnan University,https://openalex.org/I111599522,,,,,,,,,,,,,,,,,,,,,Jilin University,https://openalex.org/I194450716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shanghai Institute of Microsystem and Information Technology,https://openalex.org/I4210147322,,,Shanghai Institute of Microsystem and Information Technology,https://openalex.org/I4210147322,Shanghai Institute of Microsystem and Information Technology,https://openalex.org/I4210147322,,,,,,,,,,
Bo Pang,A5124948549,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bofei Gao,A5002310167,1,,,Peking University,https://openalex.org/I20231570,,,Peking University,https://openalex.org/I20231570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bohong Yin,A5124884744,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowei Xing,A5028438544,2,,,Dalian Naval Academy,https://openalex.org/I4401200389,Dalian Naval Academy,https://openalex.org/I4401200389,Southeast University,https://openalex.org/I76569877,Dalian Naval Academy,https://openalex.org/I4401200389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowen Qu,A5124927511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowen Wang,A5100412535,9,North China Electric Power University,https://openalex.org/I153473198,Zhejiang University,https://openalex.org/I76130692,Zhejiang University,https://openalex.org/I76130692,Shandong University of Science and Technology,https://openalex.org/I80143920,Shandong University of Science and Technology,https://openalex.org/I80143920,"University of California, Berkeley",https://openalex.org/I95457486,Northeast Forestry University,https://openalex.org/I47689461,Northeast Forestry University,https://openalex.org/I47689461,Northeast Forestry University,https://openalex.org/I47689461,Hainan Tropical Ocean University,https://openalex.org/I80432865,Northeast Forestry University,https://openalex.org/I47689461,,,Beijing Forestry University,https://openalex.org/I31683504,,,Tongliao Academy of Agricultural Sciences,https://openalex.org/I4210104681,,,,,,,KTH Royal Institute of Technology,https://openalex.org/I86987016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
