Author,No. Papers,Notes,OA_Profile,OA_ID,Papers
Aidi Li,1,,https://openalex.org/A5108867005,A5108867005,6
Angang Du,4,,https://openalex.org/A5088792207,A5088792207,"1, 2, 3, 6"
Ao Wang,1,,https://openalex.org/A5086294753,A5086294753,6
Arif Ahmad,1,,https://openalex.org/A5087840805,A5087840805,5
Benfeng Yin,1,,https://openalex.org/A5066603705,A5066603705,2
Benhao Huang,1,,https://openalex.org/A5101298780,A5101298780,5
Biao Qu,1,,https://openalex.org/A5036516823,A5036516823,2
Binglin Zhou,1,,https://openalex.org/A5111623070,A5111623070,5
Bo Pang,2,,https://openalex.org/A5124948549,A5124948549,"4, 6"
Bofei Gao,2,,https://openalex.org/A5002310167,A5002310167,"1, 3"
Bohong Yin,3,,https://openalex.org/A5124884744,A5124884744,"3, 4, 6"
Bowei Xing,3,,https://openalex.org/A5028438544,A5028438544,"1, 2, 6"
Bowen Qu,2,,https://openalex.org/A5124927511,A5124927511,"3, 6"
Bowen Wang,2,,https://openalex.org/A5100412535,A5100412535,"2, 6"
Boyu Xu,1,,,,3
C. H. Jiang,1,,https://openalex.org/A5106306615,A5106306615,1
C. H. Li,1,,https://openalex.org/A5124970746,A5124970746,6
C.A. Tang,1,,https://openalex.org/A5053078202,A5053078202,1
Chao Hong,3,,https://openalex.org/A5124961384,A5124961384,"3, 4, 6"
Chaoran Tian,2,,https://openalex.org/A5085432390,A5085432390,"3, 6"
Cheng Chen,4,,https://openalex.org/A5064269942,A5064269942,"1, 2, 3, 6"
Cheng Li,3,,https://openalex.org/A5100354298,A5100354298,"1, 3, 6"
Cheng Liu,1,,https://openalex.org/A5124963139,A5124963139,6
Chengde Liao,1,,https://openalex.org/A5041295761,A5041295761,1
Chengjie Wu,1,,https://openalex.org/A5124926117,A5124926117,6
Chenguang Zhao,1,,https://openalex.org/A5101939842,A5101939842,6
Chengyang Gong,1,,https://openalex.org/A5124886982,A5124886982,6
Chengyin Liu,2,,,,"3, 4"
Chengzhen Yu,1,,https://openalex.org/A5123765903,A5123765903,6
Chenjun Xiao,3,,https://openalex.org/A5026521600,A5026521600,"1, 3, 6"
Chenlin Zhang,1,,https://openalex.org/A5103265154,A5103265154,2
Chensi Wang,2,,https://openalex.org/A5124891365,A5124891365,"3, 6"
Chenxiao Gao,1,,,,3
Chenyu Liu,2,,https://openalex.org/A5124951517,A5124951517,"3, 6"
Chenzhuang Du,4,,https://openalex.org/A5044355459,A5044355459,"1, 2, 3, 6"
Chu Wei,3,,https://openalex.org/A5124914070,A5124914070,"3, 4, 6"
Chuan Wen,1,,https://openalex.org/A5101053077,A5101053077,6
Chuang Wang,1,,https://openalex.org/A5124963459,A5124963459,6
Chuning Tang,1,,https://openalex.org/A5020781967,A5020781967,6
Cong Zeng,1,,https://openalex.org/A5078779392,A5078779392,5
