Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,ID-1970,ID-1971,ID-1975,ID-1978,ID-1982,affiliation-1970,affiliation-1971,affiliation-1975,affiliation-1978,affiliation-1982,unique_affiliation_count,all_china,some_china,some_usa,all_usa,all_countries,affiliation_display_name_1982,affiliation_id_1982,affiliation_country_1982,affiliation_display_name_1978,affiliation_id_1978,affiliation_country_1978,affiliation_display_name_1975,affiliation_id_1975,affiliation_country_1975,affiliation_display_name_1971,affiliation_id_1971,affiliation_country_1971,affiliation_display_name_1970,affiliation_id_1970,affiliation_country_1970,affiliation_data,unique_country_count,Most Recent Affiliation Year,Most Recent Affiliation,Most Recent Affiliation Country,affiliation_id_1984,affiliation_country_1984,affiliation_display_name_1984,affiliation_id_1985,affiliation_country_1985,affiliation_display_name_1985,affiliation_id_1986,affiliation_country_1986,affiliation_display_name_1986,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1987,affiliation_id_1988,affiliation_country_1988,affiliation_display_name_1988,affiliation_id_1989,affiliation_country_1989,affiliation_display_name_1989,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1990,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1991,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1992,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1993,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1994,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1995,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1996,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1997,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1998,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1999,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_2000,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2001,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2002,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2003,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2004,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2005,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2006,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2007,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2008,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2009,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2010,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2011,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2012,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2013,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2014,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2015,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2016,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2017,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2018,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2019,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2020,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2021,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2022,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2023,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2024,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2025,affiliation_id_2026,affiliation_country_2026,affiliation_display_name_2026
Aidi Li,1,,https://openalex.org/A5108867005,A5108867005,,Aidi Li,"Aidi Li, Li, Aidi",3,6,0.0,1,0,,,,,,,,,,,1,True,True,False,False,China,,,,,,,,,,,,,,,,True,1,2023,Beijing University of Civil Engineering and Architecture,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I62853816,China,Beijing University of Civil Engineering and Architecture,,,,,,,,,
Angang Du,4,,https://openalex.org/A5088792207,A5088792207,,Angang Du,"Angang Du, Du, Angang",11,274,2.75,5,3,,,,,,,,,,,1,True,True,False,False,China,,,,,,,,,,,,,,,,True,1,2022,Ocean University of China,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I59028903,China,Ocean University of China,,,,https://openalex.org/I59028903,China,Ocean University of China,,,,https://openalex.org/I59028903,China,Ocean University of China,,,,,,,,,,,,
Ao Wang,1,,https://openalex.org/A5086294753,A5086294753,https://orcid.org/0000-0003-0030-551X,Ao Wang,"Ao Wang, Wang, Ao",26,704,40.46153846153846,7,7,,,,,,,,,,,5,True,True,False,False,China,,,,,,,,,,,,,,,,True,1,2026,Huazhong University of Science and Technology,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I3124059619,China,China University of Geosciences,https://openalex.org/I3124059619,China,China University of Geosciences,https://openalex.org/I3124059619,China,China University of Geosciences,https://openalex.org/I194450716,China,Jilin University,,,,,,,,,,https://openalex.org/I3124059619,China,China University of Geosciences,https://openalex.org/I3124059619,China,China University of Geosciences,,,,,,,https://openalex.org/I3124059619,China,China University of Geosciences,,,,https://openalex.org/I4210109544,China,Second Institute of Oceanography,https://openalex.org/I3124059619,China,China University of Geosciences,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I47720641,China,Huazhong University of Science and Technology
Arif Ahmad,1,,https://openalex.org/A5087840805,A5087840805,,Arif Ahmad,"A. Ahmad, Ahmad, Arif, Arif Ahmad",2,0,0.0,0,0,,,,,,,,,,,1,False,False,True,True,United States,,,,,,,,,,,,,,,,True,1,2023,Temple University,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I84392919,United States,Temple University,,,,,,,,,
Benfeng Yin,1,,https://openalex.org/A5066603705,A5066603705,https://orcid.org/0000-0002-5992-8861,Benfeng Yin,"B Yin, B. YIN, B. Yin, Baozang Yin, Ben-Feng YIN, Ben-Feng Yin, Ben-feng Yin, BenFeng Yin, Benfeng F. Yin, Benfeng Yin",109,611,2.3125,14,19,,,,,,,,,,,6,True,True,False,False,China,,,,,,,,,,,,,,,,True,1,2026,Xinjiang Institute of Ecology and Geography,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210164793,China,National Laboratory for Superconductivity,https://openalex.org/I4210164793,China,National Laboratory for Superconductivity,,,,https://openalex.org/I4210164793,China,National Laboratory for Superconductivity,https://openalex.org/I4210164793,China,National Laboratory for Superconductivity,,,,,,,,,,,,,https://openalex.org/I19820366,China,Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210137180,China,Institute of High Energy Physics,,,,https://openalex.org/I4210103115,China,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4210103115,China,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4210103115,China,Xinjiang Institute of Ecology and Geography,,,,https://openalex.org/I4210103115,China,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4210103115,China,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4210103115,China,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4210103115,China,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4210103115,China,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4391767780,China,State Key Laboratory of Desert and Oasis Ecology,https://openalex.org/I96908189,China,Xinjiang University,https://openalex.org/I4210103115,China,Xinjiang Institute of Ecology and Geography
Benhao Huang,1,,https://openalex.org/A5101298780,A5101298780,,Benhao Huang,"Benhao Huang, Huang, Benhao",8,3,0.375,1,0,,,,,,,,,,,1,False,False,True,True,United States,,,,,,,,,,,,,,,,True,1,2025,Carnegie Mellon University,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I74973139,United States,Carnegie Mellon University,,,
Biao Qu,1,,https://openalex.org/A5036516823,A5036516823,https://orcid.org/0000-0001-5354-8043,Biao Qu,"B. QU, B. Qu, BIAO QU, Biao Qu, Boxuan QU, Qu Biao, Qu, Biao, Qu, Bowen",91,1148,1.25,17,20,,,,,,,,,,,13,False,True,True,False,"China, United Kingdom, United States",,,,,,,,,,,,,,,,True,3,2025,Second Hospital of Anhui Medical University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I130769515,United States,Pennsylvania State University,,,,,,,,,,https://openalex.org/I251738,United Kingdom,Edinburgh Napier University,,,,,,,,,,,,,https://openalex.org/I78988378,China,Renmin University of China,https://openalex.org/I202126657,China,Qufu Normal University,,,,https://openalex.org/I21193070,China,Beijing Jiaotong University,https://openalex.org/I202126657,China,Qufu Normal University,https://openalex.org/I21193070,China,Beijing Jiaotong University,https://openalex.org/I21193070,China,Beijing Jiaotong University,https://openalex.org/I4210118050,China,Taishan University,https://openalex.org/I202126657,China,Qufu Normal University,,,,https://openalex.org/I119045251,China,Huaqiao University,https://openalex.org/I202126657,China,Qufu Normal University,https://openalex.org/I37461747,China,Wuhan University,https://openalex.org/I75867142,China,Xiamen University of Technology,https://openalex.org/I32574673,China,Shantou University,https://openalex.org/I202126657,China,Qufu Normal University,https://openalex.org/I202126657,China,Qufu Normal University,https://openalex.org/I202126657,China,Qufu Normal University,https://openalex.org/I202126657,China,Qufu Normal University,https://openalex.org/I191208505,China,Xiamen University,https://openalex.org/I202126657,China,Qufu Normal University,https://openalex.org/I75867142,China,Xiamen University of Technology,https://openalex.org/I4210151294,China,Shandong Women’s University,https://openalex.org/I4210149412,China,Second Hospital of Anhui Medical University,,,
Binglin Zhou,1,,https://openalex.org/A5111623070,A5111623070,,Binglin Zhou,"Bing-Lin Zhou, Binglin Zhou, Wengang Li, ZHOU BING-LIN, Zhou Binglin, Zhou, Binglin",31,356,9.642857142857142,11,13,,,,,,,,,,,6,True,True,False,False,China,,,,,,,,,,,,,,,,True,1,2025,Second Affiliated Hospital of Zhejiang University,China,https://openalex.org/I4210147322,China,Shanghai Institute of Microsystem and Information Technology,https://openalex.org/I4210147322,China,Shanghai Institute of Microsystem and Information Technology,,,,https://openalex.org/I4210147322,China,Shanghai Institute of Microsystem and Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I194450716,China,Jilin University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I111599522,China,Jiangnan University,https://openalex.org/I111599522,China,Jiangnan University,https://openalex.org/I98834328,China,Wuyi University,https://openalex.org/I98834328,China,Wuyi University,https://openalex.org/I76569877,China,Southeast University,https://openalex.org/I4210158318,China,Second Affiliated Hospital of Zhejiang University,,,
Bo Pang,2,,https://openalex.org/A5124948549,A5124948549,,Bo Pang,"Bo Pang, Pang, Bo",1,0,0.0,0,0,,,,,,,,,,,0,False,False,False,False,,,,,,,,,,,,,,,,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bofei Gao,2,,https://openalex.org/A5002310167,A5002310167,,Bofei Gao,"Bofei Gao, Gao, Bofei, Yang, Bo",26,32,1.4285714285714286,3,2,,,,,,,,,,,1,True,True,False,False,China,,,,,,,,,,,,,,,,True,1,2025,Peking University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I20231570,China,Peking University,,,,https://openalex.org/I20231570,China,Peking University,,,
