id,author_count,display_name,type,country,city,display_name_acronyms,display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,wikipedia,associated_institutions_children,children_ids,associated_institutions_parent,parent_ids
https://openalex.org/I99065089,35,Tsinghua University,education,China,Beijing,THU,Tsinghua University; 清华大学,362254,31397384,5.65540794951343,1139,448145,http://en.wikipedia.org/wiki/Tsinghua_University,State Key Laboratory on Integrated Optoelectronics; Tsinghua–Berkeley Shenzhen Institute; Collaborative Innovation Center of Quantum Matter; The Synergetic Innovation Center for Advanced Materials; Center for Life Sciences; State Key Laboratory of Precision Testing Technology and Instruments; State Key Laboratory of Water and Sediment Science and Water Conservancy and Hydropower Engineering; State Key Laboratory of Low-Dimensional Quantum Physics; State Key Laboratory of Microwave and Digital Communication Technology; State Key Laboratory of New Ceramics and Fine Processing; State Key Laboratory of Membrane Biology; State Key Laboratory of Automobile Safety and Energy Conservation; State Key Laboratory of Tribology; State Key Laboratory of Power System and Generation Equipment; Beijing Institute of Mathematical Sciences and Applications; International Centre for Engineering Education; Tsinghua Shenzhen International Graduate School,https://openalex.org/I4210091786; https://openalex.org/I4210114105; https://openalex.org/I4210127494; https://openalex.org/I4210159340; https://openalex.org/I4210160507; https://openalex.org/I4391767736; https://openalex.org/I4391767762; https://openalex.org/I4391767819; https://openalex.org/I4391767871; https://openalex.org/I4391767896; https://openalex.org/I4391768054; https://openalex.org/I4391768119; https://openalex.org/I4391768272; https://openalex.org/I4392738191; https://openalex.org/I4403928416; https://openalex.org/I4405255477; https://openalex.org/I4405263052,,
https://openalex.org/I76130692,20,Zhejiang University,education,China,Hangzhou,ZJU,Chekiang University; Zheda; Zhejiang University; 浙江大学,355911,27582071,4.795938577300451,900,493784,http://en.wikipedia.org/wiki/Zhejiang_University,Huzhou Central Hospital; Collaborative Innovation Center of Advanced Microstructures; Zhejiang University-University of Edinburgh Institute; Zhejiang Taizhou Hospital; The Synergetic Innovation Center for Advanced Materials; State Key Laboratory of Modern Optical Instruments; State Key Laboratory of Clean Energy Utilization; State Key Laboratory Fluid Power and Mechatronic Systems; State Key Laboratory of Silicon Materials; State Key Laboratory of Rice Biology; State Key Laboratory of Industrial Control Technology; State Key Laboratory of Computer Aided Design and Graphics; State Key Laboratory of Diagnosis and Treatment of Infectious Diseases; State Key Laboratory of Plant Physiology and Biochemistry; Zhejiang University Robotics Institute,https://openalex.org/I4210105567; https://openalex.org/I4210140493; https://openalex.org/I4210158570; https://openalex.org/I4210158774; https://openalex.org/I4210159340; https://openalex.org/I4391767668; https://openalex.org/I4391767671; https://openalex.org/I4391767679; https://openalex.org/I4391767789; https://openalex.org/I4391767812; https://openalex.org/I4391767838; https://openalex.org/I4391767862; https://openalex.org/I4391768041; https://openalex.org/I4391768222; https://openalex.org/I4405263196,,
https://openalex.org/I881766915,19,Nanjing University,education,China,Nanjing,NJU; NU,Nanjing University; Nanking University; 南京大学,180192,15960239,5.117580984474208,804,268903,http://en.wikipedia.org/wiki/Nanjing_University,State Key Laboratory of Pollution Control and Resource Reuse; Collaborative Innovation Center of Advanced Microstructures; Johns Hopkins University – Nanjing University Center for Chinese and American Studies; State Key Laboratory of Metallogenic Mechanism of Endogenous Metal Deposits; National Laboratory of Solid State Microstructures; State Key Laboratory of Pharmaceutical Biotechnology; State Key Laboratory of New Technology of Computer Software; State Key Laboratory of Analytical Chemistry for Life Science; State Key Laboratory of Modern Coordination Chemistry,https://openalex.org/I4210090489; https://openalex.org/I4210140493; https://openalex.org/I4210162165; https://openalex.org/I4391767641; https://openalex.org/I4391768004; https://openalex.org/I4391768045; https://openalex.org/I4391768078; https://openalex.org/I4391768173; https://openalex.org/I4391768193,,
https://openalex.org/I4210165038,17,University of Chinese Academy of Sciences,education,China,Beijing,UCAS,University of Chinese Academy of Sciences; 中国科学院大学,367415,27994606,5.009715465888337,878,500792,http://en.wikipedia.org/wiki/University_of_the_Chinese_Academy_of_Sciences,International Centre for Theoretical Physics Asia-Pacific; Ningbo No. 2 Hospital; Kavli Institute for Theoretical Sciences,https://openalex.org/I4210101410; https://openalex.org/I4210101660; https://openalex.org/I4210105842,Chinese Academy of Sciences,https://openalex.org/I19820366
https://openalex.org/I90610280,16,South China University of Technology,education,China,Guangzhou,SCUT,Huánán Lǐgōng Dàxué; South China University of Technology; 华南理工大学,147567,10631504,5.223416007798115,560,190783,http://en.wikipedia.org/wiki/South_China_University_of_Technology,South China Institute of Collaborative Innovation; State Key Laboratory of Pulp and Paper Engineering; State Key Laboratory of Luminescent Materials and Devices; State Key Laboratory of Subtropical Building Science,https://openalex.org/I4210157323; https://openalex.org/I4391767828; https://openalex.org/I4391767939; https://openalex.org/I4391768177,,
https://openalex.org/I87445476,15,Xi'an Jiaotong University,education,China,Xi'an,XJTU,Xi'an Jiao Tong University; Xi'an Jiaotong University; Xian Jiaotong University; 西安交通大学,195348,12190458,4.623043410294228,613,250037,http://en.wikipedia.org/wiki/Xi'an_Jiaotong_University,State Key Laboratory of Strength of Metallic Materials; State Key Laboratory of Multiphase Flow in Power Engineering; State Key Laboratory of Mechanical Structure Strength and Vibration; State Key Laboratory of Mechanical Manufacturing System Engineering; State Key Laboratory of Electrical Insulation and Power Equipment,https://openalex.org/I4391767755; https://openalex.org/I4391767999; https://openalex.org/I4391768032; https://openalex.org/I4391768051; https://openalex.org/I4391768273,,
https://openalex.org/I20231570,14,Peking University,education,China,Beijing,PKU,Imperial University of Peking; Peking University; 北京大学,378094,30109743,4.289001030299207,1085,466879,http://en.wikipedia.org/wiki/Peking_University,Beijing Institute of Big Data Research; HKUST Shenzhen Research Institute; Collaborative Innovation Center of Quantum Matter; Center for Life Sciences; State Key Laboratory of Nuclear Physics and Technology; State Key Laboratory of Turbulence and Complex Systems; State Key Laboratory of Artificial Microstructure and Mesoscopic Physics; State Key Laboratory of Protein and Plant Gene Research; State Key Laboratory of Digital Publishing Technology; State Key Laboratory of Membrane Biology; State Key Laboratory of Rare Earth Materials Chemistry and Application; State Key Laboratory of Visual and Auditory Information Processing; State Key Laboratory of Natural and Biomimetic Drugs; State Key Laboratory of Advanced Optical Communication Systems and Networks; The Affiliated High School of Peking University,https://openalex.org/I4210096250; https://openalex.org/I4210096887; https://openalex.org/I4210127494; https://openalex.org/I4210160507; https://openalex.org/I4391767693; https://openalex.org/I4391767778; https://openalex.org/I4391767804; https://openalex.org/I4391767842; https://openalex.org/I4391767988; https://openalex.org/I4391768054; https://openalex.org/I4391768055; https://openalex.org/I4391768100; https://openalex.org/I4391768132; https://openalex.org/I4392021209; https://openalex.org/I4405263327,,
https://openalex.org/I76569877,13,Southeast University,education,China,Nanjing,SEU,Dōngnán Dàxué; Southeast University; 东南大学,152485,8722758,4.6330866555263786,579,173484,http://en.wikipedia.org/wiki/Southeast_University,State Key Laboratory of Digital Medical Engineering; State Key Laboratory of Mobile Communications; State Key Laboratory of Millimeter Waves,https://openalex.org/I4387154005; https://openalex.org/I4391768199; https://openalex.org/I4391768253,,
https://openalex.org/I9842412,12,Nanjing University of Aeronautics and Astronautics,education,China,Nanjing,NUAA,Nanjing Aeronautical Institute; Nanjing College of Aviation Industry; Nanjing University of Aeronautics and Astronautics; 南京航空航天大学,91677,3831507,3.4912918660287082,407,83013,https://en.wikipedia.org/wiki/Nanjing_University_of_Aeronautics_and_Astronautics,State Key Laboratory of Mechanical Structure Mechanics and Control,https://openalex.org/I4391767839,,
https://openalex.org/I74973139,10,Carnegie Mellon University,education,United States,Pittsburgh,CMU,Carnegie Mellon University,153999,15927431,3.588243735828478,1124,164961,http://en.wikipedia.org/wiki/Carnegie_Mellon_University,Software Engineering Institute; Center for the Neural Basis of Cognition; Carnegie Mellon University Qatar; Carnegie Mellon University Australia; Carnegie Mellon University Africa; Advanced Cyberinfrastructure Coordination Ecosystem: Services & Support; Carnegie Mellon Portugal,https://openalex.org/I114772536; https://openalex.org/I4210086114; https://openalex.org/I4210089979; https://openalex.org/I4210091826; https://openalex.org/I4210130200; https://openalex.org/I4387152812; https://openalex.org/I4405255118,,
