id,institution_name,country,direct_author_count,total_author_count,direct_works_count,total_works_count,direct_citations,total_citations,num_children,num_ancestors,has_parent,is_parent
https://openalex.org/I19820366,Chinese Academy of Sciences,China,4,72,999220,2061745,113612529,227566905,166,0,False,True
https://openalex.org/I99065089,Tsinghua University,China,36,38,376723,392202,33412716,35899283,17,0,False,True
https://openalex.org/I76130692,Zhejiang University,China,21,22,370825,375408,29529293,29829101,15,0,False,True
https://openalex.org/I881766915,Nanjing University,China,21,22,186573,187500,16921951,17060554,9,0,False,True
https://openalex.org/I20231570,Peking University,China,15,19,394136,412568,32289165,35413802,15,0,False,True
https://openalex.org/I87445476,Xi'an Jiaotong University,China,16,16,204782,204782,13236094,13236094,5,0,False,True
https://openalex.org/I4210165038,University of Chinese Academy of Sciences,China,16,16,384825,384825,30463848,30463848,3,1,True,True
https://openalex.org/I90610280,South China University of Technology,China,15,15,153974,153974,11335765,11335765,4,0,False,True
https://openalex.org/I9842412,Nanjing University of Aeronautics and Astronautics,China,14,14,95797,95797,4110472,4110472,1,0,False,True
https://openalex.org/I82880672,Beihang University,China,11,12,151684,152018,7800609,7817888,3,0,False,True
https://openalex.org/I76569877,Southeast University,China,11,11,160075,160075,9401322,9401322,3,0,False,True
https://openalex.org/I9224756,Northeastern University,China,11,11,95374,95374,4965795,4965795,2,0,False,True
https://openalex.org/I87780372,Chongqing Medical University,China,9,9,74990,74990,4567447,4567447,0,0,False,False
https://openalex.org/I4210137180,Institute of High Energy Physics,China,9,9,28632,28632,10473202,10473202,5,1,True,True
https://openalex.org/I74973139,Carnegie Mellon University,United States,9,9,158867,158867,16593837,16593837,7,0,False,True
https://openalex.org/I889458895,University of Hong Kong,Hong Kong,9,9,230654,230654,22034689,22034689,2,0,False,True
https://openalex.org/I24185976,Sichuan University,China,6,9,264149,287168,19969012,21748402,5,0,False,True
https://openalex.org/I4210151987,Ministry of Agriculture and Rural Affairs,China,3,8,47956,149247,4075164,13512909,49,1,True,True
https://openalex.org/I183067930,Shanghai Jiao Tong University,China,7,7,367041,367041,28129553,28129553,7,0,False,True
https://openalex.org/I80947539,Fuzhou University,China,6,6,64991,64991,4772975,4772975,0,0,False,False
https://openalex.org/I92403157,University of Science and Technology Beijing,China,6,6,100968,100968,6373300,6373300,2,0,False,True
https://openalex.org/I154099455,Shandong University,China,4,6,199862,212663,14640342,16268474,2,0,False,True
https://openalex.org/I97018004,Stanford University,United States,6,6,528339,528339,87460820,87460820,13,0,False,True
https://openalex.org/I66867065,East China Normal University,China,6,6,84944,84944,5206153,5206153,2,0,False,True
https://openalex.org/I21193070,Beijing Jiaotong University,China,6,6,80838,80838,2806809,2806809,1,0,False,True
https://openalex.org/I55712492,Zhejiang University of Technology,China,6,6,71525,71525,4022129,4022129,2,0,False,True
https://openalex.org/I75900474,Hubei University,China,5,5,35207,35207,1693038,1693038,0,0,False,False
https://openalex.org/I37461747,Wuhan University,China,4,5,226956,228005,17224788,17436278,4,0,False,True
https://openalex.org/I139759216,Beijing University of Posts and Telecommunications,China,5,5,79899,79899,2806986,2806986,2,0,False,True
https://openalex.org/I78978612,Yangzhou University,China,5,5,72001,72001,3950667,3950667,0,0,False,False
https://openalex.org/I86519309,The University of Texas at Austin,United States,5,5,355532,355532,23911567,23911567,7,1,True,True
https://openalex.org/I165932596,National University of Singapore,Singapore,5,5,279477,279477,24971935,24971935,4,0,False,True
https://openalex.org/I4800084,Southwest Jiaotong University,China,5,5,83430,83430,3877568,3877568,2,0,False,True
https://openalex.org/I84653119,Academia Sinica,Taiwan,5,5,36521,36521,1932310,1932310,32,0,False,True
https://openalex.org/I75390827,Beijing University of Chemical Technology,China,5,5,56165,56165,6095152,6095152,1,0,False,True
https://openalex.org/I157773358,Sun Yat-sen University,China,5,5,303755,303755,25319767,25319767,6,0,False,True
https://openalex.org/I78577930,Columbia University,United States,5,5,387038,387038,47451604,47451604,3,0,False,True
https://openalex.org/I24943067,Fudan University,China,5,5,242386,242386,20203437,20203437,9,0,False,True
https://openalex.org/I150229711,University of Electronic Science and Technology of China,China,5,5,144576,144576,7603666,7603666,1,0,False,True
https://openalex.org/I47720641,Huazhong University of Science and Technology,China,5,5,265604,265604,23794943,23794943,7,0,False,True
https://openalex.org/I159948400,Jinan University,China,4,4,71590,71590,4924648,4924648,2,0,False,True
https://openalex.org/I43922553,Wuhan University of Science and Technology,China,4,4,40126,40126,1493519,1493519,0,0,False,False
https://openalex.org/I84218800,"University of California, Davis",United States,4,4,300046,300046,29678644,29678644,2,1,True,True
https://openalex.org/I47689461,Northeast Forestry University,China,4,4,37590,37590,1799405,1799405,1,0,False,True
https://openalex.org/I89652312,Northwest A&F University,China,4,4,63532,63532,6416946,6416946,0,0,False,False
https://openalex.org/I4210138501,Chinese Academy of Agricultural Sciences,China,2,4,91658,100016,8685441,9397757,39,2,True,True
https://openalex.org/I194450716,Jilin University,China,3,4,183761,190348,14615184,15874738,6,0,False,True
https://openalex.org/I9916479,Air Force Medical University,China,4,4,53775,53775,4849377,4849377,1,0,False,True
https://openalex.org/I177725633,Chinese University of Hong Kong,Hong Kong,1,4,197894,219619,17665773,18876382,3,0,False,True
https://openalex.org/I162868743,Tianjin University,China,3,4,170568,185040,12505450,15390827,4,0,False,True
https://openalex.org/I45928872,Alibaba Group (China),China,3,4,6904,10422,454825,676808,2,0,False,True
https://openalex.org/I66946132,"University of Maryland, College Park",United States,4,4,242445,242445,24246427,24246427,8,1,True,True
https://openalex.org/I119454577,Nanjing Agricultural University,China,4,4,69042,69042,6894049,6894049,1,0,False,True
https://openalex.org/I25757504,China University of Mining and Technology,China,4,4,92186,92186,4558419,4558419,2,0,False,True
https://openalex.org/I125839683,Beijing Institute of Technology,China,4,4,139193,139193,7899943,7899943,0,1,True,False
https://openalex.org/I92039509,Guangzhou Medical University,China,4,4,70904,70904,5677085,5677085,0,0,False,False
https://openalex.org/I98227222,China National Petroleum Corporation (China),China,4,4,25322,25322,481795,481795,4,0,False,True
https://openalex.org/I43313876,Dalian Maritime University,China,4,4,33577,33577,1191531,1191531,0,0,False,False
https://openalex.org/I78988378,Renmin University of China,China,4,4,46662,46662,1462798,1462798,0,0,False,False
https://openalex.org/I80143920,Shandong University of Science and Technology,China,4,4,52537,52537,2144292,2144292,0,0,False,False
https://openalex.org/I150807315,Guangxi University,China,4,4,68029,68029,3367707,3367707,1,0,False,True
https://openalex.org/I83519826,Nanjing Medical University,China,4,4,108734,108734,8353968,8353968,1,0,False,True
https://openalex.org/I158842170,Chongqing University,China,4,4,141637,141637,8292559,8292559,3,0,False,True
https://openalex.org/I4210159876,Institute of Physics,China,1,3,37162,42230,5098965,5943942,3,1,True,True
https://openalex.org/I91125648,Wuhan Institute of Technology,China,3,3,23636,23636,1002620,1002620,0,0,False,False
https://openalex.org/I74872605,China Southern Power Grid (China),China,3,3,22994,22994,227937,227937,0,0,False,False
https://openalex.org/I52357470,The Ohio State University,United States,3,3,371818,371818,29164426,29164426,8,1,True,True
https://openalex.org/I52158045,China Agricultural University,China,3,3,98098,98098,9002696,9002696,3,0,False,True
https://openalex.org/I25254941,Beijing Normal University,China,3,3,119281,119281,6655029,6655029,2,0,False,True
https://openalex.org/I39333907,Yanshan University,China,3,3,41146,41146,2022583,2022583,1,0,False,True
https://openalex.org/I74485261,Shandong Agricultural University,China,3,3,29698,29698,2275192,2275192,1,0,False,True
https://openalex.org/I111599522,Jiangnan University,China,1,3,75417,97923,5565751,8789478,1,0,False,True
https://openalex.org/I95457486,"University of California, Berkeley",United States,3,3,450917,450917,56376476,56376476,11,1,True,True
https://openalex.org/I153473198,North China Electric Power University,China,3,3,88514,88514,3364967,3364967,2,0,False,True
https://openalex.org/I191208505,Xiamen University,China,3,3,119542,119542,9580194,9580194,3,0,False,True
https://openalex.org/I139660479,Central South University,China,2,3,255062,256380,18808671,19051843,2,0,False,True
https://openalex.org/I4210134769,University of Pittsburgh Medical Center,United States,2,3,52663,72646,5169025,7110727,12,1,True,True
https://openalex.org/I4210112946,Shanghai Institute of Organic Chemistry,China,2,3,22647,23296,2273972,2348720,4,1,True,True
https://openalex.org/I31683504,Beijing Forestry University,China,3,3,44007,44007,2344445,2344445,0,1,True,False
https://openalex.org/I23171815,Zhengzhou University of Light Industry,China,3,3,16826,16826,758702,758702,0,0,False,False
https://openalex.org/I102322142,"Rutgers, The State University of New Jersey",United States,3,3,251767,251767,21545589,21545589,4,0,False,True
https://openalex.org/I126520041,University of Science and Technology of China,China,3,3,208234,208234,23040299,23040299,7,1,True,True
https://openalex.org/I27357992,Dalian University of Technology,China,3,3,139082,139082,9539413,9539413,5,0,False,True
https://openalex.org/I4210131271,Institute of Modern Physics,China,3,3,18826,18826,1098603,1098603,0,1,True,False
https://openalex.org/I4210116924,"Chinese University of Hong Kong, Shenzhen",China,3,3,21725,21725,1210609,1210609,0,2,True,False
https://openalex.org/I202126657,Qufu Normal University,China,3,3,23603,23603,871555,871555,0,0,False,False
https://openalex.org/I4210143608,Henan Cancer Hospital,China,3,3,10625,10625,436627,436627,0,0,False,False
https://openalex.org/I168719708,City University of Hong Kong,Hong Kong,3,3,116487,116487,8026927,8026927,2,0,False,True
https://openalex.org/I78757542,University of Newcastle Australia,Australia,3,3,77989,77989,5290862,5290862,2,0,False,True
https://openalex.org/I4210125143,Chengdu University,China,3,3,32329,32329,1842274,1842274,0,0,False,False
https://openalex.org/I139024713,Guangdong University of Technology,China,3,3,58795,58795,3223120,3223120,0,0,False,False
https://openalex.org/I867280407,The University of Texas Southwestern Medical Center,United States,3,3,144311,144311,21717044,21717044,3,1,True,True
https://openalex.org/I113940042,Shanghai University,China,3,3,100613,100613,5150833,5150833,0,0,False,False
https://openalex.org/I148128674,University of Shanghai for Science and Technology,China,3,3,46680,46680,2033289,2033289,0,0,False,False
https://openalex.org/I3124059619,China University of Geosciences,China,3,3,67809,67809,3927929,3927929,2,0,False,True
https://openalex.org/I37796252,Beijing University of Technology,China,3,3,80573,80573,3847098,3847098,1,0,False,True
https://openalex.org/I58200834,Southern Medical University,China,3,3,87949,87949,6276007,6276007,0,0,False,False
https://openalex.org/I44675526,Shanghai Ocean University,China,3,3,31545,31545,1161334,1161334,0,0,False,False
https://openalex.org/I4210089761,West China Hospital of Sichuan University,China,3,3,75201,75201,4081712,4081712,0,0,False,False
https://openalex.org/I4210135349,Shanghai Institute of Optics and Fine Mechanics,China,2,2,16097,16097,817819,817819,1,1,True,True
https://openalex.org/I63966007,Massachusetts Institute of Technology,United States,2,2,348190,348190,64835086,64835086,15,0,False,True
https://openalex.org/I4391768055,State Key Laboratory of Rare Earth Materials Chemistry and Application,China,2,2,2953,2953,638070,638070,0,1,True,False
https://openalex.org/I90149893,China Earthquake Administration,China,2,2,18989,18989,595401,595401,9,0,False,True
https://openalex.org/I24201400,Chengdu University of Information Technology,China,2,2,18853,18853,426580,426580,0,0,False,False
https://openalex.org/I4210156571,Collaborative Innovation Center of Chemistry for Energy Materials,China,2,2,13660,13660,4041005,4041005,0,0,False,False
https://openalex.org/I76214153,Lanzhou University,China,2,2,107689,107689,7593082,7593082,2,0,False,True
https://openalex.org/I4210103863,Affiliated Hospital of Hangzhou Normal University,China,2,2,3691,3691,198606,198606,0,0,False,False
https://openalex.org/I75867142,Xiamen University of Technology,China,2,2,21203,21203,709515,709515,0,0,False,False
https://openalex.org/I20089843,Princeton University,United States,2,2,212337,212337,27124516,27124516,3,0,False,True
https://openalex.org/I4210106541,Chengdu Organic Chemicals (China),China,2,2,3426,3426,299028,299028,0,0,False,False
https://openalex.org/I4210160793,Institute of Geographic Sciences and Natural Resources Research,China,2,2,33826,33826,2566884,2566884,1,1,True,True
https://openalex.org/I4210159865,Xiangya Hospital Central South University,China,2,2,38869,38869,3034694,3034694,0,0,False,False
https://openalex.org/I4210164862,Artificial Intelligence in Medicine (Canada),Canada,2,2,9920,9920,219493,219493,0,0,False,False
https://openalex.org/I5740404,Tianjin Medical University,China,2,2,51569,51569,2415043,2415043,0,0,False,False
https://openalex.org/I55022517,Heilongjiang University,China,2,2,21817,21817,1320233,1320233,0,0,False,False
https://openalex.org/I96673099,Technical University of Denmark,Denmark,2,2,150167,150167,12078311,12078311,2,0,False,True
https://openalex.org/I4210164793,National Laboratory for Superconductivity,China,2,2,5068,5068,844977,844977,0,2,True,False
https://openalex.org/I4210160507,Center for Life Sciences,China,2,2,15479,15479,2486567,2486567,0,2,True,False
https://openalex.org/I4210146235,Yan'an Hospital Affiliated To Kunming Medical University,China,2,2,2091,2091,39218,39218,0,0,False,False
https://openalex.org/I87182695,Universidad del Noreste,Mexico,2,2,27182,27182,461029,461029,0,0,False,False
https://openalex.org/I115592961,Jiangsu University,China,2,2,97079,97079,7176624,7176624,0,0,False,False
https://openalex.org/I15062923,Tianjin Normal University,China,2,2,15442,15442,540445,540445,0,0,False,False
https://openalex.org/I3017480383,Southwest Medical University,China,2,2,16455,16455,722482,722482,0,0,False,False
https://openalex.org/I91935597,University of South China,China,2,2,32351,32351,1409267,1409267,0,0,False,False
https://openalex.org/I143804889,Loughborough University,United Kingdom,2,2,91145,91145,3753491,3753491,1,0,False,True
https://openalex.org/I899859998,Qiqihar Medical University,China,2,2,5190,5190,157656,157656,0,0,False,False
https://openalex.org/I4210147322,Shanghai Institute of Microsystem and Information Technology,China,2,2,13865,13865,902520,902520,2,1,True,True
https://openalex.org/I4210106882,Wuhan Institute of Virology,China,1,2,6148,7197,1693418,1904908,1,1,True,True
https://openalex.org/I4750791,Henan Agricultural University,China,2,2,25153,25153,1313945,1313945,0,0,False,False
https://openalex.org/I4210145324,Hôpitaux Universitaires de Strasbourg,France,1,2,16700,24683,962441,1400879,2,0,False,True
https://openalex.org/I1336053918,Ochsner Health System,United States,1,2,3481,15257,176213,905314,3,0,False,True
https://openalex.org/I170201317,University of Pittsburgh,United States,1,2,296679,313659,33964129,36991380,7,0,False,True
https://openalex.org/I136199984,Harvard University,United States,1,2,704074,711022,143964651,146213339,17,0,False,True
