Author Position,Author ID,Author Name,ORCID,Is Corresponding,Raw Author Name,Affiliations
first,,"Patwardhan, Tejal",,True,"Patwardhan, Tejal",
middle,,"Dias, Rachel",,False,"Dias, Rachel",
middle,,"Proehl, Elizabeth",,False,"Proehl, Elizabeth",
middle,,"Kim, Grace",,False,"Kim, Grace",
middle,,"Wang, Michele",,False,"Wang, Michele",
middle,,"Watkins, Olivia",,False,"Watkins, Olivia",
middle,,"Fishman, Simón Posada",,False,"Fishman, Simón Posada",
middle,,"Aljubeh, Marwan",,False,"Aljubeh, Marwan",
middle,,"Thacker, Phoebe",,False,"Thacker, Phoebe",
middle,,"Fauconnet, Laurance",,False,"Fauconnet, Laurance",
middle,,"Kim, Natalie S.",,False,"Kim, Natalie S.",
middle,,"Chao, Patrick",,False,"Chao, Patrick",
middle,,"Miserendino, Samuel",,False,"Miserendino, Samuel",
middle,,"Chabot, Gildas",,False,"Chabot, Gildas",
middle,,"Li, David",,False,"Li, David",
middle,,"Sharman, Michael",,False,"Sharman, Michael",
middle,,"Barr, Alexandra",,False,"Barr, Alexandra",
middle,,"Glaese, Amelia",,False,"Glaese, Amelia",
last,,"Tworek, Jerry",,False,"Tworek, Jerry",
