Author,OA_ID,unique_affiliation_count,all_china,some_china,some_usa,all_usa,all_countries,affiliation_display_name_2026,affiliation_id_2026,affiliation_country_2026,affiliation_display_name_2025,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2024,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2023,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2022,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2021,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2020,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2019,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2018,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2017,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2016,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2015,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2014,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2013,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2012,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2011,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2010,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2009,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2008,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2007,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2006,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2005,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2004,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2003,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2002,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2001,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2000,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_1999,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1998,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1997,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1996,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1995,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1994,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1993,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1992,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1991,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1990,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1989,affiliation_id_1989,affiliation_country_1989,affiliation_display_name_1988,affiliation_id_1988,affiliation_country_1988,affiliation_display_name_1987,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1986,affiliation_id_1986,affiliation_country_1986,affiliation_display_name_1985,affiliation_id_1985,affiliation_country_1985,affiliation_display_name_1984,affiliation_id_1984,affiliation_country_1984,affiliation_display_name_1983,affiliation_id_1983,affiliation_country_1983,affiliation_display_name_1982,affiliation_id_1982,affiliation_country_1982,affiliation_display_name_1981,affiliation_id_1981,affiliation_country_1981,affiliation_display_name_1980,affiliation_id_1980,affiliation_country_1980,affiliation_display_name_1979,affiliation_id_1979,affiliation_country_1979,affiliation_display_name_1978,affiliation_id_1978,affiliation_country_1978,affiliation_display_name_1977,affiliation_id_1977,affiliation_country_1977,affiliation_display_name_1976,affiliation_id_1976,affiliation_country_1976,affiliation_display_name_1975,affiliation_id_1975,affiliation_country_1975,affiliation_display_name_1974,affiliation_id_1974,affiliation_country_1974,affiliation_display_name_1973,affiliation_id_1973,affiliation_country_1973,affiliation_display_name_1972,affiliation_id_1972,affiliation_country_1972,affiliation_display_name_1971,affiliation_id_1971,affiliation_country_1971,affiliation_display_name_1970,affiliation_id_1970,affiliation_country_1970,affiliation_display_name_1969,affiliation_id_1969,affiliation_country_1969,affiliation_display_name_1968,affiliation_id_1968,affiliation_country_1968,affiliation_display_name_1967,affiliation_id_1967,affiliation_country_1967,affiliation_display_name_1966,affiliation_id_1966,affiliation_country_1966,affiliation_display_name_1965,affiliation_id_1965,affiliation_country_1965,affiliation_display_name_1964,affiliation_id_1964,affiliation_country_1964,affiliation_display_name_1963,affiliation_id_1963,affiliation_country_1963,affiliation_display_name_1962,affiliation_id_1962,affiliation_country_1962,affiliation_display_name_1961,affiliation_id_1961,affiliation_country_1961,affiliation_display_name_1960,affiliation_id_1960,affiliation_country_1960,affiliation_display_name_1959,affiliation_id_1959,affiliation_country_1959,affiliation_display_name_1957,affiliation_id_1957,affiliation_country_1957,affiliation_display_name_1955,affiliation_id_1955,affiliation_country_1955,affiliation_display_name_1954,affiliation_id_1954,affiliation_country_1954,affiliation_display_name_1937,affiliation_id_1937,affiliation_country_1937,affiliation_display_name_1936,affiliation_id_1936,affiliation_country_1936,affiliation_display_name_1934,affiliation_id_1934,affiliation_country_1934,affiliation_display_name_1923,affiliation_id_1923,affiliation_country_1923,affiliation_display_name_1922,affiliation_id_1922,affiliation_country_1922,affiliation_display_name_1921,affiliation_id_1921,affiliation_country_1921,affiliation_display_name_1918,affiliation_id_1918,affiliation_country_1918,affiliation_display_name_1900,affiliation_id_1900,affiliation_country_1900,affiliation_display_name_1833,affiliation_id_1833,affiliation_country_1833,affiliation_display_name_1815,affiliation_id_1815,affiliation_country_1815,affiliation_display_name_1542,affiliation_id_1542,affiliation_country_1542
A Mc Cann,A5110132887,1,False,False,False,False,Ireland,,,,,,,,,,University College Dublin,https://openalex.org/I100930933,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University College Dublin,https://openalex.org/I100930933,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Chow,A5015156321,9,False,False,True,False,Canada; United Kingdom; United States,University of Alberta,https://openalex.org/I154425047,Canada,University of Alberta,https://openalex.org/I154425047,Canada,University of Alberta,https://openalex.org/I154425047,Canada,University of Alberta,https://openalex.org/I154425047,Canada,University of Alberta,https://openalex.org/I154425047,Canada,University of Alberta,https://openalex.org/I154425047,Canada,University of Alberta,https://openalex.org/I154425047,Canada,University of Alberta,https://openalex.org/I154425047,Canada,,,,University of Alberta,https://openalex.org/I154425047,Canada,,,,,,,University of Alberta,https://openalex.org/I154425047,Canada,,,,Children's Hospital of Philadelphia,https://openalex.org/I1335321130,United States,University of Alberta,https://openalex.org/I154425047,Canada,University of Alberta,https://openalex.org/I154425047,Canada,Pediatrics and Genetics,https://openalex.org/I4210147155,United States,,,,University of Alberta,https://openalex.org/I154425047,Canada,Imperial College London,https://openalex.org/I47508984,United Kingdom,,,,Ludwig Cancer Research,https://openalex.org/I4210150094,United States,,,,,,,,,,University of Manitoba,https://openalex.org/I46247651,Canada,University of Manitoba,https://openalex.org/I46247651,Canada,,,,University of Manitoba,https://openalex.org/I46247651,Canada,University of Manitoba,https://openalex.org/I46247651,Canada,University of Manitoba,https://openalex.org/I46247651,Canada,,,,University of Manitoba,https://openalex.org/I46247651,Canada,University of Manitoba,https://openalex.org/I46247651,Canada,,,,University of Manitoba,https://openalex.org/I46247651,Canada,,,,,,,,,,Royal Military College of Canada,https://openalex.org/I51768193,Canada,,,,University of Manitoba,https://openalex.org/I46247651,Canada,University of Manitoba,https://openalex.org/I46247651,Canada,,,,University of Manitoba,https://openalex.org/I46247651,Canada,University of Manitoba,https://openalex.org/I46247651,Canada,University of Manitoba,https://openalex.org/I46247651,Canada,University of Manitoba,https://openalex.org/I46247651,Canada,University of Manitoba,https://openalex.org/I46247651,Canada,University of Manitoba,https://openalex.org/I46247651,Canada,University of Manitoba,https://openalex.org/I46247651,Canada,University of Manitoba,https://openalex.org/I46247651,Canada,University of Manitoba,https://openalex.org/I46247651,Canada,University of Manitoba,https://openalex.org/I46247651,Canada,University of Winnipeg,https://openalex.org/I872945872,Canada,,,,,,,,,,University of Toronto,https://openalex.org/I185261750,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. M. Hurst,A5083741262,5,False,False,True,False,Germany; United Kingdom; United States,,,,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,United States,"University of California, Berkeley",https://openalex.org/I95457486,United States,"University of California, Berkeley",https://openalex.org/I95457486,United States,"University of California, Berkeley",https://openalex.org/I95457486,United States,"University of California, Berkeley",https://openalex.org/I95457486,United States,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,United States,"University of California, Berkeley",https://openalex.org/I95457486,United States,"University of California, Berkeley",https://openalex.org/I95457486,United States,"University of California, Berkeley",https://openalex.org/I95457486,United States,"University of California, Berkeley",https://openalex.org/I95457486,United States,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,United States,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,United States,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,United States,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,United States,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,United States,University of Liverpool,https://openalex.org/I146655781,United Kingdom,ChromaDex (United States),https://openalex.org/I4210151472,United States,University of Liverpool,https://openalex.org/I146655781,United Kingdom,University of Liverpool,https://openalex.org/I146655781,United Kingdom,University of Liverpool,https://openalex.org/I146655781,United Kingdom,University of Liverpool,https://openalex.org/I146655781,United Kingdom,Technical University of Darmstadt,https://openalex.org/I31512782,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.M. Low,A5072489424,1,False,False,False,False,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,McMaster University,https://openalex.org/I98251732,Canada,McMaster University,https://openalex.org/I98251732,Canada,McMaster University,https://openalex.org/I98251732,Canada,McMaster University,https://openalex.org/I98251732,Canada,,,,McMaster University,https://openalex.org/I98251732,Canada,McMaster University,https://openalex.org/I98251732,Canada,McMaster University,https://openalex.org/I98251732,Canada,McMaster University,https://openalex.org/I98251732,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Ostrow,A5114628488,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jaech,A5115637748,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Fry,A5122315460,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam J. Richardson,A5085511450,5,False,False,False,False,Australia; Ireland; South Africa,,,,,,,,,,Commonwealth Scientific and Industrial Research Organisation,https://openalex.org/I1292875679,Australia,,,,,,,,,,,,,,,,,,,,,,La Trobe University,https://openalex.org/I196829312,Australia,,,,,,,Murray Darling Basin Authority,https://openalex.org/I98222981,Australia,,,,La Trobe University,https://openalex.org/I196829312,Australia,,,,,,,,,,Murray Darling Basin Authority,https://openalex.org/I98222981,Australia,,,,Schlumberger (Ireland),https://openalex.org/I4210108542,Ireland,Murray Darling Basin Authority,https://openalex.org/I98222981,Australia,,,,,,,University of the Western Cape,https://openalex.org/I869660684,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Lerer,A5029862712,5,False,False,True,False,Israel; United States,,,,,,,OpenAI (United States),https://openalex.org/I4210161460,United States,Meta (United States),https://openalex.org/I4210114444,United States,Meta (Israel),https://openalex.org/I2252078561,Israel,Meta (United States),https://openalex.org/I4210114444,United States,Meta (Israel),https://openalex.org/I2252078561,Israel,Meta (United States),https://openalex.org/I4210114444,United States,Meta (United States),https://openalex.org/I4210114444,United States,Meta (Israel),https://openalex.org/I2252078561,Israel,Meta (Israel),https://openalex.org/I2252078561,Israel,,,,D. E. Shaw Research,https://openalex.org/I2799548008,United States,D. E. Shaw Research,https://openalex.org/I2799548008,United States,,,,,,,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam P. Goucher,A5022158374,4,False,False,True,False,United Kingdom; United States,,,,OpenAI (United States),https://openalex.org/I4210161460,United States,Film Independent,https://openalex.org/I4210121988,United States,,,,,,,University of Cambridge,https://openalex.org/I241749,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chesterfield College,https://openalex.org/I2802046418,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
