Author Position,Author ID,Author Name,ORCID,Is Corresponding,Raw Author Name,Affiliations
first,https://openalex.org/A5054034251,OpenAI,,False,OpenAI,
middle,https://openalex.org/A9999999999,NULL AUTHOR_ID,,False,:,
middle,https://openalex.org/A5083741262,A. M. Hurst,https://orcid.org/0000-0001-8183-8187,False,"Hurst, Aaron",
middle,https://openalex.org/A5029862712,Adam Lerer,https://orcid.org/0000-0002-5216-6542,False,"Lerer, Adam",
middle,https://openalex.org/A5022158374,Adam P. Goucher,https://orcid.org/0000-0002-2532-6950,False,"Goucher, Adam P.",
middle,https://openalex.org/A5114628475,Adam Perelman,,False,"Perelman, Adam",
middle,https://openalex.org/A5101696375,Aditya Ramesh,https://orcid.org/0000-0001-5984-8282,False,"Ramesh, Aditya",
middle,https://openalex.org/A5029924588,Aidan Clark,,False,"Clark, Aidan",
middle,https://openalex.org/A5114628488,AJ Ostrow,,False,"Ostrow, AJ",
middle,https://openalex.org/A5114628351,Akila Welihinda,,False,"Welihinda, Akila",
middle,https://openalex.org/A5090997714,Alan Hayes,https://orcid.org/0000-0003-1398-3694,False,"Hayes, Alan",
middle,https://openalex.org/A5051250767,Alec Radford,,False,"Radford, Alec",
middle,https://openalex.org/A5032574693,Aleksander Mądry,,False,"Mądry, Aleksander",
middle,https://openalex.org/A5114628365,Alex Baker-Whitcomb,,False,"Baker-Whitcomb, Alex",
middle,https://openalex.org/A5080988309,Alex Beutel,https://orcid.org/0000-0002-5917-2849,False,"Beutel, Alex",
middle,https://openalex.org/A5114628372,Alex Borzunov,,False,"Borzunov, Alex",
middle,https://openalex.org/A5114628374,Alex Carney,,False,"Carney, Alex",
middle,https://openalex.org/A5015156321,A. Chow,https://orcid.org/0000-0002-1972-0310,False,"Chow, Alex",
middle,https://openalex.org/A5049039836,Alex Kirillov,,False,"Kirillov, Alex",
middle,https://openalex.org/A5058076181,Alex Nichol,,False,"Nichol, Alex",
middle,https://openalex.org/A5080211309,Alex Paino,,False,"Paino, Alex",
middle,https://openalex.org/A5114628384,Alex Renzin,,False,"Renzin, Alex",
middle,https://openalex.org/A5114628389,Alex Tachard Passos,,False,"Passos, Alex Tachard",
middle,https://openalex.org/A5008626158,Alexander M. Kirillov,https://orcid.org/0000-0002-2052-5280,False,"Kirillov, Alexander",
middle,https://openalex.org/A5114628397,Alexi Christakis,,False,"Christakis, Alexi",
middle,https://openalex.org/A5068394403,Alexis Conneau,,False,"Conneau, Alexis",
middle,https://openalex.org/A5087777101,Ali Reza Kamali,https://orcid.org/0000-0002-2849-8547,False,"Kamali, Ali",
middle,https://openalex.org/A5081649142,Allan Jabri,,False,"Jabri, Allan",
middle,https://openalex.org/A5073839779,Allison Moyer,https://orcid.org/0000-0001-5948-2858,False,"Moyer, Allison",
middle,https://openalex.org/A5038979833,Allison Tam,https://orcid.org/0000-0001-6940-9240,False,"Tam, Allison",
middle,https://openalex.org/A5114628420,Amadou Crookes,,False,"Crookes, Amadou",
middle,https://openalex.org/A5114628425,Amin Tootoochian,,False,"Tootoochian, Amin",
middle,https://openalex.org/A5114628429,Amin Tootoonchian,,False,"Tootoonchian, Amin",
middle,https://openalex.org/A5014379995,Ananya Kumar,https://orcid.org/0000-0002-9002-510X,False,"Kumar, Ananya",
middle,https://openalex.org/A5114628436,Andrea Vallone,,False,"Vallone, Andrea",
middle,https://openalex.org/A5114628442,Andrej Karpathy,,False,"Karpathy, Andrej",
middle,https://openalex.org/A5114628447,Andrew Braunstein,,False,"Braunstein, Andrew",
middle,https://openalex.org/A5110132887,A Mc Cann,,False,"Cann, Andrew",
middle,https://openalex.org/A5114628457,Andrew Codispoti,,False,"Codispoti, Andrew",
middle,https://openalex.org/A5114628462,Andrew Galu,,False,"Galu, Andrew",
middle,https://openalex.org/A5114628466,Andrew Kondrich,,False,"Kondrich, Andrew",
middle,https://openalex.org/A5004459350,Andrew Tulloch,,False,"Tulloch, Andrew",
