Author,OA_ID,unique_affiliation_count,affiliation-2025,ID-2025,affiliation-2024,ID-2024,affiliation-2023,ID-2023,affiliation-2022,ID-2022,affiliation-2021,ID-2021,affiliation-2020,ID-2020,affiliation-2019,ID-2019,affiliation-2018,ID-2018,affiliation-2017,ID-2017,affiliation-2016,ID-2016,affiliation-2015,ID-2015,affiliation-2014,ID-2014,affiliation-2013,ID-2013,affiliation-2012,ID-2012,affiliation-2011,ID-2011,affiliation-2010,ID-2010,affiliation-2009,ID-2009,affiliation-2008,ID-2008,affiliation-2007,ID-2007,affiliation-2006,ID-2006,affiliation-2005,ID-2005,affiliation-2004,ID-2004,affiliation-2003,ID-2003,affiliation-2002,ID-2002,affiliation-2001,ID-2001,affiliation-2000,ID-2000,affiliation-1999,ID-1999,affiliation-1997,ID-1997,affiliation-1994,ID-1994,affiliation-1993,ID-1993,affiliation-1989,ID-1989
Wenfeng Liang,A5009435651,6,,,Health First,https://openalex.org/I4210091245,Guangdong Urban & Rural Planning and Design Institute,https://openalex.org/I4210120309,University of Akron,https://openalex.org/I110152177,China Academy of Engineering Physics,https://openalex.org/I2801345734,China Academy of Engineering Physics,https://openalex.org/I2801345734,University of Akron,https://openalex.org/I110152177,University of Akron,https://openalex.org/I110152177,University of Akron,https://openalex.org/I110152177,University of Akron,https://openalex.org/I110152177,University of Akron,https://openalex.org/I110152177,China Academy of Engineering Physics,https://openalex.org/I2801345734,China Academy of Engineering Physics,https://openalex.org/I2801345734,Shenyang Institute of Automation,https://openalex.org/I142078773,Shenyang Institute of Automation,https://openalex.org/I142078773,Chinese Academy of Sciences,https://openalex.org/I19820366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chong Ruan,A5019374810,1,,,,,Chang'an University,https://openalex.org/I25355098,Chang'an University,https://openalex.org/I25355098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huazuo Gao,A5102602497,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhenda Xie,A5007043113,7,,,Taizhou University,https://openalex.org/I82760581,Union Hospital,https://openalex.org/I4210163933,Tsinghua University,https://openalex.org/I99065089,Optica,https://openalex.org/I59499333,"University of California, Los Angeles",https://openalex.org/I161318765,Optica,https://openalex.org/I59499333,"University of California, Los Angeles",https://openalex.org/I161318765,Optica,https://openalex.org/I59499333,"University of California, Los Angeles",https://openalex.org/I161318765,Optica,https://openalex.org/I59499333,Optica,https://openalex.org/I59499333,,,Nanjing University,https://openalex.org/I881766915,,,,,National Laboratory of Solid State Microstructures,https://openalex.org/I4391768004,,,National Laboratory of Solid State Microstructures,https://openalex.org/I4391768004,,,,,,,,,,,,,,,,,,,,,,,,
Junxiao Song,A5008686458,3,,,,,Qingdao University,https://openalex.org/I108688024,,,,,,,,,,,,,University of Hong Kong,https://openalex.org/I889458895,University of Hong Kong,https://openalex.org/I889458895,University of Hong Kong,https://openalex.org/I889458895,University of Hong Kong,https://openalex.org/I889458895,,,,,,,,,,,,,Korea Aerospace University,https://openalex.org/I24456540,,,,,,,,,,,,,,,,,,,,,,
Jiashi Li,A5014851555,9,,,Taiyuan University of Technology,https://openalex.org/I9086337,Zhejiang Gongshang University,https://openalex.org/I75059550,"University of California, Santa Barbara",https://openalex.org/I154570441,Beijing University of Posts and Telecommunications,https://openalex.org/I139759216,,,Shanxi University,https://openalex.org/I181877577,,,,,,,,,,,,,,,,,East China University of Science and Technology,https://openalex.org/I143593769,East China University of Science and Technology,https://openalex.org/I143593769,,,,,,,,,,,,,,,Beijing University of Chinese Medicine,https://openalex.org/I17747738,Hoshi University,https://openalex.org/I36296616,Hoshi University,https://openalex.org/I36296616,Beijing Hospital of Traditional Chinese Medicine,https://openalex.org/I4210148966,,,,,,
Kang Guan,A5017301651,8,Yanshan University,https://openalex.org/I39333907,China University of Geosciences,https://openalex.org/I3124059619,South China University of Technology,https://openalex.org/I90610280,South China University of Technology,https://openalex.org/I90610280,Gansu Provincial Hospital,https://openalex.org/I4210114785,Yanshan University,https://openalex.org/I39333907,South China University of Technology,https://openalex.org/I90610280,South China Botanical Garden,https://openalex.org/I4210120696,The 309th Hospital of Chinese People's Liberation Army,https://openalex.org/I4210144506,South China University of Technology,https://openalex.org/I90610280,,,Chinese Academy of Sciences,https://openalex.org/I19820366,,,China National Petroleum Corporation (China),https://openalex.org/I98227222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuli Luo,A5019525050,5,,,Hunan University of Technology,https://openalex.org/I49934816,Alibaba Group (China),https://openalex.org/I45928872,Jiangxi University of Traditional Chinese Medicine,https://openalex.org/I10899854,Peking University,https://openalex.org/I20231570,Guangxi University,https://openalex.org/I150807315,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damai Dai,A5020456783,4,,,,,Tsinghua University,https://openalex.org/I99065089,Microsoft Research (India),https://openalex.org/I4210124949,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,Peng Cheng Laboratory,https://openalex.org/I4210136793,Peking University,https://openalex.org/I20231570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deli Chen,A5028794611,4,,,Xi'an Jiaotong University,https://openalex.org/I87445476,Shandong Academy of Sciences,https://openalex.org/I4210142748,Agriculture and Food,https://openalex.org/I4210138055,Agriculture and Food,https://openalex.org/I4210138055,Agriculture and Food,https://openalex.org/I4210138055,Agriculture and Food,https://openalex.org/I4210138055,Agriculture and Food,https://openalex.org/I4210138055,Agriculture and Food,https://openalex.org/I4210138055,University of Melbourne,https://openalex.org/I165779595,University of Melbourne,https://openalex.org/I165779595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhewen Hao,A5039093405,1,,,,,,,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qihao Zhu,A5047271595,5,,,Singapore University of Technology and Design,https://openalex.org/I152815399,Singapore University of Technology and Design,https://openalex.org/I152815399,Hubei University of Education,https://openalex.org/I4210154851,Peking University,https://openalex.org/I20231570,Institute of Software,https://openalex.org/I4210128818,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,,,,,Carnegie Mellon University,https://openalex.org/I74973139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peking University,https://openalex.org/I20231570,,
Shirong Ma,A5057030499,6,,,Tsinghua University,https://openalex.org/I99065089,University Town of Shenzhen,https://openalex.org/I3131625388,Tsinghua University,https://openalex.org/I99065089,,,,,Air Force Medical University,https://openalex.org/I9916479,Xijing Hospital,https://openalex.org/I4210158926,,,Air Force Medical University,https://openalex.org/I9916479,,,Air Force Medical University,https://openalex.org/I9916479,Xijing Hospital,https://openalex.org/I4210158926,,,Air Force Medical University,https://openalex.org/I9916479,,,Air Force Medical University,https://openalex.org/I9916479,Jiaxing University,https://openalex.org/I4210092870,Xijing Hospital,https://openalex.org/I4210158926,Northwest Normal University,https://openalex.org/I68986083,,,,,,,,,,,,,,,,,,,,,,
Peiyi Wang,A5058808692,4,Boston College,https://openalex.org/I103531236,Zhengzhou University of Light Industry,https://openalex.org/I23171815,Beijing Forestry University,https://openalex.org/I31683504,Guizhou University,https://openalex.org/I178232147,Beijing Forestry University,https://openalex.org/I31683504,Guizhou University,https://openalex.org/I178232147,Guizhou University,https://openalex.org/I178232147,Guizhou University,https://openalex.org/I178232147,Guizhou University,https://openalex.org/I178232147,Guizhou University,https://openalex.org/I178232147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daya Guo,A5060364305,4,,,Sun Yat-sen University,https://openalex.org/I157773358,Sun Yat-sen University,https://openalex.org/I157773358,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,Rensselaer Polytechnic Institute,https://openalex.org/I165799507,Harbin Institute of Technology,https://openalex.org/I204983213,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,Sun Yat-sen University,https://openalex.org/I157773358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wenjun Gao,A5076999126,5,Chongqing Jiaotong University,https://openalex.org/I63371133,Southwest Jiaotong University,https://openalex.org/I4800084,Merchants Chongqing Communications Research and Design Institute,https://openalex.org/I4210107248,,,Changchun University of Science and Technology,https://openalex.org/I106645853,Tongji University,https://openalex.org/I116953780,Changchun University of Science and Technology,https://openalex.org/I106645853,Tongji University,https://openalex.org/I116953780,,,,,Tongji University,https://openalex.org/I116953780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenggang Zhao,A5079470006,2,,,Qingdao University of Science and Technology,https://openalex.org/I143413998,,,,,,,Xi'an University of Science and Technology,https://openalex.org/I110440473,Xi'an University of Science and Technology,https://openalex.org/I110440473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chengqi Deng,A5084839131,1,,,,,Dalian Maritime University,https://openalex.org/I43313876,Dalian Maritime University,https://openalex.org/I43313876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiao Bi,A5091346174,2,,,,,,,,,,,,,,,,,Rongcheng City People's Hospital,https://openalex.org/I4210147206,,,,,,,,,,,,,,,,,,,,,,,,,,,Tianjin Municipal Research Institute for Family Planning,https://openalex.org/I4210147961,,,,,,,,,,,,,,,,
Yanhong Xu,A5100612566,5,,,Fujian Medical University,https://openalex.org/I129708740,,,Civil Aviation University of China,https://openalex.org/I28813325,,,,,,,,,,,,,,,,,,,,,,,Yan'an University,https://openalex.org/I4210102412,Shanxi University of Finance and Economics,https://openalex.org/I170751988,,,,,,,,,,,Southwest Forestry University,https://openalex.org/I25399270,,,,,,,,,,,,,,,,
Yaohui Wang,A5100672230,5,,,Shanghai Artificial Intelligence Laboratory,https://openalex.org/I4391012619,China West Normal University,https://openalex.org/I16351329,China West Normal University,https://openalex.org/I16351329,Tianjin University,https://openalex.org/I162868743,Xiamen University,https://openalex.org/I191208505,Xiamen University,https://openalex.org/I191208505,Xiamen University,https://openalex.org/I191208505,Henan University,https://openalex.org/I173899330,Henan University,https://openalex.org/I173899330,Henan University,https://openalex.org/I173899330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qiushi Du,A5100915390,3,,,,,,,Jilin Electric Power Research Institute (China),https://openalex.org/I4210138151,,,,,,,,,,,,,Jilin University,https://openalex.org/I194450716,,,Jilin Electric Power Research Institute (China),https://openalex.org/I4210138151,,,,,North China Electric Power University,https://openalex.org/I153473198,North China Electric Power University,https://openalex.org/I153473198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
