Author,No. Papers,Notes,OA_Profile,OA_ID
Wenfeng Liang,5,,https://openalex.org/A5009435651,A5009435651
Chong Ruan,5,,https://openalex.org/A5019374810,A5019374810
Huazuo Gao,5,,https://openalex.org/A5102602497,A5102602497
Zhenda Xie,5,,https://openalex.org/A5007043113,A5007043113
Junxiao Song,5,,https://openalex.org/A5008686458,A5008686458
Jiashi Li,5,,https://openalex.org/A5014851555,A5014851555
Kang Guan,5,,https://openalex.org/A5017301651,A5017301651
Fuli Luo,5,,https://openalex.org/A5019525050,A5019525050
Damai Dai,5,,https://openalex.org/A5020456783,A5020456783
Deli Chen,5,,https://openalex.org/A5028794611,A5028794611
Zhewen Hao,5,,https://openalex.org/A5039093405,A5039093405
Qihao Zhu,5,,https://openalex.org/A5047271595,A5047271595
Shirong Ma,5,,https://openalex.org/A5057030499,A5057030499
Peiyi Wang,5,,https://openalex.org/A5058808692,A5058808692
Daya Guo,5,,https://openalex.org/A5060364305,A5060364305
Wenjun Gao,5,,https://openalex.org/A5076999126,A5076999126
Chenggang Zhao,5,,https://openalex.org/A5079470006,A5079470006
Chengqi Deng,5,,https://openalex.org/A5084839131,A5084839131
Xiao Bi,5,,https://openalex.org/A5091346174,A5091346174
Yanhong Xu,5,,https://openalex.org/A5100612566,A5100612566
Yaohui Wang,5,,https://openalex.org/A5100672230,A5100672230
Qiushi Du,5,,https://openalex.org/A5100915390,A5100915390
Hanwei Xu,5,,https://openalex.org/A5100966558,A5100966558
Dejian Yang,5,,https://openalex.org/A5101194950,A5101194950
Yishi Piao,5,,https://openalex.org/A5101289777,A5101289777
Yuxiang You,5,,https://openalex.org/A5101289778,A5101289778
Xin Xie,5,,https://openalex.org/A5101584148,A5101584148
Liyue Zhang,5,,https://openalex.org/A5101859634,A5101859634
Kai Dong,5,,https://openalex.org/A5102020713,A5102020713
Zhihong Shao,5,,https://openalex.org/A5103100933,A5103100933
Bingxuan Wang,5,,https://openalex.org/A5114179761,A5114179761
Shengfeng Ye,4,,https://openalex.org/A5030693568,A5030693568
Junjie Qiu,4,,https://openalex.org/A5052869661,A5052869661
Haowei Zhang,4,,https://openalex.org/A5080515807,A5080515807
Shuiping Yu,4,,https://openalex.org/A5000029432,A5000029432
Guowei Li,4,,https://openalex.org/A5001383067,A5001383067
Yuheng Zou,4,,https://openalex.org/A5002204845,A5002204845
Kaige Gao,4,,https://openalex.org/A5002755981,A5002755981
Wentao Zhang,4,,https://openalex.org/A5008772211,A5008772211
Yao Zhao,4,,https://openalex.org/A5009318707,A5009318707
Aixin Liu,4,,https://openalex.org/A5015078816,A5015078816
Zhangli Sha,4,,https://openalex.org/A5020140830,A5020140830
Runxin Xu,4,,https://openalex.org/A5023594937,A5023594937
Yiliang Xiong,4,,https://openalex.org/A5028899653,A5028899653
Ruiqi Ge,4,,https://openalex.org/A5029083198,A5029083198
Shangyan Zhou,4,,https://openalex.org/A5035849215,A5035849215
Shunfeng Zhou,4,,https://openalex.org/A5045996355,A5045996355
Shanhuang Chen,4,,https://openalex.org/A5046105992,A5046105992
Wangding Zeng,4,,https://openalex.org/A5049532529,A5049532529
Panpan Huang,4,,https://openalex.org/A5053679681,A5053679681
Guangbo Hao,4,,https://openalex.org/A5064813063,A5064813063
Hui Qu,4,,https://openalex.org/A5067552573,A5067552573
Lecong Zhang,4,,https://openalex.org/A5068839714,A5068839714
Y. K. Li,4,,https://openalex.org/A5079729956,A5079729956
Mingchuan Zhang,4,,https://openalex.org/A5087014857,A5087014857
Wen Liu,4,,https://openalex.org/A5100320278,A5100320278
Xiaodong Liu,4,,https://openalex.org/A5100374771,A5100374771
Ying He,4,,https://openalex.org/A5100389169,A5100389169
Shiyu Wang,4,,https://openalex.org/A5100437635,A5100437635
Xingkai Yu,4,,https://openalex.org/A5100608388,A5100608388
Yichao Zhang,4,,https://openalex.org/A5100625408,A5100625408
Minghua Zhang,4,,https://openalex.org/A5100737340,A5100737340
Shanghao Lu,4,,https://openalex.org/A5101289776,A5101289776
Ziwei Xie,4,,https://openalex.org/A5101644040,A5101644040
Qinyu Chen,4,,https://openalex.org/A5101682928,A5101682928
Yiyuan Liu,4,,https://openalex.org/A5101704539,A5101704539
Minghui Tang,4,,https://openalex.org/A5101876129,A5101876129
Guanting Chen,4,,https://openalex.org/A5101983121,A5101983121
Yaofeng Sun,4,,https://openalex.org/A5102212666,A5102212666
Zihui Gu,4,,https://openalex.org/A5102691681,A5102691681
Zhe Fu,4,,https://openalex.org/A5103128811,A5103128811
Fangyun Lin,4,,https://openalex.org/A5109672590,A5109672590
Yao Li,4,,https://openalex.org/A5110237033,A5110237033
Tian Pei,4,,https://openalex.org/A5110880895,A5110880895
Jianzhong Guo,4,,https://openalex.org/A5111161539,A5111161539
Zehui Ren,4,,https://openalex.org/A5112250476,A5112250476
Xiaotao Nie,4,,https://openalex.org/A5113091615,A5113091615
Honghui Ding,4,,https://openalex.org/A5113640093,A5113640093
Xin Liu,4,,https://openalex.org/A5115601909,A5115601909
Erhang Li,4,,https://openalex.org/A5113091614,A5113091614
Xuecheng Su,4,,https://openalex.org/A5111734260,A5111734260
J. L. Cai,3,,https://openalex.org/A5075973287,A5075973287
Yukun Zha,3,,https://openalex.org/A5006037200,A5006037200
X. Q. Li,3,,https://openalex.org/A5006875159,A5006875159
Tianyu Sun,3,,https://openalex.org/A5015475948,A5015475948
Bei Feng,3,,https://openalex.org/A5016665033,A5016665033
Yuting Yan,3,,https://openalex.org/A5019540330,A5019540330
Jiaqi Ni,3,,https://openalex.org/A5019579257,A5019579257
Lei Xu,3,,https://openalex.org/A5020790434,A5020790434
Wei An,3,,https://openalex.org/A5021639941,A5021639941
Zhipeng Xu,3,,https://openalex.org/A5024958662,A5024958662
Miaojun Wang,3,,https://openalex.org/A5026325208,A5026325208
Yuchen Zhu,3,,https://openalex.org/A5033494277,A5033494277
Lean Wang,3,,https://openalex.org/A5034611488,A5034611488
Zhibin Gou,3,,https://openalex.org/A5034928588,A5034928588
Xiaosha Chen,3,,https://openalex.org/A5036491343,A5036491343
Ruyi Chen,3,,https://openalex.org/A5036645286,A5036645286
Zilin Li,3,,https://openalex.org/A5042358680,A5042358680
Dongjie Ji,3,,https://openalex.org/A5043755032,A5043755032
Yuduan Wang,3,,https://openalex.org/A5047265939,A5047265939
Ning Tian,3,,https://openalex.org/A5053537379,A5053537379
Xinyu Yang,3,,https://openalex.org/A5055963260,A5055963260
