id,author_count,display_name,type,country,city,display_name_acronyms,display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,wikipedia,associated_institutions_children,children_ids,associated_institutions_parent,parent_ids,openai_authors,anthropic_authors,google_authors
https://openalex.org/I1291425158,73,Google (United States),funder,United States,Mountain View,,Googleplex,45388,3164107,7.1493087557603685,570,23943,https://en.wikipedia.org/wiki/Google,Google (Canada); Google (Ireland); Google (Israel); Google (Singapore); Google (Switzerland); Google (United Kingdom),https://openalex.org/I4210148186; https://openalex.org/I4210131802; https://openalex.org/I4210117425; https://openalex.org/I4408895790; https://openalex.org/I4210100430; https://openalex.org/I4210113297,Alphabet (United States),https://openalex.org/I4210128969,38,8,27
https://openalex.org/I4210161460,67,OpenAI (United States),company,United States,San Francisco,,OpenAI,276,87397,23.804347826086957,79,179,https://en.wikipedia.org/wiki/OpenAI,,,,,63,4,0
https://openalex.org/I97018004,37,Stanford University,funder,United States,Stanford,SU,Leland Stanford Junior University; Universidad Stanford,478128,28663140,5.442835588983719,1553,241682,https://en.wikipedia.org/wiki/Stanford%20University,Brown Institute for Media Innovation; Center for Effective Global Action; Chan Zuckerberg Biohub San Francisco; Children's Hospital Central California; Eterna Massive Open Laboratory; Facility for Advanced Accelerator Experimental Tests-II; Kavli Institute for Particle Astrophysics and Cosmology; Max Planck Center for Visual Computing and Communication; SLAC National Accelerator Laboratory; Stanford Medicine; Stanford Synchrotron Radiation Lightsource; Stanford SystemX Alliance,https://openalex.org/I4210111952; https://openalex.org/I4210135243; https://openalex.org/I4210100286; https://openalex.org/I4210110647; https://openalex.org/I4210164524; https://openalex.org/I4390039342; https://openalex.org/I4210094059; https://openalex.org/I4210143036; https://openalex.org/I2801935854; https://openalex.org/I4210137306; https://openalex.org/I4210120900; https://openalex.org/I4392738099,,,27,8,2
https://openalex.org/I63966007,33,Massachusetts Institute of Technology,funder,United States,Cambridge,MIT,Instituto Tecnológico de Massachusetts,320426,21168478,6.395020584199177,1405,171305,https://en.wikipedia.org/wiki/Massachusetts%20Institute%20of%20Technology,"Athinoula A. Martinos Center for Biomedical Imaging; Cambridge–MIT Institute; Institute for Collaborative Biotechnologies; Institute for Soldier Nanotechnologies; Koch Institute for Integrative Cancer Research At MIT; MIT Lincoln Laboratory; MIT Sea Grant; MIT-Harvard Center for Ultracold Atoms; Massachusetts Space Grant Consortium; McGovern Institute for Brain Research; Novartis-MIT Center for Continuous Manufacturing; Ragon Institute of MGH, MIT and Harvard; The NSF AI Institute for Artificial Intelligence and Fundamental Interactions; Whitehead Institute for Biomedical Research",https://openalex.org/I4210127055; https://openalex.org/I4210093068; https://openalex.org/I4388482662; https://openalex.org/I4210109539; https://openalex.org/I4390039253; https://openalex.org/I4210122954; https://openalex.org/I4210125891; https://openalex.org/I4210159271; https://openalex.org/I4210087444; https://openalex.org/I144112489; https://openalex.org/I4210129287; https://openalex.org/I2802422659; https://openalex.org/I4210160315; https://openalex.org/I4210157710,,,26,4,3
https://openalex.org/I4210090411,26,DeepMind (United Kingdom),funder,United Kingdom,London,,,1927,289508,17.726315789473684,198,933,https://en.wikipedia.org/wiki/Google%20DeepMind,,,Alphabet (United States),https://openalex.org/I4210128969,9,2,15
https://openalex.org/I95457486,25,"University of California, Berkeley",funder,United States,Berkeley,UCB,UC Berkeley; University of California at Berkeley; Université de Californie à Berkeley; Cal Berkeley; Universidad de California en Berkeley,396722,22065548,3.7720246617771673,1328,202707,https://en.wikipedia.org/wiki/University%20of%20California%2C%20Berkeley,Center for Effective Global Action; Chan Zuckerberg Biohub San Francisco; Gump South Pacific Research Station; Innovative Genomics Institute; Pacific Earthquake Engineering Research Center; Plant Gene Expression Center; QB3; Space Sciences Laboratory; Tsinghua–Berkeley Shenzhen Institute,https://openalex.org/I4210135243; https://openalex.org/I4210100286; https://openalex.org/I4210144402; https://openalex.org/I4210109258; https://openalex.org/I4392738292; https://openalex.org/I4210144282; https://openalex.org/I103922791; https://openalex.org/I4407990211; https://openalex.org/I4210114105,University of California System,https://openalex.org/I2803209242,19,3,3
https://openalex.org/I57206974,19,New York University,funder,United States,New York,NYU,Université de New York; Universidad de Nueva York,255461,11312113,4.140724101479916,1003,117190,https://en.wikipedia.org/wiki/New%20York%20University,Courant Institute of Mathematical Sciences; New York University Abu Dhabi; New York University Florence; New York University Paris; New York University Press; New York University Shanghai,https://openalex.org/I36672615; https://openalex.org/I120250893; https://openalex.org/I4210123063; https://openalex.org/I4210165353; https://openalex.org/I2799442855; https://openalex.org/I258800397,,,11,8,0
https://openalex.org/I74973139,15,Carnegie Mellon University,funder,United States,Pittsburgh,CMU,,140319,7307478,5.047231102402805,871,71193,https://en.wikipedia.org/wiki/Web%20server%20directory%20index,Advanced Cyberinfrastructure Coordination Ecosystem: Services & Support; Carnegie Mellon Portugal; Carnegie Mellon University Africa; Carnegie Mellon University Australia; Carnegie Mellon University Qatar; Center for the Neural Basis of Cognition; Software Engineering Institute,https://openalex.org/I4387152812; https://openalex.org/I4409876594; https://openalex.org/I4210130200; https://openalex.org/I4210091826; https://openalex.org/I4210089979; https://openalex.org/I4210086114; https://openalex.org/I114772536,,,13,1,1
https://openalex.org/I205783295,15,Cornell University,funder,United States,Ithaca,CU,Universidad Cornell,415481,18954620,4.455790232274516,1193,206207,https://en.wikipedia.org/wiki/Cornell%20University,Cornell Atkinson Center for Sustainability; Cornell Lab of Ornithology; Cornell University Agricultural Experiment Station; New York Sea Grant; New York Space Grant Consortium; New York State College of Agriculture & Life Sciences; New York State College of Veterinary Medicine; New York State School of Industrial and Labor Relations; New York State University College of Human Ecology; PARADIM; Weill Cornell Medicine; arXiv,https://openalex.org/I4387155861; https://openalex.org/I4387153357; https://openalex.org/I4392738320; https://openalex.org/I4210134430; https://openalex.org/I4210141610; https://openalex.org/I4210092791; https://openalex.org/I4210151139; https://openalex.org/I4210098983; https://openalex.org/I4210144145; https://openalex.org/I4387152773; https://openalex.org/I4387153466; https://openalex.org/I4402554005,,,10,4,1
https://openalex.org/I136199984,14,Harvard University,funder,United States,Cambridge,,Universidad de Harvard,683950,44806563,5.86047905088605,1744,390741,https://en.wikipedia.org/wiki/Harvard%20University,"Arnold Arboretum; Athinoula A. Martinos Center for Biomedical Imaging; Berenson Allen Center for Noninvasive Brain Stimulation; Center for Astrophysics Harvard & Smithsonian; Center for Systems Biology; Center for Vascular Biology Research; Dana-Farber/Harvard Cancer Center; Gordon Center for Medical Imaging; Harvard Forest Long Term Ecological Research; Harvard Stem Cell Institute; Harvard University Press; MIT-Harvard Center for Ultracold Atoms; Ragon Institute of MGH, MIT and Harvard; Real Colegio Complutense; Sleep and Human Health Institute; The NSF AI Institute for Artificial Intelligence and Fundamental Interactions; Wyss Institute for Biologically Inspired Engineering",https://openalex.org/I4387154449; https://openalex.org/I4210127055; https://openalex.org/I4210133893; https://openalex.org/I4210124175; https://openalex.org/I4210155419; https://openalex.org/I4210143899; https://openalex.org/I4210134579; https://openalex.org/I4210087356; https://openalex.org/I4387154927; https://openalex.org/I4210157861; https://openalex.org/I2801851002; https://openalex.org/I4210159271; https://openalex.org/I2802422659; https://openalex.org/I4392738166; https://openalex.org/I4210135193; https://openalex.org/I4210160315; https://openalex.org/I44142251,,,11,2,1
https://openalex.org/I185261750,13,University of Toronto,funder,Canada,Toronto,,Université de Toronto,500528,20568623,4.071598133097289,1143,241425,https://en.wikipedia.org/wiki/University%20of%20Toronto,AGE-WELL; Canadian Institute for Theoretical Astrophysics; Fields Institute for Research in Mathematical Sciences; Sunnybrook Research Institute; Ted Rogers Centre for Heart Research,https://openalex.org/I4388891821; https://openalex.org/I4210110940; https://openalex.org/I9267121; https://openalex.org/I4391768120; https://openalex.org/I4210091032,,,7,4,2
https://openalex.org/I2252078561,13,Meta (Israel),company,Israel,Tel Aviv,,Meta Platforms; Facebook,4569,529273,20.410774410774412,243,1986,https://en.wikipedia.org/wiki/Facebook,,,Meta (United States),https://openalex.org/I4210114444,9,3,1
https://openalex.org/I40120149,13,University of Oxford,funder,United Kingdom,Oxford,,Oxford University; Prifysgol Rhydychen,414496,19668926,4.847898482902727,1204,202901,https://en.wikipedia.org/wiki/University%20of%20Oxford,"CRUK/MRC Oxford Institute for Radiation Oncology; Cancer Research UK Oxford Centre; Centre for Human Genetics; Centre for the Observation and Modelling of Earthquakes, Volcanoes and Tectonics; John Adams Institute for Accelerator Science; MRC Brain Network Dynamics Unit; MRC Human Immunology Unit; MRC Molecular Haematology Unit; MRC Population Health Research Unit; MRC Weatherall Institute of Molecular Medicine; Mahidol Oxford Tropical Medicine Research Unit; Medawar Building for Pathogen Research; Oxford Centre for Diabetes, Endocrinology and Metabolism; Oxford University Clinical Research Unit; Oxford University Press (United Kingdom); Wellcome Centre for Ethics and Humanities; Wellcome Centre for Integrative Neuroimaging",https://openalex.org/I4210106471; https://openalex.org/I4210158028; https://openalex.org/I1336263701; https://openalex.org/I4210147017; https://openalex.org/I4400008925; https://openalex.org/I4210108304; https://openalex.org/I4210124851; https://openalex.org/I4387152343; https://openalex.org/I4387153988; https://openalex.org/I4210110594; https://openalex.org/I4210126604; https://openalex.org/I4210100268; https://openalex.org/I4210129944; https://openalex.org/I4210150114; https://openalex.org/I2802626578; https://openalex.org/I4210162189; https://openalex.org/I4210101881,,,6,6,1
https://openalex.org/I4210113297,11,Google (United Kingdom),company,United Kingdom,London,,,734,75431,26.644628099173552,97,355,https://en.wikipedia.org/wiki/Google,,,Google (United States),https://openalex.org/I1291425158,2,0,9
https://openalex.org/I145311948,10,Johns Hopkins University,funder,United States,Baltimore,JHU,Universidad Johns Hopkins,438011,22200886,4.256638503319252,1248,228308,https://en.wikipedia.org/wiki/Johns%20Hopkins%20University,Hopkins Extreme Materials Institute; Johns Hopkins Berman Institute of Bioethics; Johns Hopkins Center for Communication Programs; Johns Hopkins University Applied Physics Laboratory; Johns Hopkins University Center for AIDS Research; Johns Hopkins University Press; Johns Hopkins University SAIS Bologna Center; Johns Hopkins University – Nanjing University Center for Chinese and American Studies; Maryland Space Grant Consortium; Materials Science in Extreme Environments University Research Alliance; PARADIM; Packard Center,https://openalex.org/I4391012584; https://openalex.org/I4210092215; https://openalex.org/I4210151848; https://openalex.org/I2802946424; https://openalex.org/I4389425327; https://openalex.org/I4394709191; https://openalex.org/I4210131961; https://openalex.org/I4210162165; https://openalex.org/I4210120405; https://openalex.org/I4388891755; https://openalex.org/I4387152773; https://openalex.org/I4392738135,,,6,4,0
https://openalex.org/I1290206253,10,Microsoft (United States),funder,United States,Redmond,,Microsoft Corporation,31142,2094830,6.555666003976143,542,16949,https://en.wikipedia.org/wiki/Microsoft,LinkedIn (United States); Microsoft (Belgium); Microsoft (Brazil); Microsoft (Canada); Microsoft (Denmark); Microsoft (Finland); Microsoft (France); Microsoft (Germany); Microsoft (India); Microsoft (Ireland); Microsoft (Israel); Microsoft (Netherlands); Microsoft (Norway); Microsoft (Portugal); Microsoft (Singapore); Microsoft (Switzerland); Microsoft (United Kingdom); Microsoft Research (India); Microsoft Research (United Kingdom); Microsoft Research Asia (China); Microsoft Research Montréal (Canada); Microsoft Research New England (United States); Microsoft Research New York City (United States); Ninja Theory (United Kingdom),https://openalex.org/I1316064682; https://openalex.org/I4210151458; https://openalex.org/I4210086099; https://openalex.org/I4210153468; https://openalex.org/I4210099966; https://openalex.org/I4210105678; https://openalex.org/I4210161634; https://openalex.org/I4210087053; https://openalex.org/I4210162141; https://openalex.org/I4210109507; https://openalex.org/I4210125051; https://openalex.org/I4210110431; https://openalex.org/I4210135422; https://openalex.org/I4210092974; https://openalex.org/I4408896013; https://openalex.org/I4210139986; https://openalex.org/I4210108625; https://openalex.org/I4210124949; https://openalex.org/I4210164937; https://openalex.org/I4210113369; https://openalex.org/I4402554038; https://openalex.org/I4400600948; https://openalex.org/I4401726785; https://openalex.org/I4392738289,,,8,0,2
https://openalex.org/I134446601,10,Berkeley College,education,United States,New York,,,13748,499026,5.510697032436163,278,4403,https://en.wikipedia.org/wiki/Berkeley%20College,,,,,10,0,0
https://openalex.org/I2801851002,9,Harvard University Press,other,United States,Cambridge,HUP,,154944,6081751,1.0088995550222488,896,42436,https://en.wikipedia.org/wiki/Harvard%20University%20Press,,,Harvard University,https://openalex.org/I136199984,5,1,3
