Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,ID-1989,ID-1993,ID-1994,ID-1997,ID-1999,ID-2000,ID-2001,ID-2002,ID-2003,ID-2004,ID-2005,ID-2006,ID-2007,ID-2008,ID-2009,ID-2010,ID-2011,ID-2012,ID-2013,ID-2014,ID-2015,ID-2016,ID-2017,ID-2018,ID-2019,ID-2020,ID-2021,ID-2022,ID-2023,ID-2024,ID-2025,affiliation-1989,affiliation-1993,affiliation-1994,affiliation-1997,affiliation-1999,affiliation-2000,affiliation-2001,affiliation-2002,affiliation-2003,affiliation-2004,affiliation-2005,affiliation-2006,affiliation-2007,affiliation-2008,affiliation-2009,affiliation-2010,affiliation-2011,affiliation-2012,affiliation-2013,affiliation-2014,affiliation-2015,affiliation-2016,affiliation-2017,affiliation-2018,affiliation-2019,affiliation-2020,affiliation-2021,affiliation-2022,affiliation-2023,affiliation-2024,affiliation-2025
Wenfeng Liang,5,,https://openalex.org/A5009435651,A5009435651,https://orcid.org/0000-0002-6605-2511,Wenfeng Liang,"Liang Wen‐Feng, W. Liang, W.F. Liang, Wen‐Feng Liang, Wenfeng Liang, W. Liang",152,4202,6.695652173913044,33,76,,,,,,,,,,,,,,,,https://openalex.org/I19820366,https://openalex.org/I142078773,https://openalex.org/I142078773,https://openalex.org/I2801345734,https://openalex.org/I2801345734,https://openalex.org/I110152177,https://openalex.org/I110152177,https://openalex.org/I110152177,https://openalex.org/I110152177,https://openalex.org/I110152177,https://openalex.org/I2801345734,https://openalex.org/I2801345734,https://openalex.org/I110152177,https://openalex.org/I4210120309,https://openalex.org/I4210091245,,,,,,,,,,,,,,,,,Chinese Academy of Sciences,Shenyang Institute of Automation,Shenyang Institute of Automation,China Academy of Engineering Physics,China Academy of Engineering Physics,University of Akron,University of Akron,University of Akron,University of Akron,University of Akron,China Academy of Engineering Physics,China Academy of Engineering Physics,University of Akron,Guangdong Urban & Rural Planning and Design Institute,Health First,
Chong Ruan,5,,https://openalex.org/A5019374810,A5019374810,,Chong Ruan,Chong Ruan,13,64,4.333333333333333,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I25355098,https://openalex.org/I25355098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chang'an University,Chang'an University,,
Huazuo Gao,5,,https://openalex.org/A5102602497,A5102602497,,Huazuo Gao,Huazuo Gao,8,46,0.0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhenda Xie,5,,https://openalex.org/A5007043113,A5007043113,https://orcid.org/0000-0003-2060-3063,Zhenda Xie,"Z. Xie, Z. D. Xie, Zhenda Xie, Zhen‐Da Xie",228,3085,3.0377358490566038,31,74,,,,,,,,,,,,,https://openalex.org/I4391768004,,https://openalex.org/I4391768004,,,,,https://openalex.org/I59499333,https://openalex.org/I59499333,https://openalex.org/I161318765,https://openalex.org/I59499333,https://openalex.org/I161318765,https://openalex.org/I59499333,https://openalex.org/I161318765,https://openalex.org/I59499333,https://openalex.org/I99065089,https://openalex.org/I4210163933,https://openalex.org/I4391768004,https://openalex.org/I82760581,,,,,,,,,,,,,National Laboratory of Solid State Microstructures,,National Laboratory of Solid State Microstructures,,,,,Optica,Optica,"University of California, Los Angeles",Optica,"University of California, Los Angeles",Optica,"University of California, Los Angeles",Optica,Tsinghua University,Union Hospital,National Laboratory of Solid State Microstructures,Taizhou University
Junxiao Song,5,,https://openalex.org/A5008686458,A5008686458,https://orcid.org/0000-0002-3236-1535,Junxiao Song,"J.‐s. SONG, Junxiao Song, Jun‐Xiao Song, Jinrun Song",21,993,0.5,9,9,,,,,,,,,,,,https://openalex.org/I24456540,,,,,,,https://openalex.org/I889458895,https://openalex.org/I889458895,https://openalex.org/I889458895,https://openalex.org/I889458895,,,,,,,https://openalex.org/I108688024,,,,,,,,,,,,,,Korea Aerospace University,,,,,,,University of Hong Kong,University of Hong Kong,University of Hong Kong,University of Hong Kong,,,,,,,Qingdao University,,
Jiashi Li,5,,https://openalex.org/A5014851555,A5014851555,,Jiashi Li,"Jia‐Shi Li, Jiashi Li, Li Jia‐Shi, Li Jiashi",55,709,10.090909090909092,15,22,,,,https://openalex.org/I4210148966,https://openalex.org/I36296616,https://openalex.org/I36296616,https://openalex.org/I17747738,,,,,,,,https://openalex.org/I143593769,https://openalex.org/I143593769,,,,,,,,,https://openalex.org/I181877577,,https://openalex.org/I139759216,https://openalex.org/I154570441,https://openalex.org/I75059550,https://openalex.org/I9086337,,,,,Beijing Hospital of Traditional Chinese Medicine,Hoshi University,Hoshi University,Beijing University of Chinese Medicine,,,,,,,,East China University of Science and Technology,East China University of Science and Technology,,,,,,,,,Shanxi University,,Beijing University of Posts and Telecommunications,"University of California, Santa Barbara",Zhejiang Gongshang University,Taiyuan University of Technology,
Kang Guan,5,,https://openalex.org/A5017301651,A5017301651,https://orcid.org/0000-0001-5619-6290,Kang Guan,"K. Guan, K. Y. Guan, Kang Guan, Kedi Guan, Guan Kang, K.‐Y. Guan",94,1156,0.9,17,29,,,,,,,,,,,,,,,,,,https://openalex.org/I98227222,,https://openalex.org/I19820366,,https://openalex.org/I90610280,https://openalex.org/I4210144506,https://openalex.org/I4210120696,https://openalex.org/I90610280,https://openalex.org/I39333907,https://openalex.org/I4210114785,https://openalex.org/I90610280,https://openalex.org/I90610280,https://openalex.org/I3124059619,https://openalex.org/I39333907,,,,,,,,,,,,,,,,,,China National Petroleum Corporation (China),,Chinese Academy of Sciences,,South China University of Technology,The 309th Hospital of Chinese People's Liberation Army,South China Botanical Garden,South China University of Technology,Yanshan University,Gansu Provincial Hospital,South China University of Technology,South China University of Technology,China University of Geosciences,Yanshan University
Fuli Luo,5,,https://openalex.org/A5019525050,A5019525050,https://orcid.org/0000-0002-5403-6434,Fuli Luo,Fuli Luo,61,1312,2.0,20,31,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I20231570,https://openalex.org/I20231570,https://openalex.org/I150807315,https://openalex.org/I20231570,https://openalex.org/I10899854,https://openalex.org/I45928872,https://openalex.org/I49934816,,,,,,,,,,,,,,,,,,,,,,,,,Peking University,Peking University,Guangxi University,Peking University,Jiangxi University of Traditional Chinese Medicine,Alibaba Group (China),Hunan University of Technology,
Damai Dai,5,,https://openalex.org/A5020456783,A5020456783,,Damai Dai,"Dai Damai, Damai Dai",62,819,8.555555555555555,12,16,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I20231570,https://openalex.org/I4210136793,https://openalex.org/I20231570,https://openalex.org/I20231570,https://openalex.org/I4210124949,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,,,,,,,,,,Peking University,Peng Cheng Laboratory,Peking University,Peking University,Microsoft Research (India),Tsinghua University,,
Deli Chen,5,,https://openalex.org/A5028794611,A5028794611,https://orcid.org/0000-0001-6767-1376,Deli Chen,"D. L. Chen, Dingxi Chen, D. Chen, Dengjie Chen, Deli Chen, CHENDe‐Li, D.‐L. Chen, De‐Li Chen",513,20301,8.403846153846153,71,265,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I165779595,https://openalex.org/I4210138055,https://openalex.org/I4210138055,https://openalex.org/I4210138055,https://openalex.org/I4210138055,https://openalex.org/I4210138055,https://openalex.org/I4210138055,https://openalex.org/I4210142748,https://openalex.org/I87445476,https://openalex.org/I4210166020,,,,,,,,,,,,,,,,,,,,,,The University of Melbourne,Agriculture and Food,Agriculture and Food,Agriculture and Food,Agriculture and Food,Agriculture and Food,Agriculture and Food,Shandong Academy of Sciences,Xi'an Jiaotong University,Ecosystem Sciences
