id,institution_name,direct_author_count,total_author_count,direct_works_count,total_works_count,direct_citations,total_citations,num_children,num_ancestors,has_parent,is_parent
https://openalex.org/I4210161460,OpenAI (United States),49,49,267,267,84941,84941,0,0,False,False
https://openalex.org/I4210128969,Alphabet (United States),1,49,417,48330,19112,3552414,8,0,False,True
https://openalex.org/I1291425158,Google (United States),36,39,45076,46029,3098900,3256581,6,1,True,True
https://openalex.org/I2803209242,University of California System,1,39,41429,2136475,1162491,108500185,49,0,False,True
https://openalex.org/I97018004,Stanford University,24,30,473858,535171,28210895,31117361,17,0,False,True
https://openalex.org/I19820366,Chinese Academy of Sciences,8,25,849262,1429219,24277754,39615055,139,0,False,True
https://openalex.org/I63966007,Massachusetts Institute of Technology,24,25,318752,331805,20877508,21327344,14,0,False,True
https://openalex.org/I1290206253,Microsoft (United States),8,19,30916,49801,2063332,3106777,25,0,False,True
https://openalex.org/I136199984,Harvard University,11,18,675612,872543,43998613,51658388,19,0,False,True
https://openalex.org/I1330989302,United States Department of Energy,1,17,10025,646183,348907,25392475,86,1,True,True
https://openalex.org/I95457486,"University of California, Berkeley",17,17,394896,394896,21772017,21772017,9,1,True,True
https://openalex.org/I74973139,Carnegie Mellon University,12,12,139355,139355,7216414,7216414,6,0,False,True
https://openalex.org/I205783295,Cornell University,10,12,411516,438790,18641214,19179255,12,0,False,True
https://openalex.org/I57206974,New York University,10,12,252684,267218,11120976,11907751,6,0,False,True
https://openalex.org/I4210114444,Meta (United States),3,11,3304,7871,317827,834907,2,0,False,True
https://openalex.org/I4210127390,State Council of the People's Republic of China,1,11,6862,155500,207574,3204474,59,0,False,True
https://openalex.org/I48633490,Mass General Brigham,2,10,4608,417639,187350,24307188,14,0,False,True
https://openalex.org/I4210090411,DeepMind (United Kingdom),9,9,1884,1884,276721,276721,0,1,True,False
https://openalex.org/I134446601,Berkeley College,9,9,13663,13663,487523,487523,0,0,False,False
https://openalex.org/I98677209,University of Edinburgh,3,8,237310,259989,9008295,10071058,16,0,False,True
https://openalex.org/I2252078561,Meta (Israel),8,8,4567,4567,517080,517080,0,1,True,False
https://openalex.org/I99065089,Tsinghua University,6,7,317226,323288,8229072,8488051,15,0,False,True
https://openalex.org/I2801453606,Australian Government,1,7,2416,135904,52151,5076074,57,0,False,True
https://openalex.org/I241749,University of Cambridge,7,7,378352,378352,17692021,17692021,19,0,False,True
https://openalex.org/I185261750,University of Toronto,7,7,494870,494870,20157855,20157855,5,0,False,True
