Author Position,Author ID,Author Name,ORCID,Is Corresponding,Raw Author Name,Affiliations
first,https://openalex.org/A5093670579,DeepSeek-AI,,False,DeepSeek-AI,
middle,https://openalex.org/A5041961808,Qihao Zhu,https://orcid.org/0009-0008-5155-451X,False,"Zhu, Qihao",
middle,https://openalex.org/A5060364305,Daya Guo,,False,"Guo, Daya",
middle,https://openalex.org/A5103100933,Zhihong Shao,https://orcid.org/0000-0001-7290-5958,False,"Shao, Zhihong",
middle,https://openalex.org/A5101194950,Dejian Yang,,False,"Yang, Dejian",
middle,https://openalex.org/A5058808692,Peiyi Wang,https://orcid.org/0000-0002-9904-0664,False,"Wang, Peiyi",
middle,https://openalex.org/A5023594937,Runxin Xu,https://orcid.org/0000-0002-3876-2284,False,"Xu, Runxin",
middle,https://openalex.org/A5075693457,Yuhuan Wu,https://orcid.org/0000-0002-8139-2194,False,"Wu, Y.",
middle,https://openalex.org/A5018379530,Yukun Li,https://orcid.org/0000-0003-0750-3308,False,"Li, Yukun",
middle,https://openalex.org/A5102602497,Huazuo Gao,,False,"Gao, Huazuo",
middle,https://openalex.org/A5057030499,Shirong Ma,https://orcid.org/0000-0002-0035-9078,False,"Ma, Shirong",
middle,https://openalex.org/A5049532529,Wangding Zeng,,False,"Zeng, Wangding",
middle,https://openalex.org/A5101289775,Xiao Guo Bi,,False,"Bi, Xiao",
middle,https://openalex.org/A5102691681,Zihui Gu,,False,"Gu, Zihui",
middle,https://openalex.org/A5100966558,Hanwei Xu,,False,"Xu, Hanwei",
middle,https://openalex.org/A5020456783,Damai Dai,,False,"Dai, Damai",
middle,https://openalex.org/A5065792572,Kai Dong,https://orcid.org/0000-0003-3845-5230,False,"Dong, Kai",
middle,https://openalex.org/A5101859634,Liyue Zhang,https://orcid.org/0009-0005-5871-182X,False,"Zhang, Liyue",
middle,https://openalex.org/A5101289777,Yishi Piao,,False,"Piao, Yishi",
middle,https://openalex.org/A5034928588,Zhibin Gou,https://orcid.org/0000-0001-7356-5449,False,"Gou, Zhibin",
middle,https://openalex.org/A5007043113,Zhenda Xie,https://orcid.org/0000-0003-2060-3063,False,"Xie, Zhenda",
middle,https://openalex.org/A5039093405,Zhewen Hao,https://orcid.org/0000-0002-1223-4977,False,"Hao, Zhewen",
middle,https://openalex.org/A5114179761,Bingxuan Wang,,False,"Wang, Bingxuan",
middle,https://openalex.org/A5008686458,Junxiao Song,https://orcid.org/0000-0002-3236-1535,False,"Song, Junxiao",
middle,https://openalex.org/A5028794611,Deli Chen,https://orcid.org/0000-0001-6767-1376,False,"Chen, Deli",
middle,https://openalex.org/A5027272944,Xin Xie,https://orcid.org/0000-0002-6784-4860,False,"Xie, Xin",
middle,https://openalex.org/A5017301651,Kang Guan,https://orcid.org/0000-0001-5619-6290,False,"Guan, Kang",
middle,https://openalex.org/A5101289778,Yuxiang You,,False,"You, Yuxiang",
middle,https://openalex.org/A5015078816,Aixin Liu,https://orcid.org/0000-0001-7152-511X,False,"Liu, Aixin",
middle,https://openalex.org/A5100915390,Qiushi Du,,False,"Du, Qiushi",
middle,https://openalex.org/A5076999126,Wenjun Gao,https://orcid.org/0000-0003-3723-9763,False,"Gao, Wenjun",
middle,https://openalex.org/A5052404451,Xuan Lü,https://orcid.org/0000-0003-4886-0918,False,"Lu, Xuan",
middle,https://openalex.org/A5101682928,Qinyu Chen,https://orcid.org/0000-0002-9351-2085,False,"Chen, Qinyu",
middle,https://openalex.org/A5100672225,Yaohui Wang,https://orcid.org/0000-0002-1486-5262,False,"Wang, Yaohui",
middle,https://openalex.org/A5084839131,Chengqi Deng,,False,"Deng, Chengqi",
middle,https://openalex.org/A5014851555,Jiashi Li,,False,"Li, Jiashi",
middle,https://openalex.org/A5079470006,Chenggang Zhao,,False,"Zhao, Chenggang",
middle,https://openalex.org/A5020114907,Chong Ruan,,False,"Ruan, Chong",
middle,https://openalex.org/A5019525050,Fuli Luo,https://orcid.org/0000-0002-5403-6434,False,"Luo, Fuli",
last,https://openalex.org/A5009435651,Wenfeng Liang,https://orcid.org/0000-0002-6605-2511,False,"Liang, Wenfeng",
