variable,count,missing,mean,std,min,25th_percentile,median_50th,75th_percentile,max,sum,skewness,kurtosis,pct_true,pct_false
works_count,125,0,31.592,44.75562606551414,1.0,3.0,13.0,39.0,211.0,3949.0,2.095553995465174,4.01679602894348,,
cited_by_count,125,0,1773.608,3160.7668345187285,0.0,10.0,276.0,2151.0,15538.0,221701.0,2.503143060408525,6.209124341085715,,
2yr_mean_citedness,125,0,7.496027787460316,15.958825054431403,0.0,0.0,1.6666666666666667,8.0,125.625,937.0034734325395,4.765716570734728,29.284106777182746,,
h_index,125,0,9.864,11.55794936605915,0.0,1.0,5.0,15.0,58.0,1233.0,1.8113205882106669,3.5826363160502344,,
i10_index,125,0,13.176,21.90708531723867,0.0,0.0,4.0,16.0,123.0,1647.0,2.806901728022343,8.812938532700409,,
unique_affiliation_count,73,0,3.9315068493150687,3.8849022836391467,1.0,2.0,3.0,4.0,22.0,287.0,2.3445069577685738,6.512794876939655,,
unique_country_count,73,0,1.9589041095890412,1.229705883584268,1.0,1.0,2.0,2.0,6.0,143.0,1.4623777704678855,1.5924127288949812,,
all_china,73,0,0.0136986301369863,0.11704114719613055,0.0,0.0,0.0,0.0,1.0,1.0,8.544003745317534,73.0,1.36986301369863,98.63013698630137
all_usa,73,0,0.3561643835616438,0.4821785922507987,0.0,0.0,0.0,1.0,1.0,26.0,0.6134130644553395,-1.670263808711516,35.61643835616438,64.38356164383562
some_china,73,0,0.0547945205479452,0.22915369411186495,0.0,0.0,0.0,0.0,1.0,4.0,3.995104514001711,14.3534948823375,5.47945205479452,94.52054794520548
some_usa,73,0,0.7808219178082192,0.4165524957735337,0.0,1.0,1.0,1.0,1.0,57.0,-1.3862953519460934,-0.08117123795403902,78.08219178082192,21.91780821917808
affiliation_data,125,0,0.584,0.49487698047742285,0.0,0.0,1.0,1.0,1.0,73.0,-0.34499828048652226,-1.9118274713296972,58.4,41.6
