variable,count,missing,mean,std,min,25th_percentile,median_50th,75th_percentile,max,sum,skewness,kurtosis,pct_true,pct_false
works_count,184,0,73.3695652173913,139.5851556602071,1.0,8.0,32.5,77.5,1255.0,13500.0,5.25824723688363,36.140347962272365,,
cited_by_count,184,0,4109.788043478261,11872.432473364941,0.0,80.25,879.5,2862.0,123359.0,756201.0,6.814504087635484,58.93455347205368,,
2yr_mean_citedness,184,0,13.894791739987253,29.292568882177807,0.0,0.5,1.9313725490196076,8.035714285714285,164.0,2556.6416801576547,2.907843590171734,8.652474427181218,,
h_index,184,0,14.483695652173912,18.121018663835184,0.0,3.0,9.0,19.0,120.0,2665.0,2.8799023987549126,11.514573174861715,,
i10_index,184,0,27.03804347826087,60.2613948001117,0.0,2.0,7.5,26.25,645.0,4975.0,6.723771893293681,61.78299366884715,,
unique_affiliation_count,184,0,3.9239130434782608,3.915036714166492,0.0,1.0,3.0,6.0,25.0,722.0,1.728064381799611,4.6174948937328235,,
all_china,184,0,0.05434782608695652,0.22732131924005858,0.0,0.0,0.0,0.0,1.0,10.0,3.9639876458191408,13.863781484280628,5.434782608695652,94.56521739130434
some_china,184,0,0.17391304347826086,0.380068893731049,0.0,0.0,0.0,0.0,1.0,32.0,1.734792481615803,1.0204789758075603,17.391304347826086,82.6086956521739
some_usa,184,0,0.625,0.4854438563880668,0.0,0.0,1.0,1.0,1.0,115.0,-0.5206518723458826,-1.7480420132353833,62.5,37.5
all_usa,184,0,0.20108695652173914,0.4019065397753362,0.0,0.0,0.0,0.0,1.0,37.0,1.503821273307617,0.2642318781680606,20.108695652173914,79.8913043478261
affiliation_data,184,0,0.8315217391304348,0.3753117022446378,0.0,1.0,1.0,1.0,1.0,153.0,-1.7860612027832061,1.2029723834477095,83.15217391304348,16.84782608695652
unique_country_count,184,0,1.8206521739130435,1.4878038271501657,0.0,1.0,2.0,3.0,8.0,335.0,1.1071609995584497,1.4608424440289993,,
