variable,count,missing,mean,std,min,25th_percentile,median_50th,75th_percentile,max,sum,skewness,kurtosis,pct_true,pct_false
works_count,282,0,59.98581560283688,102.60305891367345,0.0,9.0,23.5,68.0,796.0,16916.0,3.8577469331184746,18.27695979644818,,
cited_by_count,282,0,1763.854609929078,4637.0790755012995,0.0,255.0,681.0,1307.75,51823.0,497407.0,6.821827906438381,57.92167280865544,,
2yr_mean_citedness,282,0,40.71004262502698,57.851684336980775,0.0,4.616071428571429,16.54211956521739,54.150000000000006,433.0,11480.232020257608,2.812279686154883,11.244012797315982,,
h_index,282,0,12.460992907801419,14.434053117613388,0.0,4.0,8.0,15.0,112.0,3514.0,3.1593637751810353,13.655983600252586,,
i10_index,282,0,22.54964539007092,44.47782465448148,0.0,3.0,7.0,20.0,303.0,6359.0,4.0845275487541635,18.88535910215395,,
unique_affiliation_count,271,0,5.129151291512915,4.196329835921018,1.0,2.0,4.0,7.0,18.0,1390.0,1.319335134596124,1.0282097792440918,,
unique_country_count,271,0,1.7712177121771218,1.08834821864073,1.0,1.0,1.0,2.0,7.0,480.0,1.6982529687510082,3.2222293224616863,,
all_china,271,0,0.5276752767527675,0.5001571435442556,0.0,0.0,1.0,1.0,1.0,143.0,-0.11148912397659777,-2.0024031307703565,52.767527675276746,47.232472324723254
all_usa,271,0,0.01107011070110701,0.10482418557326743,0.0,0.0,0.0,0.0,1.0,3.0,9.397927645577578,86.96279877867501,1.107011070110701,98.8929889298893
some_china,271,0,0.9704797047970479,0.16957285813540096,0.0,1.0,1.0,1.0,1.0,263.0,-5.590254246806685,29.468372584334045,97.04797047970479,2.9520295202952074
some_usa,271,0,0.2952029520295203,0.45697784952250825,0.0,0.0,0.0,1.0,1.0,80.0,0.9029746313429063,-1.1934998415346532,29.520295202952028,70.47970479704797
affiliation_data,282,0,0.9609929078014184,0.1939560245295337,0.0,1.0,1.0,1.0,1.0,271.0,-4.78753589028133,21.06988500132174,96.09929078014184,3.900709219858156
