variable,count,missing,mean,std,min,25th_percentile,median_50th,75th_percentile,max,sum,skewness,kurtosis,pct_true,pct_false
works_count,426,0,53.20657276995305,192.44558480162183,1.0,2.0,7.0,29.0,2891.0,22666.0,9.843062135836407,124.26170635380787,,
cited_by_count,426,0,1716.7652582159624,8331.937822552703,0.0,0.0,11.0,324.5,109677.0,731342.0,9.341817189847367,103.27139971423146,,
2yr_mean_citedness,426,0,2.4931908949825874,5.046018813733865,0.0,0.0,0.27525252525252525,3.0810185185185186,48.3125,1062.0993212625822,4.624593258412089,29.72493271088401,,
h_index,426,0,8.119718309859154,16.80692394896658,0.0,0.0,2.0,8.75,138.0,3459.0,3.8150391988867653,18.0829906311258,,
i10_index,426,0,21.805164319248828,93.3177850603044,0.0,0.0,0.0,8.0,1331.0,9289.0,9.230362050732342,107.03645074228207,,
unique_affiliation_count,271,0,4.789667896678967,4.565981728890091,1.0,1.0,3.0,7.0,24.0,1298.0,1.5251246812231591,2.262922426387024,,
unique_country_count,271,0,1.8339483394833949,1.2524460146223981,1.0,1.0,1.0,2.0,8.0,497.0,1.935733239569858,4.658062378376455,,
all_china,271,0,0.5166051660516605,0.5006487522788787,0.0,0.0,1.0,1.0,1.0,140.0,-0.06682778878073603,-2.010426214752493,51.66051660516605,48.33948339483395
all_usa,271,0,0.02214022140221402,0.14741172715280498,0.0,0.0,0.0,0.0,1.0,6.0,6.531537872915344,40.96325240599274,2.214022140221402,97.7859778597786
some_china,271,0,0.9298892988929889,0.25580589196995374,0.0,1.0,1.0,1.0,1.0,252.0,-3.3860479015831673,9.53564138387916,92.98892988929889,7.011070110701112
some_usa,271,0,0.31365313653136534,0.4648356276379933,0.0,0.0,0.0,1.0,1.0,85.0,0.8077364592786248,-1.3576362103620276,31.365313653136536,68.63468634686348
affiliation_data,426,0,0.636150234741784,0.4816718101264938,0.0,0.0,1.0,1.0,1.0,271.0,-0.5679902786682283,-1.6853215319944095,63.6150234741784,36.3849765258216
