variable,count,missing,mean,std,min,25th_percentile,median_50th,75th_percentile,max,sum,skewness,kurtosis,pct_true,pct_false
works_count,894,0,43.671140939597315,149.90659023392303,1.0,2.0,4.0,29.0,2737.0,39042.0,10.047959535592067,141.83565452812394,,
cited_by_count,894,0,2481.503355704698,13226.726320412165,3.0,3.0,100.5,962.5,244363.0,2218464.0,13.648330535711295,219.85690923550186,,
2yr_mean_citedness,894,0,31.464048976506444,56.68255096388176,0.375,1.5,12.0,48.0,1327.4,28128.85978499676,13.72657376505707,305.7844874626177,,
h_index,894,0,9.059284116331096,16.551452166013892,1.0,1.0,2.0,11.0,229.0,8099.0,5.278377127169596,47.218126821567,,
i10_index,894,0,18.553691275167786,71.54713966781554,0.0,0.0,2.0,11.0,1160.0,16587.0,10.413364156980807,136.30797573601959,,
unique_affiliation_count,450,0,4.953333333333333,4.561390207338988,1.0,2.0,3.0,7.0,32.0,2229.0,2.129893758608191,6.54549652186428,,
unique_country_count,450,0,2.1755555555555555,1.3912958109816316,1.0,1.0,2.0,3.0,9.0,979.0,1.507523066455252,2.748023322799047,,
all_china,450,0,0.07777777777777778,0.2681196495939667,0.0,0.0,0.0,0.0,1.0,35.0,3.1635662921341217,8.043882831696596,7.777777777777778,92.22222222222223
all_usa,450,0,0.26666666666666666,0.44270881097402076,0.0,0.0,0.0,1.0,1.0,120.0,1.0588223870419136,-0.882838716442953,26.666666666666668,73.33333333333334
some_china,450,0,0.2644444444444444,0.4415277968007067,0.0,0.0,0.0,1.0,1.0,119.0,1.071765558461275,-0.8551390405510317,26.444444444444443,73.55555555555556
some_usa,450,0,0.7711111111111111,0.42058513817166493,0.0,1.0,1.0,1.0,1.0,347.0,-1.2949645807992323,-0.3245288966805844,77.11111111111111,22.888888888888893
affiliation_data,894,0,0.5033557046979866,0.5002686096919532,0.0,0.0,1.0,1.0,1.0,450.0,-0.013445691512096264,-2.0043081458502474,50.33557046979866,49.66442953020134
